OBJECTID,PARKID2,NAME,CLASS,NPU1,DISTRICT,ADDRESS,GIS_AC,FILE_AC,PARCEL_ID,PARKID,PARKID2_1,FORMERNAME,NEIGHBOR,ZIP,CDP,X_TRLPAV,X_TRLNPAV,COUNTY,ACQ_NOTES,PAVILIONS,PLAYGROUND,PIC_SHEL,PLAYGR_SF,UPARR,FUND_SRC,LWCF,GAZEBO,PICNICTABL,PARKGRILL1,RESTROOMS,PV_PRKSPAC,BALLFIELDS,SOCCER,TENNIS,TRL_TYPE,TRL_NUM,TRL_LEN,TEN_PRAC,BBALL,VOLLEYBALL,POOL,POOLSIZE,GYM,PV_SQ_FT,GZBOSQFT,PARKDRINK,PARKBENCH,PSPACES,RECCEN,ADOPTED,SURV_TYPE,SURV_DATE,SURV_AC,FEATURE,COVBB,DOGPARK,TRACK,NAT,GOLF,OPFIELD,AREA_FIN,FACIL_YN,ACQUIRED,POOLENGTH,BELTLIN,PLSIZYDS,SPLASHYDS,NOTES,RECCTRCLS,RECCTRNM,RECCTRFT2,SPECFAC,COMCTRNAM,COMCTRCLS,SPFACFT2,OWNER,COMCTRFT2,XDLIST,GIS_ISTHER,GIS_WPIN,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
1325,ADRE,Adamsville Park (Old),SF,H,10,3404 Delmar Lane SW,0.81816591804,0.8,14 02430006001,ADRE,, ,Adamsville,30331,Y,0,0,FULTON,from Fult,0,0,1,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,1,0,0,0, , ,0, , ,,0,Recreatio,0,0,0,0,0,0,1.43,1,1964-08-11T00:00:00.000Z,0, ,0,0,Emergency Shelter, , ,0, , , ,0, ,10336, ,0,1,{14829AA8-F45F-4C75-A81C-AEC8C6FCD05B},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1326,HAHE,Mary Shy Scott Park,C,I,10,3114 Collier Dr. NW,24.4427204463,23.4,14 0239 LL025,HAHE,, ,Collier Heights,30318,Y,0,0,FULTON,Date gues,0,1,0,875, , , ,2,0,0,0,0,1, ,3, , , , ,1,0, ,0,0,0,0,1, , ,0, , ,,0,Next to I,0,0,0,0,0,0,23.4,1,,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{A334AC7C-44C3-4F23-8731-E8FE534A56F9},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1327,ANDE,Anderson Park,C,J,3,98 Anderson Ave. NW,55.7745314394,56.7,14 0174 LL045,ANDE,, ,Dixie Hills,30314,Y,1,0,FULTON,from Fult,1,1,3,800, , , ,0,6,1,0,0,2, ,3,PATH Foun,1,0.25, ,0,0,1,200000,1,2688,0,1, , ,1, , ,,0,Recreatio,0,0,0,0,0,0,56.7,1,1950-05-01T00:00:00.000Z,25, ,0,0, ,3,Anerson Park,13689, , , ,0, ,0, ,0,1,{1B037B79-0A54-4A27-B398-F1B0C7229230},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1328,PERK,Perkerson Park,C,X,12,770 Deckner Ave. SW,48.6446091932,49.9,14 0104 LL001,PERK,, ,Capitol View,30310,Y,0,0,FULTON, ,1,1,0,10725,y, ,"y: 1980;",0,0,0,1,40,3, ,6,FT, , , ,2,0, ,0,0,1500,0,0, , ,1, , ,,0,Recreatio,0,0,0,0,0,0,49.9,1,1940-04-17T00:00:00.000Z,0, ,0,0, ,2,Perkerson,4038, , , ,0, ,0, ,0,1,{4CCE74C7-A28E-48FA-8982-29F995728781},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1329,GRAN,Grant Park,R,W,1,840 Cherokee Ave. SE (at Sydney St./ Boulevard),130.631020682,131.5,14 0043 LL001,GRAN,, ,Grant Park,30312,Y,0,0,FULTON, ,2,2,4,7031, , ,y: Zoo im,1,42,5,1,500,2,1,4, , , , ,1,0,1,554000,1,15000,2000,0, ,1000,1, , ,,0,Picnic pa,0,0,0,0,0,0,131.5,1,,55, ,0,0, ,3,Grant,18747, , , ,0, ,0, ,0,1,{90F2D846-FA26-4850-AEDF-5695C0D5F0FB},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1330,THOM,Thomasville Park,C,Z,1,1835 Henry Thomas Drive SE,18.6325991937,44.09,14 0007 LL039,THOM,, ,Thomasville,30315,Y,0,0,FULTON, ,0,1,1,2480, , , ,0,0,1,0,0,1, ,1, , , , ,1,0,1,198000,1,0,0,0, , ,1, , ,,0,Recreatio,0,0,0,0,0,0,44.09,1,1966-04-01T00:00:00.000Z,25, ,0,0, ,3,Thomasville,19940, , , ,0, ,0, ,0,1,{4FF8E3DA-FA9B-47D3-9669-61F733E37127},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1331,WAPK,Washington Park,C,K,3,"102 Ollie St. NW, at Lena St.",19.9358245079,20.43,14 0115 LL001,WAPK,, ,Washington Park,30314,Y,1,0,FULTON, ,1,2,2,5496, , , ,0,1,1,1,0,2, ,8,PATH FT,1,0.25,y,0,0, ,0,0,2440,0,0, , ,1, , ,,0,Washingto,0,0,0,1,0,0,20.43,1,1919-11-22T00:00:00.000Z,25, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{D2A667AA-2552-4397-A826-E8F93A303E53},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1332,PIED,Piedmont Park,R,E,6,"400 Park Dr. NE
",171.093984555,185,17 0055 LL014,PIED,, ,Sherwood Forest-Ansley Park,30309,Y,4,0,FULTON, ,2,2,0,23544, , ,y: Lake C,1,0,0,3,80,4,2,12,Jog FT,4,4.49,y,0,0,1,327000,0,1800,300,0, ,80,0, , ,,0,Picnic pa,0,1,0,0,0,1,193.4,1,1904-06-15T00:00:00.000Z,25, ,0,1, , , ,0, , , ,0, ,0, ,0,1,{2F498CEB-7CDF-493A-988B-1728ACC77E02},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1333,CAND,Candler Park,C,N,2,1500 McLendon Ave. NE,51.2401131602,55.3,15 0239 LL001,CAND,, ,Candler Park,30307,Y,1,0,DEKALB, ,2,1,0,0, , , ,0,0,0, ,0,1,1,4, , , , ,1,0,1,0,0,0,0,0, , ,0, , ,,0,9 hole go,0,0,0,0,1,0,55.3,1,1922-05-04T00:00:00.000Z,25, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{A6D8A96A-0018-4DBD-8149-29F27E77BE64},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1334,BEBR,Bessie Branham Park,C,O,5,2051 Delano Dr. at Norwood Ave. SE,6.71758217465,6.58,15 02060003001,BEBR,, ,Kirkwood,30317,Y,0,0,DEKALB, ,1,1,0,20447, , ,y: playgr,0,3,0,0,0,1, ,2, , , , ,1,0, ,0,0,0,0,0, ,51,1, , ,,0,Recreatio,0,0,0,0,0,0,6.58,1,1924-03-20T00:00:00.000Z,0, ,0,0, ,3,Bessie Branham,20447, , , ,0, ,0, ,0,1,{864F11B3-43D9-46E9-9D98-92D96A520AF3},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1335,DEPK,Deerwood Park,N,P,11,"Alexandria Dr./Tampa Trail, SW",17.1662309602,17.4,14F0004 LL030,DEPK,, ,South Ben Hill,30331,Y,0,0,FULTON, ,0,2,2,5856, , , ,0,0,2,0,0,1, ,2, , , , ,1,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,17.4,1,,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{74705E9F-423E-42E5-BE0F-A503D6AF70C2},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1336,BETR,Beecher Triangle,G,I,10,Beecher Cir./Beecher Rd. SW,0.01661567922,0.25, ,BETR,, ,Audubon Forest-Beecher Hill,30311, ,0,0,FULTON,from Fult,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.017,0,,0, ,0,0, , , ,0, , , ,0, ,0,,0,0,{E864994E-358F-462F-9DCA-E1E8790BCFBB},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1337,SACI,Sandpiper Circle,G,I,10,2853 (end of) Sandpiper Circle SW,0.06238094069,0.25, ,SACI,, ,Cascade Heights,30311, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.062,0,,0, ,0,0, , , ,0, , , ,0, ,0,,0,0,{B357D817-CE6A-404B-B23F-AA9244764B92},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1338,WEMA,West Manor Park,C,I,10,3240 W. Manor Cir. SW at Benjamin E. Mays Dr.,10.4601493029,11.2,14 02350006023,WEMA,, ,West Manor,30311,Y,0,0,FULTON,1/1/1952,0,1,0,534, , , ,0,0,0,0,0,1, ,2, , , , ,0,0, ,0,0,0,0,0, , ,1, , ,,0,Recreatio,0,0,0,0,0,0,11.2,1,,0, ,0,0, ,2,Anthony Flanagan,5500, , , ,0, ,0, ,0,1,{B812A4BB-260D-471C-A5B6-31A1022C3104},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1339,VECI,Veltre Circle,G,I,10,2718 (end of) Veltre Place SW,0.17782368128,0.25, ,VECI,, ,Cascade Heights,30311, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.178,0,,0, ,0,0, , , ,0, , , ,0, ,0,,0,0,{B08E994D-B7D6-4780-BA41-B362875748DE},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1340,SATR,Sandtown Triangle,G,R,11,Cascade Rd./Sandtown Ave. SW,0.13930588275,1.7,14 01690005004,SATR,, ,Adams Park,30311, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.139,0,,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{7C5BA567-15C5-4795-9A1F-89AA5247BF7F},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1341,POAB,Pollard and Albany Beauty Spot,G,R,11,"1468 POLLARD DRIVE
",0.09365989942,0, ,POAB,, ,Adams Park,30311, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.094,0,,0, ,0,0, , , ,0, , , ,0, ,0,,0,0,{2FCCDE2A-2A24-41BE-8769-2A0149B3EA0B},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1342,STHO,Stone Hogan Park,N,R,11,Stone Hogan Rd./St Hogan Conn. SW,10.8107941527,10.5,14 0227 LL039,STHO,, ,Greenbriar,30331,Y,0,0,FULTON, ,2,1,0,7225, , , ,0,0,2,0,0,0, ,0, , , , ,1,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,10.5,1,,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{EE5797B4-DFFB-4156-92D0-600C90708A52},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1343,FONT,Fountainebleau Beauty Spot,G,R,11,Hogan Rd./Fontainebleau SW,0.04478571666,0.25, ,FONT,, ,Continental Colony,30331, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.045,0,,0, ,0,0, , , ,0, , , ,0, ,0,,0,0,{7E3A089D-2090-4873-9B2F-B56E328CE6E0},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1344,RAWA,Rawson-Washington Park,N,V,1,Connally St./Kelly St. NE,4.4881322529,6.3,14 00530002065,RAWA,, ,Summerhill-Capitol Homes,30312, ,0,0,FULTON, ,0,1,0,5000, , , ,0,0,0,0,0,0, ,2, , , , ,1,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,4.49,1,1963-08-02T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{E2E2314A-D226-40A8-9B99-E02778A96377},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1345,FUPR,Fulton-Pryor Island,G,V,4,Fulton St./Pryor St. SE,0.11969573842,0.5,14 00760008170,FUPR,, ,Mechanicsville,30312, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.12,0,,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{186EAE88-B166-4577-A894-3CAF3CB6A4C2},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1281,CHRT,Chattahoochee Trail,CN,D,9,Jackson Pkwy NW,51.691,0,17 0255 LL019, ,, ,Riverside,30318, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, ,Boundary,2000-03-15T00:00:00.000Z,49.187, ,0,0,0,0,0,0,49.187,0,,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{ACBCB338-7C7A-475B-96D0-489006B2B48E},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1282,SOUT,Southside Park,R,Z,12,3460 Jonesboro Rd. SE,211,211.44,14 0031 LL015,SOUT,, ,Heritage,30354, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,1, , ,,0, ,0,0,0,0,0,0,211.44,0,1964-01-01T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{CD4685C1-6B11-4F9F-8021-A2A547672570},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1283,HETA,Herbert Taylor Park,N,F,6,1795 Johnson Rd. NE,28.3659801993,26,18 0056 LL020,HETA,, ,Morningside-Lenox Park,30306, ,0,0,DEKALB, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0,Donor int,0,0,0,0,0,0,26,0,,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{8D51C283-463B-4C24-AFC3-6E4CBCF96973},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1284,DAJO,Daniel Johnson Nature Preserve,NP,F,6,Beech Valley Rd NE,7.29499240884,8,18 0056 LL011,DAJO,, ,Morningside-Lenox Park,30306, ,0,0,DEKALB, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0,Nature,1,0.25, ,0,0, ,0,0,0,0,0, , ,0, , ,,0,"Creek; ad",0,0,0,0,0,0,8,1,1935-11-01T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{D846B26E-0EDA-4115-8CF5-7DF9F170DD2F},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1285,LAKE,Lakewood Fairgrounds & HiFi Buys Amphitheater,SF,Y,12,"2002 LAKEWOOD WAY
",113.298030722,0,14 0071  LL004, ,, ,Lakewood Heights,30315, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, , ,,0,Amphitheater,0,0,0,0,0,0,113.298,1,,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{B16C7283-D8A9-4642-BF2D-B9E0CDA2F4A9},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1286,JACO,J. Allen Couch Park,N,E,3,"Hemphill Ave./Ferst St./6th St.
",6.40935953866,0,14 00810002068, ,, ,Georgia Tech,30318, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,6.409,0,1941-04-10T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{F3C4C1D9-C6F9-4A66-AE29-69BF6661C8EB},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1287,JOBI,John C. Burdine Center,CC,Z,12,215 Lakewood Way SW,4.27232876368,2.5,14 0071 LL004,JOBI,, ,Lakewood Heights,30315, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, ,0,0, ,0,0, ,0, ,0,0,0,0,0,0, , ,,0, ,0,0,0,0,0,0,4.272,1,,0, ,0,0, , , ,0, ,John Burdine,2,0, ,35000, ,0,1,{B6599E1C-4415-44B4-93C1-EB44F18F0C70},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1288,STEP,Stephanie Drive Park,G,P,11,Fairburn Rd./Stephanie Dr. SW,0.37316387521,0.25,14F00040003070,STEP,, ,South Ben Hill,30331, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.373,0,,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{E10C0CB5-EED8-4CAF-B5A0-38F67C99BC2E},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1289,NAWE,Green Leaf Circle,G,T,4,Next to 202 Napolean Dr.SW (off Westview Dr.),0.9902433534,0.5, ,NAWE,, ,Ashview Heights,30310, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0,Name chan,0,0,0,0,0,0,0.99,0,,0, ,0,0, , , ,0, , , ,0, ,0,,0,0,{DC65C68C-4AE7-4EB2-9E07-E2810AF62186},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1290,BEPL,Benton Place Garden,G,A,8,Benton Place at Rilman Dr. NW,0.03548842125,0.1, ,BEPL,, ,Central Northwest,30327, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.035,0,,0, ,0,0, , , ,0, , , ,0, ,0,,0,0,{6C10252B-71EE-47A3-B410-2EDDF48B3DC8},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1291,BOAN,Boulevard-Angier Park,G,M,2,Blvd/Angier Ave. NE,0.18045642686,0.18,14 00470009164,BOAN,, ,Bedford-Pine,30312, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0,1, ,0, , ,,0, ,0,0,0,0,0,0,0.18,1,,0,Y,0,0, , , ,0, , , ,0, ,0, ,0,1,{76F516A2-D0AC-4845-AFCE-DA9CD39E1A25},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1292,CHAR,Charles Allen Median,G,E,2,Charles Allen Dr. NE,0.32462447034,1, ,CHAR,, ,Midtown,30308, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.325,0,,0, ,0,0, , , ,0, , , ,0, ,0,,0,0,{8884AB05-918D-4BB9-8226-60CBADE29304},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1293,MPK1,Mayor's #1 Park,G,M,2,Peachtree St./Ralph McGill Blvd. NE,0.22173888544,0.25, ,MPK1,, ,Central Business District,30308, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0,0,0,0, ,0, , , , ,0,0, ,0,0,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,0.222,0,,0, ,0,0, , , ,0, , , ,0, ,0,,0,0,{1BDF44CE-43D8-47E8-A85D-9A05E794E27B},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
