X,Y,OBJECTID,SYSSCHOOL,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,FAC_SCHTYP,GRADE_RANGE,SCHOOL_ADD,SCHOOL_CITY,STATE,SCHOOL_ZIP,SCHOOL_PHONE,Num_Tested_All_2017,Average_Score_All_2017,Num_in_HFZ_All_2017,Pct_in_HFZ_All_2017,Num_Tested_Male_2017,Average_Score_Male_2017,Num_in_HFZ_Male_2017,Pct_in_HFZ_Male_2017,Num_Tested_Female_2017,Average_Score_Female_2017,Num_in_HFZ_Female_2017,Pct_in_HFZ_Female_2017,GlobalID,last_edited_date
-83.973897000648947,30.842982000354237,17,7893052,789,Thomasville City,3052,Scott Elementary School,E,PK-05,100 N Hansell St,Thomasville,GA,31792-4669,229.225.2631,118,40.38,40,33.9,60,41.2,24,40,58,39.53,16,27.6,{0B6033F6-F03C-4C36-81A4-DE1518DBE02D},
-83.96693700009817,30.877046999963802,18,7360105,736,Thomas County,0105,Hand In Hand Primary,E,PK-KK,4687 US Highway 84 Byp W,Thomasville,GA,31792-2607,229.225.3908,,,,,,,,,,,,,{F3AC1424-32AC-4783-AF7A-06909F1E908C},
-83.94908800030808,30.865103000386235,19,7365050,736,Thomas County,5050,Garrison-Pilcher Elementary School,E,01-02,277 Hall Rd,Thomasville,GA,31757-8129,229.225.4387,,,,,,,,,,,,,{7D9A346D-84FF-4C65-A8A6-AA857D4A8F97},
-83.948560999990192,30.866606999703571,20,7360194,736,Thomas County,0194,Cross Creek Elementary School,E,03-04,324 Clark Rd,Thomasville,GA,31757-8130,229.225.3900,851,42.1,286,33.6,442,43.1,167,37.8,409,41.02,119,29.1,{08AF70FB-8860-4922-8417-62363A466BA3},
-84.205070000192791,31.003664999711727,21,6653050,665,Grady County,3050,Shiver Elementary School,E,PK-08,1847 Ga Highway 93 N,Pelham,GA,31779-4439,229.377.2325,312,40.13,145,46.5,172,41.03,87,50.6,140,39.03,58,41.4,{22CA26B3-BE95-48B8-83D0-3AFB8815B30B},
-84.160474000365312,31.117277999994077,22,7843050,784,Pelham City,3050,Pelham Elementary School,E,PK-05,534 Barrow Ave SW,Pelham,GA,31779-5521,229.294.8170,207,41.85,119,57.5,104,42.79,69,66.3,103,40.91,50,48.5,{DF7962D9-FB72-4A32-93A0-AFFACEC3B411},
-84.344162000268327,31.310212000513147,23,6040105,604,Baker County,0105,Baker County K12 School,K12,PK-12,260 Ga Highway 37 SW,Newton,GA,39870-8212,229.734.5274,200,40.59,60,30,106,42.1,37,34.9,94,38.88,23,24.5,{7514037C-4D53-48BB-9BD5-3C5BC3D15362},
-84.234872999919119,31.239581000125924,24,7010198,701,Mitchell County,0198,Mitchell County Primary School,E,PK-01,50 Griffin Rd,Camilla,GA,31730-5413,229.336.8250,,,,,,,,,,,,,{48417165-43B1-4AA8-9FA9-1F52EF514868},
-84.156088999523362,31.376508999637384,25,7010105,701,Mitchell County,0105,Baconton Community Charter School,K12,PK-12,260 E Walton St,Baconton,GA,31716-7706,229.787.9999,146,40.35,59,40.4,76,40.81,30,39.5,70,39.85,29,41.4,{A808D3F4-774E-4DE7-AF72-DD1DB660D2B0},
-83.9529249999473,31.126027000080214,26,6354052,635,Colquitt County,4052,Hamilton Elementary School,E,PK-05,5110 Ga Highway 111,Hartsfield,GA,31756-2013,229.941.5594,87,39.55,23,26.4,48,40.15,14,29.2,39,38.82,9,23.1,{A8FA2C7F-302C-4BAE-A88A-B65A4A6C3606},
-84.133221999328768,31.379901999627194,27,7010111,701,Mitchell County,0111,Mitchell County Elementary School,E,02-04,15815 Ga Highway 93,Baconton,GA,31716-7739,229.336.2118,,,,,,,,,,,,,{D7C618E3-8994-412D-95DF-87415DA61DFA},
-83.917848999861874,31.327852999972105,28,6350178,635,Colquitt County,0178,Doerun Elementary School,E,PK-05,111 Mathis Ave,Doerun,GA,31744-5062,229.782.5276,92,40.13,36,39.1,50,40.76,25,50,42,39.39,11,26.2,{8FB9B2FA-F449-4ACE-AEEB-FBF9BF0B021C},
-85.04330900036085,31.619103999666077,29,6300204,630,Clay County,0204,Clay County Elementary,E,PK-05,200 Hobbs Ln,Fort Gaines,GA,39851-3319,229.768.2234,63,39.81,25,39.7,31,41.1,19,61.3,32,38.57,6,18.8,{CF61A462-2D80-4C14-8576-2BC65C8E9099},
-85.080769000427878,31.885453999876407,30,7180199,718,Quitman County,0199,Quitman County Elementary,E,PK-08,173 Kaigler Rd,Georgetown,GA,39854-4838,229.334.4298,88,42.54,26,29.5,49,43.28,17,34.7,39,41.61,9,23.1,{30D898B9-1BCA-4052-B46F-CB822F8762A0},
-84.968589999314943,32.409306000127529,31,7062064,706,Muscogee County,2064,Key Elementary School,E,PK-05,2520 Broadmoor Dr,Columbus,GA,31903-3419,706.683.8797,353,38.62,41,11.6,203,39.14,27,13.3,150,37.91,14,9.3,{A462A2E7-E841-4DC7-AD05-F2D55AF21933},
-84.949491000500814,32.416886999841502,32,7064067,706,Muscogee County,4067,South Columbus Elementary School,E,PK-05,1964 Torch Hill Rd,Columbus,GA,31903-2745,706.683.8833,334,40.41,93,27.8,172,41.03,58,33.7,162,39.76,35,21.6,{694E03E7-4DD2-4ADD-A9D2-FE9C0A576526},
-84.943462000545466,32.424685000098947,33,7060215,706,Muscogee County,0215,Dorothy Height Elementary School,E,KK-05,1458 Benning Dr,Columbus,GA,31903-2200,706.570.3009,356,38.01,9,2.5,190,38.36,9,4.7,166,37.62,0,0,{679A46AE-BD36-42BE-91F5-EA733028DB3F},
-84.991029000163934,32.473265000017875,34,7060296,706,Muscogee County,0296,Downtown Elementary Magnet Academy,E,KK-05,1400 1st Ave,Columbus,GA,31901-2122,706.748.2702,309,38.61,33,10.7,165,39,23,13.9,144,38.17,10,6.9,{595BF364-F903-486C-B738-ACE18B962995},
-84.984621000666593,32.497748000075248,35,7060102,706,Muscogee County,0102,Fox Elementary School,E,PK-05,600 38th St,Columbus,GA,31904-7437,706.748.2723,205,37.73,16,7.8,87,37.91,7,8,118,37.59,9,7.6,{D75D0865-9C90-4F54-A191-A000613C4FBA},
-84.972622000000385,32.486939999618123,36,7060191,706,Muscogee County,0191,Hannan Elementary,E,KK-05,1338 Talbotton Rd,Columbus,GA,31901-1334,706.748.2744,383,40.29,142,37.1,166,40.52,68,41,217,40.11,74,34.1,{4454F646-5B0A-4E78-AB53-BEEB650DFDC5},
-84.968061999293582,32.4981100003221,37,7064062,706,Muscogee County,4062,Johnson Elementary School,E,PK-05,3700 Woodlawn Ave,Columbus,GA,31904-7251,706.748.2795,267,39.59,60,22.5,141,40.75,49,34.8,126,38.3,11,8.7,{66D66139-EE7C-4541-854E-6F3C61E303E0},
-84.965707999142779,32.457657000056784,38,7064056,706,Muscogee County,4056,Davis Elementary School,E,PK-05,1822 Shepherd Dr,Columbus,GA,31906-4060,706.748.2638,301,37.7,21,7,149,37.9,15,10.1,152,37.51,6,3.9,{5AD6D9D3-87F8-4E55-B322-3B6638513B89},
-84.958859000254051,32.471509999705702,39,7064070,706,Muscogee County,4070,Wynnton Elementary School,E,KK-05,2303 Wynnton Rd,Columbus,GA,31906-2540,706.748.3147,227,46.8,117,51.5,120,48.5,65,54.2,107,44.89,52,48.6,{5F09F165-2C2A-486A-A69D-463F080D7074},
-84.94808600007417,32.444365999670147,40,7060200,706,Muscogee County,0200,"Martin Luther King, Jr. Elementary School",E,KK-05,350 30th Ave,Columbus,GA,31903-1566,706.683.8815,158,38.79,41,25.9,70,39.22,22,31.4,88,38.44,19,21.6,{DCDB0C9A-8C35-4FB8-B089-A8ADD562B403},
-84.948200999298521,32.455939999615921,41,7060192,706,Muscogee County,0192,Brewer Elementary School,E,KK-05,2951 Martin Luther King Jr Blvd,Columbus,GA,31906-3833,706.748.2479,461,39.94,99,21.5,226,40.8,65,28.8,235,39.12,34,14.5,{7B3F976B-CCD7-407A-BD04-C46A0B199B4B},
-84.945726999430121,32.473607999925967,42,7063066,706,Muscogee County,3066,Rigdon Road Elementary School,E,PK-05,1320 Rigdon Rd,Columbus,GA,31906-2678,706.565.2989,382,40.83,134,35.1,200,42.09,93,46.5,182,39.44,41,22.5,{47BD8AEE-C980-4450-85C6-D405D11CB41B},
-84.948985999518513,32.492767999630544,43,7062054,706,Muscogee County,2054,Clubview Elementary School,E,KK-05,2836 Edgewood Rd,Columbus,GA,31906-1225,706.565.3017,460,41.85,211,45.9,248,42.51,124,50,212,41.07,87,41,{497FCCA3-85E3-4A96-A443-024A59CF0463},
-84.985826000155541,32.512792000085255,44,7064066,706,Muscogee County,4066,River Road Elementary School,E,PK-05,516 Heath Dr,Columbus,GA,31904-4844,706.748.3072,199,47.06,134,67.3,107,48.16,73,68.2,92,45.79,61,66.3,{52A9D7B4-A007-4A92-87D4-5CC4864E4124},
-84.974766000438549,32.55841999998907,45,7062058,706,Muscogee County,2058,Double Churches Elementary School,E,PK-05,1213 Double Churches Rd,Columbus,GA,31904-2406,706.748.2660,311,38.51,43,13.8,159,38.88,30,18.9,152,38.12,13,8.6,{18DEC334-A306-4592-8B8D-42F8E5A4B81D},
-84.960802999151142,32.514662000007483,46,7064065,706,Muscogee County,4065,Allen Elementary School,E,PK-05,5201 23rd Ave,Columbus,GA,31904-5012,706.748.2418,315,39.43,85,27,153,39.98,54,35.3,162,38.92,31,19.1,{FD3790E4-4669-4792-BAA9-E0E425DBB646},
-84.954811000041275,32.52733399941399,47,7063056,706,Muscogee County,3056,Britt David Elementary Computer Magnet Academy,E,KK-05,5801 Armour Rd,Columbus,GA,31909-4530,706.748.2617,592,45.42,352,59.5,304,46.62,188,61.8,288,44.16,164,56.9,{9D2EBE49-9548-403E-A8D4-3B43EECEEA40},
-84.935198999712782,32.538048999655473,48,7062052,706,Muscogee County,2052,Blanchard Elementary School,E,KK-05,3512 Weems Rd,Columbus,GA,31909-5802,706.748.2461,851,39.51,102,12,443,40,72,16.3,408,38.97,30,7.4,{77E376A2-C418-4401-A827-243673824B73},
-85.024893000009129,32.696492000422793,49,6720290,672,Harris County,0290,New Mountain Hill Elementary School,E,PK-04,33 Mountain Hill Rd,Fortson,GA,31808-4642,706.323.1144,88,46.37,66,75,51,47.53,40,78.4,37,44.76,26,70.3,{47C9F354-82FE-42DC-A78F-8240C1A025D2},
-85.162087000133525,32.879971999794805,50,7410187,741,Troup County,0187,West Point Elementary School,E,PK-05,1701 E 12th St,West Point,GA,31833-1711,706.812.7973,246,41.39,74,30.1,126,41.93,41,32.5,120,40.82,33,27.5,{9FF208B9-97C2-4C71-9902-2E6BB0CDFFF5},
-85.129561000229501,32.958542999958418,51,7410189,741,Troup County,0189,Long Cane Elementary School,E,PK-05,238 Long Cane Rd,Lagrange,GA,30240-9021,706.812.7948,486,41.89,90,18.5,252,43.31,62,24.6,234,40.37,28,12,{A7792745-CAB3-4E95-8B13-CB6C30791119},
-85.065562000566331,33.028818999893225,52,7410597,741,Troup County,0597,Ethel W. Kight Elementary School,E,PK-05,75 Gordon Rd,Lagrange,GA,30240,706.812.7943,162,39.15,46,28.4,84,39.66,29,34.5,78,38.6,17,21.8,{239B1EEF-DD6C-4C5C-B354-BDBA60F1C878},
-85.04595399984575,33.0214639998173,53,7415052,741,Troup County,5052,Berta Weathersbee Elementary School,E,PK-05,1200 Forrest Ave,Lagrange,GA,30240-4929,706.883.1570,123,44.03,99,80.5,62,45.1,55,88.7,61,42.95,44,72.1,{8AFFBB66-20C7-444E-9D68-706FD980A0DD},
-85.031773999342121,33.009394999831535,54,7410497,741,Troup County,0497,Whitesville Road Elementary School,E,PK-05,1700 Whitesville Rd,Lagrange,GA,30240-5959,706.812.7968,131,41.75,72,55,68,42.42,40,58.8,63,41.03,32,50.8,{A2DB9C34-61B4-4029-AD25-F3B50D7BBDE7},
-84.948906000487398,32.961048999807574,55,7415050,741,Troup County,5050,Rosemont Elementary School,E,PK-05,4679 Hamilton Rd,Lagrange,GA,30241-8702,706.812.7954,232,49.72,214,92.2,116,51.66,108,93.1,116,47.78,106,91.4,{066DB0C2-8D26-45AB-B1A5-6CBAE466A8B0},
-85.252762000083067,33.405598999608799,56,6742050,674,Heard County,2050,Ephesus Elementary School,E,PK-05,24414 Georgia Highway 100,Roopville,GA,30170-3010,770.854.4400,,,,,,,,,,,,,{04009EC4-D451-4C10-B040-73547C0F698F},
-85.252516000168399,33.526366999750735,57,6222050,622,Carroll County,2050,Bowdon Elementary School,E,PK-05,223 Kent Ave,Bowdon,GA,30108-1607,770.258.2161,172,39.99,63,36.6,92,40.58,40,43.5,80,39.32,23,28.7,{8184550F-50CC-4024-91E1-C06DF82548ED},
-85.056838999945654,33.055302999996272,58,7410194,741,Troup County,0194,Hollis Hand Elementary School,E,PK-05,641 Country Club Rd,Lagrange,GA,30240-1006,706.883.1580,202,50.24,197,97.5,105,52.35,102,97.1,97,47.95,95,97.9,{9ABA923E-E838-4117-A895-9D5F7C0CA169},
-85.03512700039812,33.073441999460755,59,7410205,741,Troup County,0205,Franklin Forest Elementary,E,PK-05,1 Scholar Ln,Lagrange,GA,30240-1214,706.845.7556,187,39.08,49,26.2,95,39.81,37,38.9,92,38.32,12,13,{73A969C6-C772-4899-BCB9-92ED98DA11B3},
-85.038232000086396,33.122692999577652,60,7413050,741,Troup County,3050,Hillcrest Elementary School,E,PK-05,3116 Robert Hayes Rd,Lagrange,GA,30240-7715,706.812.7940,131,45.06,108,82.4,64,46.33,58,90.6,67,43.85,50,74.6,{7BFAC660-F374-4331-97A8-2944053FC896},
-84.97233599964332,33.111796000024491,61,7410109,741,Troup County,0109,Callaway Elementary School,E,PK-05,2200 Hammett Rd,Lagrange,GA,30241-9413,706.845.2059,272,44.99,212,77.9,145,46.96,129,89,127,42.75,83,65.4,{5B31AC0C-FE7E-40B5-8B2D-AA544270A63E},
-85.106901000050001,33.363742000049271,62,6741050,674,Heard County,1050,Centralhatchee Elementary School,E,PK-05,315 Centralhatchee Pkwy,Franklin,GA,30217-5173,770.854.4002,79,40.43,22,27.8,29,41.34,11,37.9,50,39.9,11,22,{098BF05F-F314-4975-B93D-39ECF54F0BC1},
-85.13137700043545,33.462174000023246,63,6220377,622,Carroll County,0377,Roopville Elementary School,E,PK-05,60 Old Carrollton Rd,Roopville,GA,30170-2125,770.854.4421,102,42.07,78,76.5,53,42.69,40,75.5,49,41.4,38,77.6,{5A3C65F3-BE58-4E6A-B886-011D228A06C3},
-85.069437999305052,33.540415000284845,64,6225050,622,Carroll County,5050,Central Elementary School,E,PK-05,175 Primary School Rd,Carrollton,GA,30116,770.832.6466,289,42.08,149,51.6,148,42.45,82,55.4,141,41.7,67,47.5,{CA4F6417-77AA-4605-AD7F-24DAAA4056A8},
-85.062467999944474,33.3041359997397,65,6740106,674,Heard County,0106,Heard Elementary School,E,PK-05,4647 Pea Ridge Rd,Franklin,GA,30217-8002,706.675.3687,,,,,,,,,,,,,{27B3FAC5-A35B-4504-A04A-ADE71554B3B9},
-84.724760000161481,31.560773999228751,66,7830210,7830210,Commission Charter Schools- Pataula Charter Academy,0210,Pataula Charter Academy,K12,PK-12,18637 Hartford St,Edison,GA,39846-5605,229.835.3322,,,,,,,,,,,,,{913938C0-4EFD-4922-B650-FBB615801552},
-84.797473999913905,31.776214000506279,67,7202050,720,Randolph County,2050,Randolph County Elementary School,E,PK-05,214 N Highland Ave,Cuthbert,GA,39840-1323,229.732.3794,270,37.79,7,2.6,152,38.02,7,4.6,118,37.5,0,0,{BAE3FECA-5775-4B07-B554-266B0EDE1CB1},
-84.617050999593332,31.76301699982503,68,7830612,7830612,Commission Charter Schools- Southwest Georgia S.T.E.M. Charter Academy,0612,Southwest Georgia S.T.E.M. Charter Academy,E,PK-05,185 Pecan St,Shellman,GA,39886-2548,229.679.5555,,,,,,,,,,,,,{117C471D-1F06-4B95-A550-1CAC426364CD},
-84.418282999456324,31.755893000295831,69,7351050,735,Terrell County,1050,Carver Elementary School,E,03-05,455 Greenwave Drive,Dawson,GA,39842-2030,229.995.5451,,,,,,,,,,,,,{C558FD41-CB1B-431E-A378-943B4B950C9D},
-84.418282999456324,31.755893000295831,70,7351051,735,Terrell County,1051,Cooper-Carver Elementary School,E,PK-05,455 Greenwave Blvd,Dawson,GA,39842-2908,229.995.2843,192,38.67,35,18.2,96,39.25,24,25,96,38.09,11,11.5,{F235204B-A780-453E-B192-8CDFA82880AD},
-84.753367999861936,32.051930000439249,71,7280192,728,Stewart County,0192,Stewart County Elementary School,E,PK-05,15582 Ga Highway 27,Lumpkin,GA,31815,229.838.4374,,,,,,,,,,,,,{98F07639-3BD2-4491-9F5F-76CBD067ADC6},
-84.920478000176857,32.442254000109735,72,7063068,706,Muscogee County,3068,St. Marys Video and Communication Technology,E,PK-05,4408 Saint Marys Rd,Columbus,GA,31907-6286,706.683.8841,278,38.83,53,19.1,128,39.13,35,27.3,150,38.58,18,12,{1374B5EA-5019-49CD-B661-92BFA59AE297},
-84.920724999903456,32.453709999852002,73,7061058,706,Muscogee County,1058,Dimon Elementary,E,PK-05,480 Dogwood Dr,Columbus,GA,31907-5436,706.683.8772,330,41.71,160,48.5,185,42.94,107,57.8,145,40.13,53,36.6,{ADE21481-983E-4899-B9C2-BCD0707B9A85},
-84.905533999696715,32.443610000004526,74,7065056,706,Muscogee County,5056,Dawson Elementary School,E,PK-05,180 Northstar Dr,Columbus,GA,31907-6379,706.683.8732,187,38.87,35,18.7,100,39.62,26,26,87,38,9,10.3,{FDBF6E77-67E3-4432-89A2-08AEF522DDC3},
-84.916881000075023,32.467259999853908,75,7064058,706,Muscogee County,4058,Lonnie Jackson Academy,E,PK-05,4601 Buena Vista Rd,Columbus,GA,31907-4998,706.565.3039,336,39.38,63,18.8,173,39.7,38,22,163,39.04,25,15.3,{19C656C4-DA59-461D-B139-78F5E183624F},
-84.9284150004396,32.50380000024002,76,7065060,706,Muscogee County,5060,Gentian Elementary School,E,PK-05,4201 Primrose Rd,Columbus,GA,31907-1156,706.569.3625,336,40.71,135,40.2,164,41.44,84,51.2,172,40.02,51,29.7,{3EECF1BC-896E-4C59-8169-06B90F0C3E55},
-84.910536999428828,32.501371000052202,77,7061066,706,Muscogee County,1066,Reese Road Leadership Academy,E,KK-05,3100 Reese Rd,Columbus,GA,31907-1610,706.569.3684,316,42.53,224,70.9,169,43.19,125,74,147,41.78,99,67.3,{766793DA-D048-41B4-9F7E-EBCBD27FE886},
-84.885630000230989,32.465179000263426,78,7061062,706,Muscogee County,1062,Georgetown Elementary School,E,PK-05,954 High Ln,Columbus,GA,31907-4615,706.565.2980,449,39.08,93,20.7,258,39.58,73,28.3,191,38.41,20,10.5,{9F4FD590-E25D-4A24-A2F3-904CD5BC777B},
-84.893551000814043,32.477219999949668,79,7065069,706,Muscogee County,5069,Wesley Heights Elementary School,E,KK-05,1801 Amber Dr,Columbus,GA,31907-4211,706.569.3733,,,,,,,,,,,,,{63970A4F-5E41-4365-91B8-8B72A2E8FCAE},
-84.881741999846071,32.487667999514279,80,7063060,706,Muscogee County,3060,Forrest Road Elementary School,E,PK-05,6400 Forest Rd,Columbus,GA,31907-3007,706.565.3062,,,,,,,,,,,,,{A09BDEA0-2F70-4656-BE7A-F99B9D979F8A},
-84.764427000308402,32.302143999636854,81,6260101,626,Chattahoochee County,0101,Chattahoochee County Education Center,E,PK-05,140 Merrell St,Cusseta,GA,31805-3022,706.989.3648,208,44.61,64,30.8,98,47.95,41,41.8,110,41.63,23,20.9,{94248B64-4BAF-4464-B9D9-106EB2E94B25},
-84.541906000197073,32.062448000214609,82,7520104,752,Webster County,0104,Webster County Elementary/Middle School,E,PK-08,7168 Washington St,Preston,GA,31824-5232,229.828.3365,197,45.24,105,53.3,93,46.42,45,48.4,104,44.18,60,57.7,{6429CC03-C384-4BBA-B3F2-F5789BF7DD6A},
-84.536328999781333,32.287429999716117,83,6960197,696,Marion County,0197,L. K. Moss Elementary School,E,PK-05,1707 Pineville Rd,Buena Vista,GA,31803-7109,229.649.5567,437,38.08,19,4.3,205,38.02,11,5.4,232,38.13,8,3.4,{651B306D-7C17-431F-A030-150B21F91658},
-84.27389000060478,31.585692999800248,84,6470102,647,Dougherty County,0102,Live Oak Elementary School,E,PK-05,4529 Gillionville Rd,Albany,GA,31721-9566,229.431.1209,556,41.61,142,25.5,314,42.34,88,28,242,40.66,54,22.3,{25677A8F-4947-420C-BCD3-DB2E06080631},
-84.169359000665949,31.514496000469283,85,6470199,647,Dougherty County,0199,Lamar Reese School of the Arts,E,PK-05,1215 Lily Pond Rd,Albany,GA,31701-7747,229.431.3495,,,,,,,,,,,,,{2F01EEB1-61FA-4A24-A134-138FCE9A13CA},
-84.160828000194442,31.521602000021765,86,6470399,647,Dougherty County,0399,"Martin Luther King, Jr. Elementary School",E,PK-05,3125 Martin Luther King Jr Dr,Albany,GA,31701-4309,229.438.3502,252,44.33,70,27.8,137,46.35,43,31.4,115,41.93,27,23.5,{F153194E-2DE6-4FBA-A887-9F96A6A0A15E},
-84.191631000516892,31.550582999537891,87,6470299,647,Dougherty County,0299,Alice Coachman Elementary School,E,PK-05,1425 W Oakridge Dr,Albany,GA,31707-5306,229.431.3488,377,46.08,126,33.4,193,48.29,74,38.3,184,43.77,52,28.3,{42E0D8E9-B816-4363-8D71-146DF9BBABD8},
-84.203738000235688,31.562339999594318,88,6475062,647,Dougherty County,5062,West Town Elementary School,E,PK-05,1113 University St,Albany,GA,31707-5005,229.431.3409,315,39.09,40,12.7,182,39.73,29,15.9,133,38.22,11,8.3,{9ECCB244-7DEC-44FD-8529-D2FA288380FE},
-84.16022200004025,31.585490999871681,89,6470205,647,Dougherty County,0205,Lincoln Elementary Magnet School,E,KK-05,518 W Society Ave,Albany,GA,31701-2233,229.431.3373,567,40.49,98,17.3,275,41.18,61,22.2,292,39.84,37,12.7,{B61C477E-C414-451A-BA16-1DCC11363498},
-84.208377000472595,31.595975000718131,90,6474054,647,Dougherty County,4054,Lake Park Elementary School,E,PK-05,605 Meadowlark Dr,Albany,GA,31707-3121,229.431.3370,891,43.24,245,27.5,419,44.5,123,29.4,472,42.12,122,25.8,{208FD3CB-5E70-4EB0-84CF-72CDE197B077},
