X,Y,Name,Type,Location,ESRI_OID
-84.298949780726332,34.045612800203472,LEE & PEYNADO IMMIGRATION LAW GROUP,OFFICES OF LAWYERS,100 NORTH POINT CENTER EAST 530,8
-84.296811092126816,34.086339018890257,CHEZ GANT DESIGNS,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",100 PEBBLE TRAIL,46
-84.227811917116711,34.059908172137298,CHURCH OF THE SAVIOR,RELIGIOUS ORGANIZATIONS,100 PROSPECT PLACE,47
-84.306419906487065,34.050390639409095,GENESIS ELDERCARE REHABILITATION,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",100 SOMERBY DRIVE,49
-84.306419906487065,34.050390639409095,ATRIA NORTH POINT,HOMES FOR THE ELDERLY,100 SOMERBY DRIVE,50
-84.306419906487065,34.050390639409095,PS SALON & SPA,BEAUTY SALONS,100 SOMERBY DRIVE,48
-84.356674040805672,34.086399371494714,SYSTEM TECHNOLOGY SOLUTIONS INC.,COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,1000 ABBEY COURT,51
-84.24591820303219,34.093890614420033,LEXIS NEXIS RISK SOLUTIONS,INSURANCE AGENCIES AND BROKERAGES,1000 ALDERMAN DRIVE,52
-84.245486628413914,34.094910940056472,LEXIS NEXIS RISK SOLUTIONS,INSURANCE AGENCIES AND BROKERAGES,1000 ALDERMAN DRIVE,53
-84.24591820303219,34.093890614420033,SODEXO OPERATIONS AT LEXIS NEXIS,FOOD SERVICE CONTRACTORS,1000 ALDERMAN DRIVE,54
-84.245486628413914,34.094910940056472,SODEXO OPERATIONS AT LEXIS NEXIS,FOOD SERVICE CONTRACTORS,1000 ALDERMAN DRIVE,55
-84.315790593191849,34.066701740267753,"WILLIAMSBURG MANAGEMENT SERVICES, INC",OFFICES OF REAL ESTATE AGENTS AND BROKERS,1000 CAMBRIDGE SQUARE A,9
-84.315650024047002,34.066696743611239,NORTH FULTON ENDODONTICS,OFFICES OF DENTISTS,1000 CAMBRIDGE SQUARE B,10
-84.315790593191849,34.066701740267753,PET AIR CARRIER LLC,TRAVEL AGENCIES,1000 CAMBRIDGE SQUARE D,56
-84.302491923798058,34.050278073048879,PARC ALPHARETTA,LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,1000 FANFARE WAY,11
-84.302491923798058,34.050278073048879,I & G ALPHARETTA LLC,LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,1000 FANFARE WAY,12
-84.312090559981797,34.079524942835242,THE LEX,LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,1000 LEXINGTON FARM DRIVE,57
-84.310862455265095,34.077893766412664,THE LEX,LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,1000 LEXINGTON FARM DRIVE,58
-84.291087201640565,34.035384351083337,MAINSTREAM MERCHANT SERVICES INC.,"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES",1000 MANSELL EXCHANGE WEST,13
-84.293244399391341,34.035975678350731,MAINSTREAM MERCHANT SERVICES INC.,"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES",1000 MANSELL EXCHANGE WEST,14
-84.290952406697201,34.034908336056283,CALATLANTIC HOMES OF GEORGIA INC.,NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT OPERATIVE BUILDERS),1000 MANSELL EXCHANGE WEST 200,15
-84.29106973765056,34.035198297824508,"CATATLANTIC MORTGAGE, INC.",MORTGAGE AND NONMORTGAGE LOAN BROKERS,1000 MANSELL EXCHANGE WEST 210,59
-84.291641176776722,34.035748903925345,SUPREME LENDING,REAL ESTATE CREDIT,1000 MANSELL EXCHANGE WEST 270,16
-84.292999712243599,34.035863960166864,RIVIERA FINANCE OF TEXAS,ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION,1000 MANSELL EXCHANGE WEST 340,17
-84.294969878749583,34.048298925366531,J.T. MAGEN & COMPANY INC,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,1000 NORTH POINT CIRCLE,18
-84.294969878749583,34.048298925366531,UMUT ERSINGUN,"WOMEN'S, GIRLS', AND INFANTS' CUT AND SEW APPAREL CONTRACTORS",1000 NORTH POINT CIRCLE,19
-84.294969878749583,34.048298925366531,MINI BLOCK,TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS,1000 NORTH POINT CIRCLE,20
-84.294969878749583,34.048298925366531,KNOWSTYLE,"WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES MERCHANT WHOLESALERS",1000 NORTH POINT CIRCLE,21
-84.294969878749583,34.048298925366531,HICKORY FARMS,ALL OTHER SPECIALTY FOOD STORES,1000 NORTH POINT CIRCLE,22
-84.294969878749583,34.048298925366531,"LOVING ME COSMETICS, LLC","COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",1000 NORTH POINT CIRCLE,23
-84.294969878749583,34.048298925366531,I REPAIR,"RADIO, TELEVISION, AND OTHER ELECTRONICS STORES",1000 NORTH POINT CIRCLE,24
-84.294969878749583,34.048298925366531,AMAZON RETAIL LLC,ALL OTHER HOME FURNISHINGS STORES,1000 NORTH POINT CIRCLE,25
-84.294969878749583,34.048298925366531,NORTH POINT WIRELESS,"RADIO, TELEVISION, AND OTHER ELECTRONICS STORES",1000 NORTH POINT CIRCLE,26
-84.294969878749583,34.048298925366531,EXPRESS,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE,27
-84.294969878749583,34.048298925366531,CUSTOM T-SHIRTS LLC,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE,28
-84.294969878749583,34.048298925366531,AUSTIN 5,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE,29
-84.294969878749583,34.048298925366531,VINE VERA PERFECT HAIR,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",1000 NORTH POINT CIRCLE,30
-84.294969878749583,34.048298925366531,SUNGLASS HUT #4707,OPTICAL GOODS STORES,1000 NORTH POINT CIRCLE,31
-84.294969878749583,34.048298925366531,SLAYTON,FOOD (HEALTH) SUPPLEMENT STORES,1000 NORTH POINT CIRCLE,32
-84.294969878749583,34.048298925366531,PIERCING PAGODA #0296,JEWELRY STORES,1000 NORTH POINT CIRCLE,33
-84.294969878749583,34.048298925366531,SHOE MGK,SHOE STORES,1000 NORTH POINT CIRCLE,67
-84.294969878749583,34.048298925366531,TYLUXE LLC,OTHER CLOTHING STORES,1000 NORTH POINT CIRCLE,68
-84.294969878749583,34.048298925366531,AERIE BY AMERICAN EAGLE,OTHER CLOTHING STORES,1000 NORTH POINT CIRCLE,69
-84.294969878749583,34.048298925366531,JEWELRY EXPRESS,CLOTHING ACCESSORIES STORES,1000 NORTH POINT CIRCLE,70
-84.294969878749583,34.048298925366531,TRUESHAPERS,OTHER CLOTHING STORES,1000 NORTH POINT CIRCLE,71
-84.294969878749583,34.048298925366531,T-MOBILE SOUTH LLC,WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE),1000 NORTH POINT CIRCLE,72
-84.294969878749583,34.048298925366531,ASAP CELLULAR REPAIRS LLC,WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE),1000 NORTH POINT CIRCLE,73
-84.294969878749583,34.048298925366531,MOBILE CONNECTION,ALL OTHER GENERAL MERCHANDISE STORES,1000 NORTH POINT CIRCLE,74
-84.294969878749583,34.048298925366531,MY TOY CHEST,"HOBBY, TOY, AND GAME STORES",1000 NORTH POINT CIRCLE,75
-84.294969878749583,34.048298925366531,PANDA RUN LLC,"HOBBY, TOY, AND GAME STORES",1000 NORTH POINT CIRCLE,76
-84.294969878749583,34.048298925366531,PANDORA,JEWELRY STORES,1000 NORTH POINT CIRCLE,77
-84.294969878749583,34.048298925366531,ZOOMSYSTEMS,"COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING",1000 NORTH POINT CIRCLE,78
-84.294969878749583,34.048298925366531,HOLIDAY PHOTOGRAPHY LLC,COMMERCIAL PHOTOGRAPHY,1000 NORTH POINT CIRCLE,85
-84.294969878749583,34.048298925366531,ANDY FRAIN SERVICES INC.,SECURITY GUARDS AND PATROL SERVICES,1000 NORTH POINT CIRCLE,86
-84.294969878749583,34.048298925366531,CRUZZZZ ME/MALL RIDES,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,1000 NORTH POINT CIRCLE,87
-84.294969878749583,34.048298925366531,JOSEPH LEDWELL,"GIFT, NOVELTY, AND SOUVENIR STORES",1000 NORTH POINT CIRCLE,88
-84.294969878749583,34.048298925366531,KEVIN M. HAYNES,ART DEALERS,1000 NORTH POINT CIRCLE,89
-84.294969878749583,34.048298925366531,HAFSA INC.,OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE,1000 NORTH POINT CIRCLE,79
-84.294969878749583,34.048298925366531,POTATO CORNER,LIMITED-SERVICE RESTAURANTS,1000 NORTH POINT CIRCLE,80
-84.294969878749583,34.048298925366531,STARBUCKS #8280,LIMITED-SERVICE RESTAURANTS,1000 NORTH POINT CIRCLE,81
-84.294969878749583,34.048298925366531,CTM GROUP INC.,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,1000 NORTH POINT CIRCLE,82
-84.294969878749583,34.048298925366531,"AVENTURA MM, LLC",ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,1000 NORTH POINT CIRCLE,83
-84.294969878749583,34.048298925366531,GREAT AMERICAN COOKIES,LIMITED-SERVICE RESTAURANTS,1000 NORTH POINT CIRCLE,84
-84.293243112496441,34.048607573276875,MACY'S RETAIL HOLDINGS,DEPARTMENT STORES (EXCEPT DISCOUNT DEPARTMENT STORES),1000 NORTH POINT CIRCLE 1022,60
-84.293590233642192,34.048392786412776,ZALES JEWELERS #1218,JEWELRY STORES,1000 NORTH POINT CIRCLE 1030,61
-84.293590233642192,34.048392786412776,VICTORIA'S SECRET STORES #587,OTHER CLOTHING STORES,1000 NORTH POINT CIRCLE 1030,62
-84.29370483963406,34.048320097151183,CLARKS #792,SHOE STORES,1000 NORTH POINT CIRCLE 1033,90
-84.293801171297545,34.048300899587254,"SEPHORA USA, INC.","COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",1000 NORTH POINT CIRCLE 1034,63
-84.293888325401724,34.048281711445547,CHARLOTTE RUSSE - PEEK #7013,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 1036,91
-84.294461897917287,34.04828111654772,AVEDA EXPERIENCE CENTERS INC.,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",1000 NORTH POINT CIRCLE 1050,64
-84.29456710757583,34.048063293571879,TRESOR RARE,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",1000 NORTH POINT CIRCLE 1055,65
-84.294915835527789,34.04790073447036,"SUR LA TABLE, INC.",ALL OTHER HOME FURNISHINGS STORES,1000 NORTH POINT CIRCLE 1082,66
-84.29552678274888,34.047743407765637,EMANI MATERNITY,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE 1094,101
-84.295573248721752,34.047605408539638,SAVVI FORMALWEAR,MEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 1098,92
-84.295950844440767,34.047807143020052,"MAYOR'S JEWELERS, INC.",JEWELRY STORES,1000 NORTH POINT CIRCLE 1126,102
-84.295507873952118,34.048134883020701,AUNTIE ANNE'S PRETZELS,SNACK AND NONALCOHOLIC BEVERAGE BARS,1000 NORTH POINT CIRCLE 1140,103
-84.295475926518023,34.048249502582479,DISNEY STORE USA #520,"GIFT, NOVELTY, AND SOUVENIR STORES",1000 NORTH POINT CIRCLE 1142,104
-84.29541179109772,34.048318321414008,OH SHE'S CUTE,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE 1144,105
-84.295343043188922,34.048371866294111,BELLA DIVINE,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 1146,106
-84.295306409159764,34.048421559202261,LEGO BRAND RETAIL,"HOBBY, TOY, AND GAME STORES",1000 NORTH POINT CIRCLE 1150,107
-84.295306409159764,34.048421559202261,MICHAEL KORS RETAIL,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 1150,108
-84.295320290288728,34.048497934795236,ALPHARETTA EYE ASSOCIATES,OFFICES OF OPTOMETRISTS,1000 NORTH POINT CIRCLE 1154,109
-84.295320290288728,34.048497934795236,LENSCRAFTERS #0082,OPTICAL GOODS STORES,1000 NORTH POINT CIRCLE 1154,110
-84.295357184015103,34.048620121630648,MERCI YOU,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 1158,111
-84.295375636148208,34.048685034723846,PERSONAL TOUCH JEWELRY,JEWELRY STORES,1000 NORTH POINT CIRCLE 1160,112
-84.294741197841319,34.048642727308376,FOREVER 21,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 1170,93
-84.294418858687607,34.048649269403718,ANN TAYLOR STORE #2519,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 1180,113
-84.294295000905251,34.048672315265875,LOLLI AND POPS,CONFECTIONERY AND NUT STORES,1000 NORTH POINT CIRCLE 1186,114
-84.294212400763968,34.048669536563807,"JAMES AVERY CRAFTSMAN, INC.",JEWELRY STORES,1000 NORTH POINT CIRCLE 1188,94
-84.294057600108701,34.048712666173159,SOCIETY BOUTIQUE,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 1192,95
-84.29392708232416,34.048884680463885,CELLAIRIS,"RADIO, TELEVISION, AND OTHER ELECTRONICS STORES",1000 NORTH POINT CIRCLE 1196,96
-84.293903090269794,34.048950592515133,GAMESTOP #4453,COMPUTER AND SOFTWARE STORES,1000 NORTH POINT CIRCLE 1198,97
-84.293882544731474,34.049019365420975,3:16 JEWELRY AND WATCH BOUTIQUE INC.,JEWELRY STORES,1000 NORTH POINT CIRCLE 1200,98
-84.293442132726483,34.049142758093069,MORI LUGGAGE & GIFTS,LUGGAGE AND LEATHER GOODS STORES,1000 NORTH POINT CIRCLE 1216,115
-84.293330059930099,34.049151297390523,DAIRY QUEEN/ORANGE JULIUS,LIMITED-SERVICE RESTAURANTS,1000 NORTH POINT CIRCLE 1218,116
-84.293292751607382,34.049186322939285,AS SEEN ON TV PLUS,OTHER DIRECT SELLING ESTABLISHMENTS,1000 NORTH POINT CIRCLE 1220,99
-84.293280364728929,34.049232336021895,DOKIMEKI,HOME FURNISHING MERCHANT WHOLESALERS,1000 NORTH POINT CIRCLE 1222,117
-84.293247711294839,34.049258286529877,GENERAL NUTRITION CENTER #1633,FOOD (HEALTH) SUPPLEMENT STORES,1000 NORTH POINT CIRCLE 1223,118
-84.293204186264077,34.049301093065893,NORTH POINT RUGS,FLOOR COVERING STORES,1000 NORTH POINT CIRCLE 1224,119
-84.292810269460603,34.04898314534627,NORTH POINT SHOE REPAIR,ALL OTHER PERSONAL SERVICES,1000 NORTH POINT CIRCLE 2002,120
-84.292846023245588,34.049007134854058,D S & FAMILY LLC,CONVENIENCE STORES,1000 NORTH POINT CIRCLE 2003,121
-84.293020465666288,34.048890781870227,CHAMPS SPORTS #14507,SHOE STORES,1000 NORTH POINT CIRCLE 2008,122
-84.293079415170709,34.04882928982348,HOT TOPIC #405,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE 2010,100
-84.29321744056962,34.048722705114983,WINDSOR FASHIONS INC.,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 2014,135
-84.293488354726549,34.048393607434079,THE FINISH LINE,SHOE STORES,1000 NORTH POINT CIRCLE 2026,123
-84.293590233642192,34.048392786412776,AMERICAN EAGLE OUTFITTERS #885,OTHER CLOTHING STORES,1000 NORTH POINT CIRCLE 2030,124
-84.293590233642192,34.048392786412776,CLAIRE'S BOUTIQUES INC.,CLOTHING ACCESSORIES STORES,1000 NORTH POINT CIRCLE 2030,125
-84.29370483963406,34.048320097151183,SKECHERS USA,SHOE STORES,1000 NORTH POINT CIRCLE 2032,136
-84.293888325401724,34.048281711445547,ZUMIEZ INC.,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE 2036,126
-84.294160499251632,34.04824764602057,BATH & BODY WORKS #3650,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",1000 NORTH POINT CIRCLE 2042,137
-84.294335420710411,34.048226947370587,ABERCROMBIE KIDS # 20111,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE 2048,127
-84.29443937051002,34.048207425830228,JOURNEYS KIDZ #7127,SHOE STORES,1000 NORTH POINT CIRCLE 2049,138
-84.294586704550014,34.048029121857539,HOLLISTER #30322,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE 2052,128
-84.294730449296324,34.047918395590123,ABERCROMBIE & FITCH #10931,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE 2058,129
-84.294966525999257,34.047862860686188,SUGARBOO DESIGNS,ALL OTHER HOME FURNISHINGS STORES,1000 NORTH POINT CIRCLE 2070,139
-84.29539444962893,34.047785623814065,PACIFIC SUNWEAR,MEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 2076,130
-84.295527159304598,34.04769948074842,MANHATTAN,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE 2078,140
-84.295630334871049,34.047604154030836,PERFECT BROW ART,BEAUTY SALONS,1000 NORTH POINT CIRCLE 2086,141
-84.295900170452384,34.047911258753608,JOURNEY'S SHOE STORE #831,SHOE STORES,1000 NORTH POINT CIRCLE 2116,131
-84.295816052220076,34.047958350978952,YANKEE CANDLE,"GIFT, NOVELTY, AND SOUVENIR STORES",1000 NORTH POINT CIRCLE 2118,132
-84.29569841229798,34.04808885416076,JAD BROTHERS,MEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 2122,133
-84.295446132022036,34.048285842681025,WHITE HOUSE/BLACK MARKET #3127,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 2130,134
-84.295306409159764,34.048421559202261,GODIVA CHOCOLATIER,CONFECTIONERY AND NUT STORES,1000 NORTH POINT CIRCLE 2134,142
-84.295320290288728,34.048497934795236,WORLD OF HEARING,ALL OTHER HEALTH AND PERSONAL CARE STORES,1000 NORTH POINT CIRCLE 2138,143
-84.295338736597728,34.04855902866602,POP CULT,"GIFT, NOVELTY, AND SOUVENIR STORES",1000 NORTH POINT CIRCLE 2140,201
-84.295375636148208,34.048685034723846,REGIS SALON N1011,BEAUTY SALONS,1000 NORTH POINT CIRCLE 2146,144
-84.294903977478384,34.048565689645827,KAY JEWELERS #2103,JEWELRY STORES,1000 NORTH POINT CIRCLE 2156,202
-84.294903977478384,34.048565689645827,AT&T AUTHORIZED RETAILER #2223,"RADIO, TELEVISION, AND OTHER ELECTRONICS STORES",1000 NORTH POINT CIRCLE 2156,203
-84.294741197841319,34.048642727308376,GRG USA LLC,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 2160,145
-84.294609736439952,34.048622525592691,TILLY'S,FAMILY CLOTHING STORES,1000 NORTH POINT CIRCLE 2164,204
-84.29450275756119,34.048644137661768,TORRID 5459,WOMEN'S CLOTHING STORES,1000 NORTH POINT CIRCLE 2168,205
-84.294356888810555,34.048662709223578,JUSTICE #245,CHILDREN'S AND INFANTS' CLOTHING STORES,1000 NORTH POINT CIRCLE 2172,206
-84.294212400763968,34.048669536563807,KOKEE TEA,LIMITED-SERVICE RESTAURANTS,1000 NORTH POINT CIRCLE 2176,207
-84.294108111828308,34.048770482088727,CHICK-FIL-A OF NORTH POINT MALL,LIMITED-SERVICE RESTAURANTS,1000 NORTH POINT CIRCLE 2180,146
-84.29411934728374,34.048880433041347,SBARRO #584,FOOD SERVICE CONTRACTORS,1000 NORTH POINT CIRCLE 2186,147
-84.294100965734017,34.048926525453751,MOE'S SOUTHWEST GRILL,LIMITED-SERVICE RESTAURANTS,1000 NORTH POINT CIRCLE 2188,208
-84.29407156943067,34.049009489045744,FIVE GUYS BURGERS AND FRIES,FULL-SERVICE RESTAURANTS,1000 NORTH POINT CIRCLE 2192,209
-84.293602699504945,34.049183517548805,SAR PEACHTREE FOOD,LIMITED-SERVICE RESTAURANTS,1000 NORTH POINT CIRCLE 2198,210
-84.293548555022994,34.049167191124376,AM NORTH POINT PARTNERS LLC,LIMITED-SERVICE RESTAURANTS,1000 NORTH POINT CIRCLE 2200,211
-84.293287936962045,34.049265751037879,FAMOUS FOOTWARE # 3406,SHOE STORES,1000 NORTH POINT CIRCLE 2208,212
-84.293189662796337,34.049351856234694,SPENCER GIFTS,"GIFT, NOVELTY, AND SOUVENIR STORES",1000 NORTH POINT CIRCLE 2216,148
-84.241143604320499,34.095930082907458,KINDER MORGAN INC.,ALL OTHER PIPELINE TRANSPORTATION,1000 WINDWARD CONCOURSE,213
-84.241143604320499,34.095930082907458,AGILYSYS,OTHER COMPUTER RELATED SERVICES,1000 WINDWARD CONCOURSE,214
-84.241143604320499,34.095930082907458,AGILE RESOURCES,TEMPORARY HELP SERVICES,1000 WINDWARD CONCOURSE,215
-84.278899831989392,34.049888122987028,KMU INVESTOR GROUP LLC,RESIDENTIAL REMODELERS,10005 CICERO DRIVE,216
-84.315252680987911,34.066673100219624,"BRISKIN, CROSS, & SANFORD",OFFICES OF LAWYERS,1001 CAMBRIDGE SQUARE D,217
-84.315252680987911,34.066673100219624,HR INNOVATIONS,OFFICE ADMINISTRATIVE SERVICES,1001 CAMBRIDGE SQUARE D,218
-84.237396045767824,34.096511583823549,GENERAL ELECTRIC,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,1001 WINDWARD CONCOURSE,219
-84.356759517617931,34.086422543123469,MARATHON CONSULTING GROUP,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",1002 ABBEY COURT,220
-84.333690523010546,34.042179343809508,PAUL MITCHELL THE SCHOOL - ESANI,COSMETOLOGY AND BARBER SCHOOLS,1003 MANSELL ROAD,149
-84.331863365609266,34.075504509885548,"DCLJ PAYROLL SERVICES, LLC",PAYROLL SERVICES,1003 SOUTHERBY LANE,221
-84.331863365609266,34.075504509885548,"DCKAMRYN, LLC",OTHER ACCOUNTING SERVICES,1003 SOUTHERBY LANE,222
-84.243067237110537,34.094840313666815,"CELLWORX, LLC",CUSTOM COMPUTER PROGRAMMING SERVICES,1005 ALDERMAN DRIVE,223
-84.243701017325051,34.095276426603611,PHOTOPLEX STUDIOS,COMMERCIAL PHOTOGRAPHY,1005 ALDERMAN DRIVE 101,150
-84.24359761914404,34.095141215129885,IMAGE CORPORATION OF AMERICA INC.,COMMERCIAL GRAVURE PRINTING,1005 ALDERMAN DRIVE 103,224
-84.243555815426731,34.095080915653149,ELEVATE SOLUTIONS GROUP LLC,ADVERTISING MATERIAL DISTRIBUTION SERVICES,1005 ALDERMAN DRIVE 104,151
-84.243520603105949,34.095020612038446,AUTOMATED PACKAGING SYSTEMS,UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,1005 ALDERMAN DRIVE 105,225
-84.243487587583957,34.094960306137793,MARQUEE EVENTS LLP,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,1005 ALDERMAN DRIVE 106,152
-84.243439163564361,34.094868934155457,"ATIS, LTD",OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,1005 ALDERMAN DRIVE 107,226
-84.243364268329614,34.094662410956587,CARTIVA INC.,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",1005 ALDERMAN DRIVE 110,227
-84.243348827454426,34.094596610465857,FLOOR COVERINGS INTERNATIONAL,FLOORING CONTRACTORS,1005 ALDERMAN DRIVE 111,228
-84.243333376714403,34.094519841924168,GOSPEL PARTNERS MEDIA,RELIGIOUS ORGANIZATIONS,1005 ALDERMAN DRIVE 112,153
-84.243313529798044,34.094441247662274,MAXIMUM ONE EXECUTIVE REALTORS,OFFICES OF REAL ESTATE AGENTS AND BROKERS,1005 ALDERMAN DRIVE 113,229
-84.243295884031895,34.094366308943151,ATLANTA LIFESTYLES INC.,INTERIOR DESIGN SERVICES,1005 ALDERMAN DRIVE 114,230
-84.243278232272019,34.094285885746032,THE GRANDPARENT GIFT COMPANY,HOME FURNISHING MERCHANT WHOLESALERS,1005 ALDERMAN DRIVE 115,154
-84.242962821858626,34.095405764805541,MONTAGE REALITY GROUP LLC,RESIDENTIAL PROPERTY MANAGERS,1005 ALDERMAN DRIVE 201,231
-84.242876995980097,34.095261401318346,COMPASS TECHNOLOGY GROUP LLC,"RESEACH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",1005 ALDERMAN DRIVE 203,232
