X,Y,OBJECTID,SYSSCHOOL,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,FAC_SCHTYP,GRADE_RANGE,SCHOOL_ADD,SCHOOL_CITY,STATE,SCHOOL_ZIP,SCHOOL_PHONE,Tot_EnrollmentA_FallSchYr_2011,Pct_Absent_0_5_days_2011,Pct_Absent_6_15_days_2011,Pct_Absent_16_or_more_days_2011,Tot_EnrollmentA_FallSchYr_2012,Pct_Absent_0_5_days_2012,Pct_Absent_6_15_days_2012,Pct_Absent_16_or_more_days_2012,Tot_EnrollmentA_FallSchYr_2013,Pct_Absent_0_5_days_2013,Pct_Absent_6_15_days_2013,Pct_Absent_16_or_more_days_2013,Tot_EnrollmentA_FallSchYr_2014,Pct_Absent_0_5_days_2014,Pct_Absent_6_15_days_2014,Pct_Absent_16_or_more_days_2014,Tot_EnrollmentA_FallSchYr_2015,Pct_Absent_0_5_days_2015,Pct_Absent_6_15_days_2015,Pct_Absent_16_or_more_days_2015,Tot_EnrollmentA_FallSchYr_2016,Pct_Absent_0_5_days_2016,Pct_Absent_6_15_days_2016,Pct_Absent_16_or_more_days_2016,GlobalID,last_edited_date
-84.328831999402183,30.881670999520789,11,6651054,665,Grady County,1054,Whigham Elementary School,E,PK-08,211 W Broad Ave,Whigham,GA,39897-3222,229.762.4167,488,58.9,38.2,2.9,495,64,32.9,3.1,488,57.8,37.4,4.8,490,62.1,34.2,3.7,463,54.5,40.1,5.4,474,59.3,36.8,3.9,{226BEB39-6B13-444B-966F-615EEDDC051A},
-84.20527799988318,30.871389000551506,12,6652050,665,Grady County,2050,Southside Elementary School,E,PK-05,491 3rd St SE,Cairo,GA,39828-2762,229.377.3723,543,59.5,36.2,4.3,525,65.1,31.2,3.7,557,59.8,34,6.2,616,62.5,32.9,4.6,617,59.9,35.9,4.2,578,69,28.5,2.5,{7FB6BD2A-43B6-4644-A5B5-F41EA4AAA306},
-84.210091999748087,30.887220999947722,13,6651550,665,Grady County,1550,Northside Elementary School,E,PK-05,985 1st St NW,Cairo,GA,39828-1972,229.377.2422,327,66.3,29.6,4.1,318,73.2,25.9,0.8,345,68.6,27.8,3.6,316,72.1,24.8,3.1,342,71.5,26.1,2.4,353,77.6,20.4,2,{FC61A92C-FBC2-4B18-895F-54780E1167D1},
-84.186013000159519,30.881971000260901,14,6650185,665,Grady County,0185,Eastside Elementary School,E,PK-05,1201 20th St NE,Cairo,GA,39828-3720,229.377.8441,630,57.9,33.9,8.2,654,61.9,32.2,5.9,647,54,36.6,9.4,622,54.6,38.5,6.8,594,53.4,38.8,7.8,572,63.6,32,4.4,{53A5E646-A902-4D94-9F48-AF135E5683A0},
-83.983753999725948,30.830809999605879,15,7894050,789,Thomasville City,4050,Harper Elementary School,E,PK-05,520 Fletcher St,Thomasville,GA,31792-6438,229.225.2622,417,49.7,38.3,11.9,433,65.6,25.6,8.9,410,59.6,30,10.4,399,64.1,28,8,382,61.7,32.8,5.5,338,63.2,28.3,8.4,{7F849CE4-FE15-4D00-BAD4-0A2BEF2A2CD1},
-83.968863000412242,30.824963000344031,16,7895050,789,Thomasville City,5050,Jerger Elementary School,E,PK-05,1006 S Broad St,Thomasville,GA,31792-6701,229.225.2625,658,54.1,37.6,8.3,680,58.8,33.6,7.6,706,55.3,36.8,7.9,686,65.1,28.9,6,693,60.8,34.1,5.1,713,55.7,37.2,7.1,{05444001-B4B6-4F97-B008-5694D65DCF9C},
-83.973897000648947,30.842982000354237,17,7893052,789,Thomasville City,3052,Scott Elementary School,E,PK-05,100 N Hansell St,Thomasville,GA,31792-4669,229.225.2631,397,55.5,34.2,10.3,402,63.4,28.3,8.2,378,62.1,31.5,6.4,334,62.8,32,5.2,322,67.3,27.3,5.5,317,68.7,24.3,7,{F63F17F4-23A0-48A4-B73B-EAB96AB90A5D},
-83.96693700009817,30.877046999963802,18,7360105,736,Thomas County,0105,Hand In Hand Primary,E,PK-KK,4687 US Highway 84 Byp W,Thomasville,GA,31792-2607,229.225.3908,317,37.9,50.1,12,337,53.6,39.1,7.3,354,41.8,48,10.1,379,46.7,42.2,11.1,385,40.4,47.4,12.3,365,48.6,40.4,11,{977D66C6-2198-4D56-85BF-280EFCDD5C23},
-83.94908800030808,30.865103000386235,19,7365050,736,Thomas County,5050,Garrison-Pilcher Elementary School,E,01-02,277 Hall Rd,Thomasville,GA,31757-8129,229.225.4387,697,47.6,44.2,8.2,678,59,36.3,4.8,726,50.4,39.2,10.4,785,55.3,37.2,7.5,814,58.6,32.3,9.1,849,59.6,32.4,8.1,{23BE9125-D218-4D39-8493-6C790BEB6DD6},
-83.948560999990192,30.866606999703571,20,7360194,736,Thomas County,0194,Cross Creek Elementary School,E,03-04,324 Clark Rd,Thomasville,GA,31757-8130,229.225.3900,731,58.1,37.1,4.8,681,64.2,33.2,2.6,703,55.8,38.4,5.8,739,61.8,33.3,4.8,791,57.3,35.2,7.4,837,59.6,34.6,5.9,{6D7D2414-9540-40C3-A91A-42A080EAEE38},
-84.205070000192791,31.003664999711727,21,6653050,665,Grady County,3050,Shiver Elementary School,E,PK-08,1847 Ga Highway 93 N,Pelham,GA,31779-4439,229.377.2325,609,41.9,47.4,10.7,577,49.2,42.3,8.5,577,51,40.3,8.7,558,52.8,37.5,9.7,551,44.2,46.7,9,527,53.2,39.2,7.5,{3EC519A6-A8D0-4229-B5EE-E962C0F9552D},
-84.160474000365312,31.117277999994077,22,7843050,784,Pelham City,3050,Pelham Elementary School,E,PK-05,534 Barrow Ave SW,Pelham,GA,31779-5521,229.294.8170,631,54.2,35.1,10.7,634,58.7,32.7,8.6,637,45.8,42.6,11.6,628,48.3,41.6,10.1,667,58.7,35.1,6.2,662,82,15.9,2.2,{E3E4A506-7598-461E-8F89-91FEC86B81A3},
-84.344162000268327,31.310212000513147,23,6040105,604,Baker County,0105,Baker County K12 School,K12,PK-12,260 Ga Highway 37 SW,Newton,GA,39870-8212,229.734.5274,330,37.5,48.3,14.2,319,60.7,32.1,7.2,311,53.8,37.9,8.4,319,51.2,43.3,5.5,314,55.5,41.3,3.3,308,64.9,33.4,1.7,{FC1637B5-02AF-4942-BF3B-FC8EAE27FC0A},
-84.234872999919119,31.239581000125924,24,7010198,701,Mitchell County,0198,Mitchell County Primary School,E,PK-01,50 Griffin Rd,Camilla,GA,31730-5413,229.336.8250,565,58,34,8,516,66.4,29.3,4.4,537,64.2,30.4,5.4,537,58.7,35.8,5.5,525,63.8,32.8,3.4,458,67.8,28.5,3.7,{96F44E70-0002-4E6E-BD81-DBA2207B4683},
-84.156088999523362,31.376508999637384,25,7010105,701,Mitchell County,0105,Baconton Community Charter School,K12,PK-12,260 E Walton St,Baconton,GA,31716-7706,229.787.9999,711,91.7,7.4,0.9,681,92.8,6.9,0.3,734,91.1,8.4,0.5,722,71.5,27.2,1.3,756,78.5,20.5,1,789,78.3,20.7,1,{64550C40-4B39-45CC-92B3-C09977AE05BE},
-83.9529249999473,31.126027000080214,26,6354052,635,Colquitt County,4052,Hamilton Elementary School,E,PK-05,5110 Ga Highway 111,Hartsfield,GA,31756-2013,229.941.5594,237,39.1,49,11.8,249,56.5,36.7,6.8,251,48.4,41.9,9.7,250,44.4,47.7,7.9,267,99.3,0.7,0,272,58.6,34.6,6.8,{CDBC6BF3-25DC-4472-81A2-4FEB1D1E9C65},
-84.133221999328768,31.379901999627194,27,7010111,701,Mitchell County,0111,Mitchell County Elementary School,E,02-04,15815 Ga Highway 93,Baconton,GA,31716-7739,229.336.2118,309,62.3,34,3.6,327,68.7,28.9,2.3,321,61,35.5,3.5,316,57.4,35.9,6.7,275,60.2,31.2,8.6,348,65,28.3,6.8,{21B478A2-B993-4A5F-910B-63AC315E4130},
-83.917848999861874,31.327852999972105,28,6350178,635,Colquitt County,0178,Doerun Elementary School,E,PK-05,111 Mathis Ave,Doerun,GA,31744-5062,229.782.5276,249,42.6,44.7,12.6,254,55.4,40.3,4.4,279,50.6,41,8.4,284,53.9,37.1,9,267,46.2,43.3,10.5,304,45.8,40.2,14,{8B6CE081-9311-49CC-A8C8-D28DAFEB9BC0},
-85.04330900036085,31.619103999666077,29,6300204,630,Clay County,0204,Clay County Elementary,E,PK-05,200 Hobbs Ln,Fort Gaines,GA,39851-3319,229.768.2234,194,51.6,36,12.4,206,51.8,34.4,13.8,210,41.8,44.1,14.1,196,79.4,16.7,3.9,196,45.6,37.9,16.5,176,45.7,38.8,15.4,{1332EB37-E43C-4D20-AD77-33B3E835415D},
-85.080769000427878,31.885453999876407,30,7180199,718,Quitman County,0199,Quitman County Elementary,E,PK-08,173 Kaigler Rd,Georgetown,GA,39854-4838,229.334.4298,272,67.7,31,1.3,267,88.6,10.7,0.7,239,57.7,37.7,4.6,229,48.3,47.1,4.6,229,59.1,32.2,8.7,215,60.9,32,7.1,{94F97D01-C23A-4B00-832C-EE2DFF04A0A3},
-84.968589999314943,32.409306000127529,31,7062064,706,Muscogee County,2064,Key Elementary School,E,PK-05,2520 Broadmoor Dr,Columbus,GA,31903-3419,706.683.8797,323,57.3,35.4,7.4,300,61.6,31.8,6.7,355,56.3,37.8,5.9,328,57.9,36.4,5.7,362,52.7,41.5,5.7,341,50,37.4,12.6,{773CC819-C6CF-45F8-B4B9-FD2B1145522F},
-84.949491000500814,32.416886999841502,32,7064067,706,Muscogee County,4067,South Columbus Elementary School,E,PK-05,1964 Torch Hill Rd,Columbus,GA,31903-2745,706.683.8833,417,56.3,35.3,8.3,404,47.6,41.9,10.5,400,56.8,35.6,7.7,359,52.6,37.8,9.6,390,48,37.3,14.7,376,51.8,37.9,10.3,{8B95A6DA-B1F5-4109-8AA1-B5E005974DA4},
-84.943462000545466,32.424685000098947,33,7060215,706,Muscogee County,0215,Dorothy Height Elementary School,E,KK-05,1458 Benning Dr,Columbus,GA,31903-2200,706.570.3009,,,,,,,,,,,,,,,,,672,47.6,37.4,15.1,712,45.2,38.5,16.3,{CA2C70B3-4597-4F2A-9547-F67E820D485E},
-84.991029000163934,32.473265000017875,34,7060296,706,Muscogee County,0296,Downtown Elementary Magnet Academy,E,KK-05,1400 1st Ave,Columbus,GA,31901-2122,706.748.2702,506,54.1,38.4,7.4,493,57.5,31.4,11.1,506,49.3,41.4,9.3,497,49.9,38.5,11.6,486,50.9,41,8.1,294,57.2,37.1,5.7,{93AE4B1F-0E4A-44BD-A46C-E8873AE0BE45},
-84.984621000666593,32.497748000075248,35,7060102,706,Muscogee County,0102,Fox Elementary School,E,PK-05,600 38th St,Columbus,GA,31904-7437,706.748.2723,288,40.4,46.4,13.2,316,45,40.6,14.4,288,48.2,39.5,12.3,293,38.6,40.8,20.7,318,41.3,42.8,15.9,329,45.1,39.7,15.2,{B4BB127A-2F60-49A6-B771-30924F52455F},
-84.972622000000385,32.486939999618123,36,7060191,706,Muscogee County,0191,Hannan Elementary,E,KK-05,1338 Talbotton Rd,Columbus,GA,31901-1334,706.748.2744,394,72.1,24.3,3.7,442,57.8,33.7,8.5,459,63,29.5,7.4,446,60.9,30.4,8.7,478,62.9,29.7,7.5,522,63,29.2,7.8,{0C52ACC1-F34A-498E-BD15-6F3EA7792CF0},
-84.968061999293582,32.4981100003221,37,7064062,706,Muscogee County,4062,Johnson Elementary School,E,PK-05,3700 Woodlawn Ave,Columbus,GA,31904-7251,706.748.2795,368,50,38.2,11.8,304,49.9,37.3,12.9,327,40.2,45,14.7,327,41.6,43.9,14.5,326,43.3,42.5,14.3,343,48.2,37,14.8,{F7C9A3C4-53F7-44DC-BD04-DBA7DA95D08C},
-84.965707999142779,32.457657000056784,38,7064056,706,Muscogee County,4056,Davis Elementary School,E,PK-05,1822 Shepherd Dr,Columbus,GA,31906-4060,706.748.2638,350,70.3,26.9,2.8,353,56.9,38.5,4.7,394,50.6,38.6,10.8,360,41.4,41.4,17.3,377,42.9,39.8,17.3,369,43.8,38.6,17.6,{05208FC0-0227-44D4-9C27-37A692F27088},
-84.958859000254051,32.471509999705702,39,7064070,706,Muscogee County,4070,Wynnton Elementary School,E,KK-05,2303 Wynnton Rd,Columbus,GA,31906-2540,706.748.3147,416,60.1,32.4,7.5,407,61.7,31.8,6.5,374,48.1,41.8,10.1,447,54.5,38.4,7,449,49.4,42.3,8.3,480,51.2,39.9,8.9,{CCAD97C4-0934-4650-9199-2AC60F5EC769},
-84.94808600007417,32.444365999670147,40,7060200,706,Muscogee County,0200,"Martin Luther King, Jr. Elementary School",E,KK-05,350 30th Ave,Columbus,GA,31903-1566,706.683.8815,563,60.5,30.8,8.6,574,52.5,40,7.4,550,46.2,40.7,13.2,569,49.2,36.5,14.3,613,45.4,38.3,16.3,618,50.5,35.5,14,{C2E2D2EA-F329-41F4-BBAC-F8ECE53E88BC},
-84.948200999298521,32.455939999615921,41,7060192,706,Muscogee County,0192,Brewer Elementary School,E,KK-05,2951 Martin Luther King Jr Blvd,Columbus,GA,31906-3833,706.748.2479,477,49.2,39.9,10.9,418,49,39.5,11.4,474,41,43.4,15.6,547,45.3,39.2,15.5,499,50.5,35.9,13.6,514,42.9,40.9,16.2,{530006C8-E2C0-45C7-9565-8D6AA88A1E55},
-84.945726999430121,32.473607999925967,42,7063066,706,Muscogee County,3066,Rigdon Road Elementary School,E,PK-05,1320 Rigdon Rd,Columbus,GA,31906-2678,706.565.2989,405,61.9,29,9.1,370,66.4,28.4,5.2,378,63.9,28.7,7.4,464,51,33.9,15.1,502,46.3,41.6,12.1,493,62.4,28.3,9.3,{E6C6E95E-9B69-4909-B09B-3D7438C30653},
-84.948985999518513,32.492767999630544,43,7062054,706,Muscogee County,2054,Clubview Elementary School,E,KK-05,2836 Edgewood Rd,Columbus,GA,31906-1225,706.565.3017,478,65.7,31.2,3.1,474,65.9,31,3.1,511,58.5,37.1,4.5,538,67,31,2.1,534,65.2,32.2,2.6,549,61.3,35.1,3.5,{5B30F868-485B-48F9-BD5F-5E0937419804},
-84.985826000155541,32.512792000085255,44,7064066,706,Muscogee County,4066,River Road Elementary School,E,PK-05,516 Heath Dr,Columbus,GA,31904-4844,706.748.3072,358,48.9,42.8,8.3,391,52.5,36.5,11,410,47.1,45.1,7.8,411,52.4,40.9,6.7,422,54.4,36.5,9.2,437,56.8,34.7,8.5,{5C39F929-6766-40F7-9F72-8A59289F3B09},
-84.974766000438549,32.55841999998907,45,7062058,706,Muscogee County,2058,Double Churches Elementary School,E,PK-05,1213 Double Churches Rd,Columbus,GA,31904-2406,706.748.2660,384,62.3,33.1,4.6,383,59.6,34.4,5.9,387,49.3,43.1,7.6,385,56,39.6,4.4,409,50.2,42.5,7.2,418,61.2,34.2,4.6,{79129693-82BB-49CB-817D-930B88E2C2E4},
-84.960802999151142,32.514662000007483,46,7064065,706,Muscogee County,4065,Allen Elementary School,E,PK-05,5201 23rd Ave,Columbus,GA,31904-5012,706.748.2418,407,54,38.3,7.7,437,57.5,36,6.5,442,47.5,43.4,9.1,430,47.8,41.5,10.6,457,52.3,35.8,11.9,474,44.8,41.4,13.8,{47E61A2D-327B-4191-A6C0-1CE106A2ACD8},
-84.954811000041275,32.52733399941399,47,7063056,706,Muscogee County,3056,Britt David Elementary Computer Magnet Academy,E,KK-05,5801 Armour Rd,Columbus,GA,31909-4530,706.748.2617,569,71.5,25.9,2.6,547,74.8,24.5,0.7,544,62.7,33.9,3.5,560,71.8,27,1.2,575,69.6,28.8,1.5,567,74.7,23.8,1.5,{6431DB57-926F-465B-8533-F9F4162AD282},
-84.935198999712782,32.538048999655473,48,7062052,706,Muscogee County,2052,Blanchard Elementary School,E,KK-05,3512 Weems Rd,Columbus,GA,31909-5802,706.748.2461,496,62.7,32.9,4.5,566,60.6,34.3,5.1,546,51.9,41,7.1,541,52.7,39.6,7.7,518,51.6,42,6.4,493,57.4,34.2,8.4,{9666A2FD-9DAE-41C5-BE06-93A04B348E8D},
-85.024893000009129,32.696492000422793,49,6720290,672,Harris County,0290,New Mountain Hill Elementary School,E,PK-04,33 Mountain Hill Rd,Fortson,GA,31808-4642,706.323.1144,356,59.7,38.3,2.1,358,67.6,31.1,1.3,381,58,41,1,397,60.4,34.8,4.7,424,58.3,39.3,2.4,418,61.9,35.7,2.4,{BFD91A49-05A9-428F-B906-10488F56FE78},
-85.162087000133525,32.879971999794805,50,7410187,741,Troup County,0187,West Point Elementary School,E,PK-05,1701 E 12th St,West Point,GA,31833-1711,706.812.7973,383,60.9,33.5,5.7,355,67.8,28.1,4,369,66.4,29.7,3.9,376,63.9,31.5,4.6,375,56.1,36.6,7.4,359,53.2,40.4,6.4,{FB7E7E9C-C4B8-444E-B3F9-7CFE5240890B},
-85.129561000229501,32.958542999958418,51,7410189,741,Troup County,0189,Long Cane Elementary School,E,PK-05,238 Long Cane Rd,Lagrange,GA,30240-9021,706.812.7948,479,54.9,38.8,6.3,493,69.2,27.3,3.5,511,52.8,40.1,7.2,514,59.5,36.9,3.6,535,55.4,38.4,6.1,495,52.7,40.8,6.5,{98C4E01E-1E10-4D02-89DF-DB82C5CDB3C5},
-85.065562000566331,33.028818999893225,52,7410597,741,Troup County,0597,Ethel W. Kight Elementary School,E,PK-05,75 Gordon Rd,Lagrange,GA,30240,706.812.7943,411,60.2,35.6,4.2,463,67.8,29,3.2,462,61.6,34.1,4.3,595,61.2,32.1,6.7,637,54.1,36.9,9,653,56.9,32.8,10.2,{47945812-FADC-45CF-8C4E-204312791207},
-85.04595399984575,33.0214639998173,53,7415052,741,Troup County,5052,Berta Weathersbee Elementary School,E,PK-05,1200 Forrest Ave,Lagrange,GA,30240-4929,706.883.1570,322,54.5,38.3,7.2,344,63.9,30.9,5.1,352,56.4,37.5,6.1,341,63.2,30.1,6.7,240,50.2,38.2,11.6,340,55,33.2,11.8,{438176F6-FD8B-4C77-BC96-35533FC71072},
-85.031773999342121,33.009394999831535,54,7410497,741,Troup County,0497,Whitesville Road Elementary School,E,PK-05,1700 Whitesville Rd,Lagrange,GA,30240-5959,706.812.7968,397,61.1,32.8,6.1,440,64,30.2,5.8,446,57.7,34.7,7.6,586,55,32,13,586,50,36.2,13.8,502,58.1,31.3,10.6,{9E2E964B-1B9F-4755-87E2-04C70E6997BA},
-84.948906000487398,32.961048999807574,55,7415050,741,Troup County,5050,Rosemont Elementary School,E,PK-05,4679 Hamilton Rd,Lagrange,GA,30241-8702,706.812.7954,494,60.5,36.9,2.6,521,64.1,34.5,1.4,542,55.2,42.2,2.6,558,63.5,34,2.5,564,57.8,38.7,3.5,605,56.1,39.3,4.6,{BCB6E81A-69ED-4C57-9CB4-4B526644C001},
-85.252762000083067,33.405598999608799,56,6742050,674,Heard County,2050,Ephesus Elementary School,E,PK-05,24414 Georgia Highway 100,Roopville,GA,30170-3010,770.854.4400,152,51.6,41.6,6.8,132,58.3,36.8,4.9,123,50.4,41.7,7.9,118,53.1,38.3,8.6,108,51.3,40.2,8.5,107,42.3,43.9,13.8,{605EA8BD-4068-4B98-A0BA-E1AF00833471},
-85.252516000168399,33.526366999750735,57,6222050,622,Carroll County,2050,Bowdon Elementary School,E,PK-05,223 Kent Ave,Bowdon,GA,30108-1607,770.258.2161,643,44.1,50.1,5.8,644,58.5,37.9,3.6,657,49.5,42.2,8.3,636,53.2,40.3,6.5,612,49.3,42.5,8.2,599,41,49.5,9.5,{E873BA33-0794-4AC3-8032-9556B4F0D378},
-85.056838999945654,33.055302999996272,58,7410194,741,Troup County,0194,Hollis Hand Elementary School,E,PK-05,641 Country Club Rd,Lagrange,GA,30240-1006,706.883.1580,485,52.8,39.1,8.1,505,57,35.3,7.7,518,52.2,38.4,9.4,534,54.9,37.7,7.4,551,53,40,7.1,568,60.7,35.4,4,{C674DA52-05EA-4D59-81E5-382577CAB8F9},
-85.03512700039812,33.073441999460755,59,7410205,741,Troup County,0205,Franklin Forest Elementary,E,PK-05,1 Scholar Ln,Lagrange,GA,30240-1214,706.845.7556,489,63.6,33.1,3.4,467,69.1,26.3,4.5,470,61.1,35.5,3.4,634,56.9,36.2,6.9,656,54.1,37.3,8.5,666,56.4,37.7,5.9,{3BC83D80-D778-4C8E-99FE-C13DCB155E17},
-85.038232000086396,33.122692999577652,60,7413050,741,Troup County,3050,Hillcrest Elementary School,E,PK-05,3116 Robert Hayes Rd,Lagrange,GA,30240-7715,706.812.7940,345,47.3,43.8,8.9,366,53.1,39.7,7.2,377,47.6,38.4,14,376,56.5,35.9,7.7,372,54.9,36.5,8.6,338,63.8,31.2,5,{77909FA6-AEE0-44CB-BDAF-777A769DCF1E},
-84.97233599964332,33.111796000024491,61,7410109,741,Troup County,0109,Callaway Elementary School,E,PK-05,2200 Hammett Rd,Lagrange,GA,30241-9413,706.845.2059,535,62.9,30.7,6.4,603,65.6,28.1,6.4,589,57.4,36.7,5.9,653,61.8,32.3,5.9,746,54.7,37.5,7.8,823,57.6,35.7,6.7,{35E6AEC8-3D17-4F49-AC49-99C314D23021},
-85.106901000050001,33.363742000049271,62,6741050,674,Heard County,1050,Centralhatchee Elementary School,E,PK-05,315 Centralhatchee Pkwy,Franklin,GA,30217-5173,770.854.4002,151,66.7,26.7,6.7,143,66,29.6,4.3,141,58.3,39.9,1.8,158,63.6,31.8,4.5,173,59.9,32.1,8,175,55.8,42.7,1.5,{DB6B1813-259F-459B-9610-1FC75CBAFF1D},
-85.13137700043545,33.462174000023246,63,6220377,622,Carroll County,0377,Roopville Elementary School,E,PK-05,60 Old Carrollton Rd,Roopville,GA,30170-2125,770.854.4421,353,49.5,44.4,6,348,56,38.9,5.2,337,41.9,48.1,9.9,367,51.1,42.3,6.6,369,41.3,51.4,7.3,375,46.7,42.9,10.4,{DD576F63-3BD8-456F-A577-85CF6324145F},
-85.069437999305052,33.540415000284845,64,6225050,622,Carroll County,5050,Central Elementary School,E,PK-05,175 Primary School Rd,Carrollton,GA,30116,770.832.6466,839,47.5,44.6,7.9,834,59.9,34.7,5.5,828,44.9,44.5,10.6,867,46.8,43.3,9.9,873,48.1,42.7,9.2,905,46,42.6,11.4,{D0D6E848-3FBB-40EF-82B6-817F84830322},
-85.062467999944474,33.3041359997397,65,6740106,674,Heard County,0106,Heard Elementary School,E,PK-05,4647 Pea Ridge Rd,Franklin,GA,30217-8002,706.675.3687,600,38.6,45.3,16.1,597,53.7,36.8,9.5,595,39.2,45,15.8,596,44.7,42.7,12.6,554,45.2,42.7,12.1,560,42.9,44.3,12.9,{9B3E344C-DEDF-4FF3-A808-59C3ACB170EE},
