OBJECTID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,FDID,FRST_MBRS,EMS_MBRS,TOTALPERS,NUMTRKS,NUMABUL,TOTAL_VEHI,NBR_STA,OWNER,LEVEL_,TYPE,SPECIALTY,EMSLICENSE,EMERPHONE,FRST,PERM_ID,GNIS_ID,GlobalID,last_edited_date
1385,UNCLASSIFIED,CENTRAL EMERGENCY MEDICAL SERVICES INCORPORATED - HEADQUARTERS,404-851-9911,3406 OAKCLIFF ROAD,BUILDING D-8,DORAVILLE,GA,30340,3012,DEKALB,13089,"LOCATED ON THE EAST SIDE OF OAKCLIFF RD, LESS THAN .1 MILES SOUTH OF PIN OAK CIR.", , , ,,PHONE,,MANUAL,621910,"AMBULANCE SERVICES, AIR OR GROUND",22727204,-84.254342,33.905605,NAVTEQ,2007Q2,ONENTITY,YES,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,N, , ,{A02E7288-C01D-4EE1-BD5D-DF1B1755277C},2015-12-30T22:07:46.000Z
1386,UNCLASSIFIED,FAYETTE COUNTY FIRE AND EMERGENCY SERVICES STATION 4,770-460-5730,175 JOHNSON AVENUE, ,FAYETTEVILLE,GA,30214,2079,FAYETTE,13113,NORTH SIDE OF SOUTHERN MOST JOHNSON AVE APPROXIMATELY 0.10 MILE WEST OF JEFF DAVIS DR S, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,0,-84.452333,33.44634,TGS,2007Q2,ONENTITY,NO,TGS,6791, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{62DA2CA4-AB77-4933-9FD7-681D47725A9C},2015-12-30T22:07:46.000Z
1387,UNCLASSIFIED,ATLANTA FIRE AND RESCUE STATION 18,404-853-7000,2007 OAKVIEW ROAD SOUTHEAST, ,ATLANTA,GA,30317,2507,DEKALB,13089,"LOCATED ON THE SOUTHWEST SIDE OF OAKVIEW RD SW, BETWEEN HOSEA L WILLIAMS DR SE AND PALATKA ST SE.", , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22666585,-84.322222,33.750844,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6691, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{5DCD9565-647E-4D91-8C52-33F496352958},2015-12-30T22:07:46.000Z
1388,UNCLASSIFIED,COBB COUNTY FIRE DEPARTMENT STATION 4,770-528-8000,1901 CUMBERLAND PARKWAY SOUTHEAST, ,ATLANTA,GA,30339,4429,COBB,13067,N SIDE OF CUMBERLAND PKY SE APPROX 0.04 MILES W OF BEECH HAVEN TRL ST, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,123793191,-84.484767,33.848768,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6875, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{2452F49B-7D2E-4C3C-830C-E74609DC0DED},2015-12-30T22:07:46.000Z
1389,UNCLASSIFIED,GWINNETT COUNTY FIRE DEPARTMENT STATION 25,678-518-4800,3575 LAWRENCEVILLE HIGHWAY, ,LAWRENCEVILLE,GA,30044,4105,GWINNETT,13135,LOCATED ON THE NORTHWEST SIDE OF LAWRENCEVILLE HIGHWAY NW BETWEEN OMEGA DR NW AND SWEETWATER WAY NW, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22741953,-84.102322,33.910386,NAVTEQ,2007Q2,ONENTITY,NO,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{1AF2EC95-BFDC-48F1-8924-EC8420B61C73},2015-12-30T22:07:46.000Z
1390,UNCLASSIFIED,COLLEGE PARK FIRE DEPARTMENT STATION 1 - HEADQUARTERS,404-766-8248,3737 COLLEGE STREET, ,COLLEGE PARK,GA,30337,3541,FULTON,13121,W SIDE OF COLLEGE ST BETWEEN HARVARD AVE AND PRINCETON AVE, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22715979,-84.451457,33.65335,NAVTEQ,2007Q2,ONENTITY,YES,TGS,6746,6004,0,0,65,0,0,0,2,LOCAL, ,CAREER, , , ,Y, , ,{92F9E538-C8C0-494D-B941-71B95A50474E},2015-12-30T22:07:46.000Z
1391,UNCLASSIFIED,GWINNETT COUNTY FIRE AND EMERGENCY SERVICES STATION 17,678-518-4800,2739 BROOKS ROAD, ,DACULA,GA,30019,1946,GWINNETT,13135,"LOCATED SE SIDE OF BROOKS RD SE, .08 MILE SW OF HARBINS RD SE.", , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22803157,-83.860772,33.947338,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6671, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{B5102003-D615-4857-BCC6-E469363ADE8B},2015-12-30T22:07:46.000Z
1392,UNCLASSIFIED,MCDONOUGH FIRE DEPARTMENT STATION 52,770-957-0627,1063 AVALON PARKWAY, ,MCDONOUGH,GA,30253,9017,HENRY,13151,ON NW SIDE OF INDUSTRIAL PKY BETWEEN PARKSIDE PLACE AVE AND PARKVIEW PLACE DR, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,710296246,-84.180322,33.422949,NAVTEQ,2007Q2,ONENTITY,YES,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{5DC5C692-B2FB-4788-9875-66399BEF247F},2015-12-30T22:07:46.000Z
1393,UNCLASSIFIED,PEACHTREE CITY FIRE AND RESCUE STATION 82 - NEELY,770-631-2526,105 PEACHTREE PARKWAY NORTH, ,PEACHTREE CITY,GA,30269,1732,FAYETTE,13113,LOCATED ON THE SOUTHWEST SIDE OF N PEACHTREE PKY BETWEEN HIGHLANDS WAY AND GA-54, , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,133515268,-84.570853,33.409233,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6785,5603,0,0,111,0,0,0,4,LOCAL, ,MOSTLY CAREER, , , ,Y, , ,{38FD6928-C136-44F3-B293-4F6B6F0F200E},2015-12-30T22:07:46.000Z
1394,UNCLASSIFIED,DOUGLAS COUNTY FIRE DEPARTMENT STATION 2,770-942-8626,2900 CONNERS ROAD, ,WINSTON,GA,30187,1440,DOUGLAS,13097,LOCATED ON THE NORTH SIDE OF CONNERS RD BETWEEN MASON CREEK RD AND POST RD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,35783080,-84.827398,33.725609,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6797, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{705D74E5-3DCF-4F47-8317-51155E648CDA},2015-12-30T22:07:46.000Z
1395,UNCLASSIFIED,EAST POINT FIRE DEPARTMENT STATION 3,404-559-6421,3800 NORTH COMMERCE DRIVE, ,EAST POINT,GA,30344,0,FULTON,13121,E SIDE OF N COMMERCE DR APPROX 0.35 MILES S OF CAMP CREEK PKY SW, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,0,-84.502814,33.65169,TGS,2007Q2,ONENTITY,YES,TGS,6774, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{73B0204F-0A58-401E-A757-CC9B9531273D},2015-12-30T22:07:46.000Z
1396,UNCLASSIFIED,RURAL/METRO CORPORATION,678-473-1234,12670 ARNOLD MILL ROAD, ,ALPHARETTA,GA,30004,3701,FULTON,13121,LOCATED ON THE NORTH CORNER OF ARNOLD MILL RD AND NEW PROVIDENCE RD., , , ,,PHONE,,MANUAL,621910,"AMBULANCE SERVICES, AIR OR GROUND",127175009,-84.362318,34.090915,NAVTEQ,2007Q2,ONENTITY,NO,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,N, , ,{F68CD239-12C3-40B5-A830-6B499A548059},2015-12-30T22:07:46.000Z
1397,UNCLASSIFIED,CHEROKEE COUNTY FIRE AND EMERGENCY SERVICES STATION 23,770-720-3166,7625 VAUGHN ROAD, ,CANTON,GA,30115,7259,CHEROKEE,13057,WEST SIDE OF FOSTER RD AND VAUGHN RD INTERSECTION., , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,104619154,-84.415813,34.165101,NAVTEQ,2007Q2,ONENTITY,YES,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{B1A967B1-E3D9-4966-9608-761375309A98},2015-12-30T22:07:46.000Z
1398,UNCLASSIFIED,METROATLANTA AMBULANCE SERVICE,770-693-8480,3459 ACWORTH DUE WEST ROAD NORTHWEST, ,KENNESAW,GA,30144,1042,COBB,13067,LESS THEN .1 MILES SOUTH FROM THE T INTERESECTION OF GRAND OAKS DR NW AND ACWORTH DUE WEST ROAD ON THE WEST SIDE OF ACWORTH DUE WEST ROAD., , , ,,PHONE,,MANUAL,621910,"AMBULANCE SERVICES, AIR OR GROUND",22815758,-84.675125,34.038466,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,N, , ,{EDBFE790-7598-4F5A-8397-1B0173B4889E},2015-12-30T22:07:46.000Z
1399,UNCLASSIFIED,MARIETTA FIRE DEPARTMENT STATION 3,770-794-5450,1050 WESTBOROUGH DRIVE, ,MARIETTA,GA,30064,2073,COBB,13067,SW SIDE OF WESTBOROUGH DR BETWEEN POLK ST NW AND BURNT HICKORY CIR NW, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,111689007,-84.583518,33.953677,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6865, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{49ED09FA-F4B4-4730-B715-F52C55B6EFD6},2015-12-30T22:07:46.000Z
1400,UNCLASSIFIED,CHEROKEE COUNTY FIRE AND EMERGENCY SERVICES STATION 3,770-479-5028,3624 HICKORY FLAT HIGHWAY, ,CANTON,GA,30115,9111,CHEROKEE,13057,WEST SIDE OF ORCHARD DR. AND GA-140 T INTERSECTION., , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,104525623,-84.452079,34.199965,NAVTEQ,2007Q2,ONENTITY,YES,TGS,6897, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{1D9486D6-D397-4B5A-9F7E-AC0C42716978},2015-12-30T22:07:46.000Z
1401,UNCLASSIFIED,COBB COUNTY FIRE DEPARTMENT STATION 16,770-528-8000,3800 BELLS FERRY ROAD NORTHWEST, ,KENNESAW,GA,30144,2204,COBB,13067,NE SIDE OF BELLS FERRY RD NW BETWEEN LANSING DR NW AND WESTMORELAND DR NW, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22827469,-84.55361,34.044744,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6852, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{3503DEE7-0DDC-4A1A-91EF-826CEE7BA624},2015-12-30T22:07:46.000Z
1402,UNCLASSIFIED,FULTON COUNTY PUBLIC SAFETY - TRAINING CENTER,404-346-7940,3025 MERK ROAD SOUTHWEST, ,COLLEGE PARK,GA,30349,1254,FULTON,13121,"LOCATED ON THE NORTHWEST SIDE OF MERK RD SW, .8 MILES WEST OF GA-6.", , , ,,PHONE,,MANUAL,611519,FIRE FIGHTER TRAINING SCHOOLS,22714616,-84.564593,33.672821,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS,6730, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{7D7A2CDB-2E0C-4D82-A966-8FC2C64E58B0},2015-12-30T22:07:46.000Z
1403,UNCLASSIFIED,FAYETTE COUNTY FIRE AND EMERGENCY SERVICES STATION 3,770-460-5730,935 SENOIA ROAD, ,TYRONE,GA,30290,2067,FAYETTE,13113,SOUTHEAST SIDE OF SENOIA RD 0.02 MILE SOUTHWEST OF S BRENTWOOD RD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,114451304,-84.594481,33.478564,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6788, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{38C32DD0-7338-4834-A437-C706144C6A90},2015-12-30T22:07:46.000Z
1404,UNCLASSIFIED,COBB COUNTY FIRE DEPARTMENT STATION 24,770-528-8000,3540 PAUL SAMUEL ROAD, ,KENNESAW,GA,30152,4029,COBB,13067,SW CORNER OF PAUL SAMUEL RD AND STILESBORO RD NW, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22816674,-84.657707,33.994325,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6861, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{61C06E7A-6897-4659-809F-AE0650043512},2015-12-30T22:07:46.000Z
1405,UNCLASSIFIED,RIVERDALE FIRE SERVICES STATION 21,770-996-3382,6690 CHURCH STREET, ,RIVERDALE,GA,30274,4712,CLAYTON,13063,NORTHEAST SIDE OF THE INTERSECTION OF ORME ST AND CHURCH ST, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22736282,-84.415618,33.572028,NAVTEQ,2007Q2,ONENTITY,YES,TGS,6839,3102,0,0,39,0,0,0,2,LOCAL, ,CAREER, , , ,Y, , ,{1DC003BD-C09C-4752-8CEE-46B0452F7B4B},2015-12-30T22:07:46.000Z
1406,UNCLASSIFIED,FAYETTE COUNTY FIRE AND EMERGENCY SERVICES STATION 2,770-305-5414,1330 STATE HIGHWAY 92 NORTH, ,FAYETTEVILLE,GA,30214,0,FAYETTE,13113,FROM THE INTERSECTION OF STATE HWY 92 N AND FIREHOUSE RD TAKE FIREHOUSE RD TO THE WEST LESS THAN .1 MILE AT THE VERY W END OF FIREHOUSE RD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,104505715,-84.498955,33.515998,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6789, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{146AABF7-C9F7-422A-90C8-119337CE3966},2015-12-30T22:07:46.000Z
1407,UNCLASSIFIED,GWINNETT COUNTY FIRE AND EMERGENCY SERVICES STATION 5,678-518-4800,3001 OLD NORCROSS ROAD, ,DULUTH,GA,30096,0,GWINNETT,13135,"LOCATED N SIDE OF OLD NORCROSS RD NW, APPROX .13 MILE NW OF BRECKINRIDGE PKY NW.", , , ,,PHONE,,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,127187133,-84.106139,33.956183,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS,6682, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{1E43DC74-E4ED-45EE-8630-C1929111D436},2015-12-30T22:07:46.000Z
1408,UNCLASSIFIED,CHEROKEE COUNTY FIRE AND EMERGENCY SERVICES STATION 9,770-479-6714,1398 REINHARDT COLLEGE PARKWAY, ,CANTON,GA,30114,2000,CHEROKEE,13057,ON EAST SIDE OF GA-140 ABOUT .1 MILE NORTH OF PEARIDGE RD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,124521270,-84.493245,34.261679,NAVTEQ,2007Q2,ONENTITY,YES,TGS,6899, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{50E41F35-AF79-440F-BD75-D5AE7DBFDC4A},2015-12-30T22:07:46.000Z
1409,UNCLASSIFIED,STONE MOUNTAIN PARK DEPARTMENT OF PUBLIC SAFETY,770-498-5675,2027 OLD HUGH HOWELL ROAD, ,STONE MOUNTAIN,GA,30083,0,DEKALB,13089,LOCATED ON THE NORTHEAST SIDE OLD HUGH HOWELL RD 0.10 MILES SOUTHEAST OF THE INTERSECTION OF OLD HUGH HOWELL RD AND NORTHGATE DR, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,118807465,-84.147217,33.813416,NAVTEQ,2007Q2,ONENTITY,YES,TGS,6823,4404,0,0,11,0,0,0,1,STATE GOVERNMENT, ,MOSTLY VOLUNTEER, , , ,Y, , ,{45F5A49C-5F89-4E72-9EAA-9D87A48445D5},2015-12-30T22:07:46.000Z
1410,UNCLASSIFIED,COBB COUNTY FIRE DEPARTMENT STATION 12,770-528-8000,810 BRACKETT ROAD, ,MARIETTA,GA,30066,3864,COBB,13067,SW SIDE OF BRACKETT RD APPROX 0.05 MILES SE OF CANTON RD NE, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22828253,-84.527653,34.027636,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6853, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{939FA3A6-E8D0-4867-AE2D-155BC3EBBF25},2015-12-30T22:07:46.000Z
1411,UNCLASSIFIED,AMERICAN MEDICAL RESPONSE,678-290-7000,1305 CHASTAIN ROAD,SUITE 400,KENNESAW,GA,30144,0,COBB,13067,ON THE SOUTHEAST SIDE OF CHASTAIN ROAD IN BETWEEN MCCOLLUM PKY NW AND BIG SHANTY RD NW, , , ,,PHONE,,MANUAL,621910,"AMBULANCE SERVICES, AIR OR GROUND",133515157,-84.586101,34.025722,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,N, , ,{EF7E0342-4993-4B54-B793-692BB6A00A20},2015-12-30T22:07:46.000Z
1412,UNCLASSIFIED,COBB COUNTY FIRE DEPARTMENT STATION 14,770-528-8000,2905 LIBRARY LANE, ,MARIETTA,GA,30062,0,COBB,13067,N SIDE OF LIBRARY LN APPROX LESS THAN A TENTH OF A MILE SE OF HOLLY SPRINGS RD NE, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,710258398,-84.466583,34.030562,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6850, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{6D97FC1D-8144-4855-AB82-5580795A9987},2015-12-30T22:07:46.000Z
1413,UNCLASSIFIED,FAYETTE COUNTY FIRE AND EMERGENCY SERVICES STATION 10,770-460-5730,195 SEAY ROAD, ,FAYETTEVILLE,GA,30215,2602,FAYETTE,13113,NORTHWEST SIDE OF THE INTERSECTION OF SEAY RD AND MCBRIDE CEMETERY RD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,105302767,-84.451599,33.40659,NAVTEQ,2007Q2,ONENTITY,NO,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{B811BE03-20DF-4ECB-918B-AA167270ECE2},2015-12-30T22:07:46.000Z
1414,UNCLASSIFIED,ATLANTA FIRE AND RESCUE STATION 17,404-756-1911,1489 RALPH DAVID ABERNATHY BOULEVARD SOUTHWEST, ,ATLANTA,GA,30310,1645,FULTON,13121,NE SIDE OF RALPH DAVID ABERNATHY BLVD SW BETWEEN WILLARD AVE SW AND STOKES AVE SW, , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22709033,-84.436385,33.742314,NAVTEQ,2007Q2,ONENTITY,YES,TGS,6757, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{0F4D6C4B-5305-4AD1-84E7-616AE3A04263},2015-12-30T22:07:46.000Z
1415,UNCLASSIFIED,ATLANTA FIRE AND RESCUE STATION 34,404-853-7000,3671 SOUTHSIDE INDUSTRIAL PARKWAY, ,ATLANTA,GA,30354,3214,FULTON,13121,W SIDE OF SOUTHSIDE INDUSTRIAL PKY APPROX 0.07 MILES N OF SOUTHSIDE INDUSTRIAL WAY SE, , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22670302,-84.374362,33.656581,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6750, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{6E8C5EDC-8F76-4E9F-979F-5B2AD64E3FDA},2015-12-30T22:07:46.000Z
