OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,MedianAge2015,TotalHH2015,MedianHHIncome2015,Ed25Older2015_onlyHS,Ed25Older2015_uptoBachelors,Ed25Older2015_uptoGradDegree,MedianHomeValue2015,VehiclesPerHouse2015,AvgTravelTimeToWorkRelative,DiversityIndex2015,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Ed25Older2015_TotalPop,Ed25Older2015_onlyHS_PerOfTotal,Ed25Older2015_uptoBachelors_Per,Ed25Older2015_uptoGradDegree_Pe,Ed25Older2015_onlyHS_PerOfTot_1,Ed25Older2015_uptoBachelors_P_1,Ed25Older2015_uptoGradDegree__1,MedianHHIncome2015_AmtFromMedia,MedianHHIncome2015_PerFromMedia,Score_MedianAge,Score_TotalHH2015,Score_MedianHHIncome2015,Score_MedianHomeValue2015,Score_VehiclesPerHouse2015,Score_DiversityIndex,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Score_Education_onlyHS,Score_Education_upToBachelors,Score_Education_upToGradDegree,Shape_Length,Shape_Area
81,SA100448,Mabry Park,Subdivision,30.92942441,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,278,215,77,124,14,36.9,97,111426,12,83,20,368333,3,3,61,35.8139,57.6744,6.5116,0.153484,0.247169,0.027906,0.4169,115,10.4347,72.1739,17.3913,0.318386,0.488522,0.195312,-4449.39568,-3.8398105626946,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,7300.03864400863,1354877.74388362
82,SA100343,Mayfair,Subdivision,124.1378116,Hillside Elementary School,Haynes Bridge Middle School,Centennial High School,1991,No,No,417,314,65,214,35,42.4,134,153889,16,109,78,575397,0,0,38.6,20.7006,68.1528,11.1464,0.129564,0.426566,0.069765,0.6254,203,7.8817,53.6945,38.4236,0.424515,0.641553,0.761718,38013.60432,32.8055874958941,2 - Average,2 - Average,3 - High,3 - High,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,13156.8697856299,5407452.63258951
83,SA100408,Medlock Bridge,Subdivision,293.5767164,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,1927,1477,521,902,54,43.6,621,130066,119,394,486,592033,2,0,56.9,35.2742,61.0697,3.656,1.03851,1.797958,0.107638,2.89,999,11.9119,39.4394,48.6486,3.157336,2.319011,4.746093,14190.60432,12.2464343990861,2 - Average,3 - High,2 - Average,3 - High,2 - Average,3 - High,3 - High,2 - Average,1 - Low,3 - High,2 - Average,3 - High,24856.0725772812,12789767.2596256
84,SA100467,Merrimont,Townhomes,15.33506655,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,275,214,67,129,18,40,118,103488,30,64,27,339655,3,3,62.1,31.3084,60.2803,8.4112,0.133551,0.257136,0.035879,0.4124,121,24.7933,52.8925,22.314,0.795967,0.376692,0.263671,-12387.395683,-10.6902726070409,2 - Average,2 - Average,2 - Average,1 - Low,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3592.53052052682,667995.478736158
85,SA100483,Montclair,Subdivision,106.49519901,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,236,178,42,128,8,38.1,65,136498,8,61,40,505208,0,0,61.2,23.5955,71.9101,4.4943,0.083718,0.255142,0.015946,0.3539,109,7.3394,55.9633,36.6972,0.212257,0.359034,0.390625,20622.604317,17.7972245060696,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,9442.09095084679,4635797.56375015
86,SA100511,Morningside,Townhomes,5.25913575,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,Yes,72,57,18,34,5,39.4,28,103739,8,17,7,342857,3,3,61.9,31.5789,59.6491,8.7719,0.035879,0.067772,0.009966,0.1079,32,25,53.125,21.875,0.212257,0.100058,0.068359,-12136.395683,-10.4736606174804,2 - Average,1 - Low,2 - Average,1 - Low,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,2064.6421430857,229685.016134498
87,SA100344,Morton Plantation,Subdivision,35.65830334,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,638,463,163,278,22,39.3,214,115792,79,110,77,465278,0,0,66.2,35.2051,60.0431,4.7516,0.324908,0.554138,0.043852,0.9568,266,29.6992,41.3533,28.9473,2.096046,0.647439,0.751953,-83.3956829999952,-0.071970138706702,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,2 - Average,1 - Low,1 - Low,2 - Average,1 - Low,1 - Low,5453.77434662874,1553233.95728418
88,SA100426,Morton Reserve,Subdivision,48.76396535,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,376,273,96,164,13,39.3,106,116462,47,65,45,463889,0,0,66.1,35.1648,60.0732,4.7619,0.191357,0.326901,0.025912,0.5639,157,29.9363,41.4012,28.6624,1.247015,0.382577,0.439453,586.604317000005,0.506237164104084,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,2 - Average,1 - Low,1 - Low,7271.85592942076,2124137.61751214
89,SA100349,Oakmont,Subdivision,14.92547429,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,112,83,18,59,6,41.1,30,119169,12,36,19,533333,0,0,61.6,21.6867,71.0843,7.2289,0.035879,0.117604,0.011959,0.1679,67,17.9104,53.7313,28.3582,0.318386,0.211889,0.185546,3293.604317,2.84236726665453,2 - Average,1 - Low,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3457.73951197869,650186.782109409
90,SA100514,"Orchards at Jones Bridge, The",Townhomes,25.32970324,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,1999,No,Yes,909,659,135,435,89,43.8,509,102798,74,200,159,280088,2,0,55.9,20.4855,66.0091,13.5053,0.269095,0.867086,0.177403,1.3632,433,17.09,46.1893,36.7205,1.963385,1.177163,1.552734,-13077.395683,-11.2857398293386,2 - Average,3 - High,2 - Average,1 - Low,2 - Average,3 - High,1 - Low,2 - Average,1 - Low,2 - Average,1 - Low,2 - Average,4467.63071808208,1104129.68906867
91,SA100350,Papillon,Subdivision,10.23425874,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,1997,No,No,7,5,1,4,0,47.5,1,200001,0,2,2,0,3,0,40.8,20,80,0,0.001993,0.007973,0,0.0104,4,0,50,50,0,0.011771,0.019531,84125.604317,72.6000578648656,2 - Average,(no data),3 - High,(no data),3 - High,2 - Average,1 - Low,1 - Low,(no data),1 - Low,1 - Low,1 - Low,3338.31486261074,446119.504512273
92,SA100289,"Park at Breckenridge, The",Subdivision,48.55123886,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,1567,1135,262,754,119,37.6,606,116832,73,495,218,345868,2,0,41.5,23.0837,66.4317,10.4845,0.522245,1.50295,0.237202,2.3501,786,9.2875,62.977,27.7353,1.936853,2.913478,2.128906,956.604317000005,0.825545674611532,2 - Average,3 - High,2 - Average,1 - Low,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,8193.11174371113,2114806.7714126
93,SA100513,"Park at Nesbit Place, The",Townhomes,9.10087417,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,Yes,18,12,2,9,1,41.3,4,150000,1,6,2,450000,3,0,51.1,16.6666,75,8.3333,0.003986,0.017939,0.001993,0.0269,9,11.1111,66.6666,22.2222,0.026532,0.035314,0.019531,34124.60432,29.4493961516685,2 - Average,(no data),3 - High,2 - Average,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3129.81724470079,396423.871325546
94,SA100367,"Park at Rivermont, The",Subdivision,12.23221074,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,811,577,103,419,55,40.8,379,117957,32,264,85,434028,2,0,50,17.8509,72.6169,9.532,0.20531,0.835193,0.109631,1.2163,381,8.3989,69.2913,22.3097,0.849031,1.553855,0.830078,2081.604317,1.79641614574905,2 - Average,3 - High,2 - Average,2 - Average,2 - Average,2 - Average,1 - Low,2 - Average,1 - Low,1 - Low,2 - Average,1 - Low,3556.21351361688,535097.825410184
95,SA100416,"Park at Wellington, The",Subdivision,52.15310515,Findley Oaks Elementary School,Taylor Road Middle School,Chattahoochee High School,2001,No,No,1588,1107,227,768,112,35.4,520,108327,43,403,249,368750,2,3,67.1,20.5058,69.3766,10.1174,0.452479,1.530856,0.223249,2.3816,695,6.187,57.9856,35.8273,1.140886,2.371983,2.43164,-7548.39568,-6.51423508718807,2 - Average,3 - High,2 - Average,2 - Average,2 - Average,3 - High,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,7561.98457223275,2271789.24575736
96,SA100413,Parkside,Subdivision,49.27925664,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,91,68,16,49,3,38,27,139343,3,23,15,512500,0,0,61.4,23.5294,72.0588,4.4117,0.031892,0.097671,0.005979,0.1364,41,7.317,56.0975,36.5853,0.079596,0.135373,0.146484,23467.604317,20.2524480530796,2 - Average,1 - Low,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,7298.2008628442,2146520.54762069
97,SA100389,Parsons Run,Subdivision,139.20567637,Medlock Bridge Elementary School,River Trail Middle School,Northview High School,,No,No,103,77,17,54,6,40.8,32,118872,11,33,18,531250,0,0,61.3,22.0779,70.1298,7.7922,0.033886,0.107638,0.011959,0.1544,62,17.7419,53.2258,29.0322,0.291854,0.194231,0.175781,2996.604317,2.58605746227422,2 - Average,1 - Low,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,15732.7520079215,6063829.2789765
98,SA100390,Parsons Station,Subdivision,20.11168319,Medlock Bridge Elementary School,River Trail Middle School,Northview High School,,No,No,384,286,62,202,22,40.7,117,117578,40,123,65,540254,0,0,61.9,21.6783,70.6293,7.6923,0.123584,0.402647,0.043852,0.5759,228,17.5438,53.9473,28.5087,1.061289,0.723955,0.634765,1702.604317,1.4693406714725,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,2 - Average,1 - Low,1 - Low,4592.66873217768,876081.565935956
99,SA100461,Pinnacle,Townhomes,5.88181263,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,Yes,55,47,12,22,13,48.8,32,83230,5,18,3,293750,3,0,43.5,25.5319,46.8085,27.6595,0.023919,0.043852,0.025912,0.0824,26,19.2307,69.2307,11.5384,0.132661,0.105944,0.029296,-32645.39568,-28.1728450553109,3 - High,1 - Low,1 - Low,1 - Low,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3449.49032583093,256211.787231746
100,SA100353,Prestwick,Subdivision,108.05516301,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,729,557,137,388,32,48.6,266,104576,86,169,164,560567,0,0,52.5,24.596,69.6588,5.745,0.273082,0.773401,0.063785,1.0933,419,20.525,40.3341,39.1408,2.281772,0.994702,1.601562,-11299.395683,-9.75133298695413,3 - High,2 - Average,2 - Average,3 - High,(no data),2 - Average,2 - Average,2 - Average,1 - Low,2 - Average,1 - Low,2 - Average,11977.2688630496,4705718.55765046
101,SA100393,Queensbury,Subdivision,44.15654348,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,801,650,140,478,32,46.8,267,138185,9,300,153,563742,2,3,23.2,21.5384,73.5384,4.923,0.279062,0.952798,0.063785,1.2013,462,1.948,64.935,33.1168,0.23879,1.765744,1.49414,22309.604317,19.2530987147887,3 - High,2 - Average,2 - Average,3 - High,2 - Average,2 - Average,2 - Average,2 - Average,1 - Low,1 - Low,2 - Average,2 - Average,5592.10026676562,1923206.97581051
102,SA100423,Randolph Hall,Subdivision,34.99559019,Medlock Bridge Elementary School,River Trail Middle School,Northview High School,,No,No,275,211,74,129,8,43.4,79,129430,17,56,69,593085,3,0,56.8,35.071,61.1374,3.7914,0.147504,0.257136,0.015946,0.4124,142,11.9718,39.4366,48.5915,0.451048,0.329605,0.673828,13554.60432,11.697568959403,2 - Average,2 - Average,2 - Average,3 - High,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5933.42484170284,1524378.00280728
103,SA100412,"Reserve at Foxdale, The",Subdivision,65.73523761,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,1724,1352,370,955,27,41.3,504,133137,42,435,296,507199,0,2,61,27.3668,70.636,1.997,0.737521,1.903603,0.053819,2.5855,773,5.4333,56.2742,38.2923,1.114353,2.560329,2.890625,17261.604317,14.8966950362979,2 - Average,3 - High,2 - Average,2 - Average,(no data),3 - High,2 - Average,2 - Average,1 - Low,2 - Average,2 - Average,2 - Average,7395.63896244619,2863143.85144259
104,SA100300,"Reserve at Johns Creek Walk, The",Mixed,8.96164991,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,694,483,99,335,49,35.4,366,108258,19,176,109,369595,3,3,67.2,20.4968,69.3581,10.1449,0.197336,0.667756,0.097671,1.0408,304,6.25,57.8947,35.8552,0.504112,1.035903,1.064453,-7617.39568,-6.57378180941784,2 - Average,3 - High,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,2517.55261761061,390369.470456836
105,SA100486,"Residences at Johns Creek Walk, The",Mixed,9.02877222,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,7,4,1,3,0,37.5,2,0,0,2,1,0,3,3,71.4,25,75,0,0.001993,0.005979,0,0.0104,3,0,66.6666,33.3333,0,0.011771,0.009765,,,2 - Average,(no data),(no data),(no data),3 - High,3 - High,1 - Low,1 - Low,(no data),1 - Low,1 - Low,1 - Low,3570.36174248338,393293.31798456
106,SA100439,"Ridge at Brumbelow, The",Subdivision,96.4224555,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,2402,1709,306,1241,162,40.7,809,118348,94,783,251,433660,2,0,49.8,17.9052,72.6155,9.4792,0.60995,2.473688,0.322915,3.6024,1128,8.3333,69.4148,22.2517,2.49403,4.608593,2.451171,2472.604317,2.13384757171773,2 - Average,3 - High,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,2 - Average,2 - Average,3 - High,2 - Average,13953.9972331152,4200092.92079874
107,SA100391,River Club,Subdivision,53.76902249,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,14,10,1,9,0,60,5,150000,1,3,3,750000,0,0,36.2,10,90,0,0.001993,0.017939,0,0.0209,7,14.2857,42.8571,42.8571,0.026532,0.017657,0.029296,34124.60432,29.4493961516685,3 - High,(no data),3 - High,3 - High,(no data),2 - Average,1 - Low,1 - Low,(no data),1 - Low,1 - Low,1 - Low,8313.86527167431,2342176.99880643
108,SA100278,River Glen,Subdivision,120.31054996,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,162,128,31,82,15,47.5,54,178640,7,47,30,1000001,3,0,26.3,24.2187,64.0625,11.7187,0.061792,0.16345,0.029899,0.2429,84,8.3333,55.9523,35.7142,0.185725,0.276633,0.292968,62764.60432,54.1656008568937,3 - High,2 - Average,3 - High,3 - High,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,12246.6325050299,6082934.0848438
109,SA100279,River Ridge,Subdivision,47.14706821,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,123,102,26,48,28,48,66,83258,12,41,7,296429,3,0,42.1,25.4901,47.0588,27.4509,0.051825,0.095678,0.055812,0.1844,60,20,68.3333,11.6666,0.318386,0.241318,0.068359,-32617.39568,-28.1486811680292,3 - High,2 - Average,1 - Low,1 - Low,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5687.14880140482,2053650.65372067
110,SA100457,River Walk,Subdivision,136.14678409,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,274,189,52,132,5,37.3,81,131691,3,54,56,467241,0,0,51.2,27.5132,69.8412,2.6455,0.103651,0.263115,0.009966,0.4109,113,2.6548,47.7876,49.5575,0.079596,0.317834,0.546875,15815.60432,13.6488028573958,2 - Average,2 - Average,2 - Average,2 - Average,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,10092.1743001789,5930235.80575137
111,SA100281,Rivermont Colony,Subdivision,58.31373088,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,189,160,41,75,44,48.2,74,84568,19,63,10,296875,3,0,41.2,25.625,46.875,27.5,0.081725,0.149497,0.087705,0.2834,92,20.6521,68.4782,10.8695,0.504112,0.370806,0.097656,-31307.39568,-27.018156441638,3 - High,2 - Average,1 - Low,1 - Low,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,8367.5558856632,2540164.82674051
112,SA100357,Roswell Mill,Subdivision,37.13551616,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,216,153,49,91,13,35.4,81,102393,18,56,17,298077,3,0,70.7,32.0261,59.4771,8.4967,0.097671,0.18139,0.025912,0.3239,91,19.7802,61.5384,18.6813,0.47758,0.329605,0.166015,-13482.395683,-11.6352531989481,2 - Average,2 - Average,2 - Average,1 - Low,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5814.57547021136,1617607.90037676
113,SA100422,Seven Oaks,Subdivision,376.66234806,Findley Oaks Elementary School,River Trail Middle School,Northview High School,2000,No,No,3102,2163,592,1467,104,36.8,894,135790,145,635,525,646759,0,0,47.4,27.3693,67.8224,4.8081,1.180035,2.924174,0.207303,4.6522,1305,11.1111,48.659,40.2298,3.847174,3.737492,5.126953,19914.604317,17.1862233562337,2 - Average,3 - High,2 - Average,3 - High,(no data),2 - Average,3 - High,3 - High,2 - Average,3 - High,3 - High,3 - High,17770.3339768678,16407240.5092
114,SA100358,Silver Ridge,Subdivision,67.61970541,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,295,228,81,132,15,36.8,91,112428,13,88,21,367857,3,3,61.1,35.5263,57.8947,6.5789,0.161457,0.263115,0.029899,0.4424,122,10.6557,72.1311,17.2131,0.344919,0.517951,0.205078,-3447.395683,-2.97508859640145,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,7978.06732058183,2945374.89727253
115,SA100507,St. Ives Country Club,Subdivision,663.90169084,Wilson Creek Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,1640,1342,290,957,95,39.6,547,112707,86,495,265,819588,3,3,63.8,21.6095,71.3114,7.0789,0.578057,1.90759,0.189363,2.4596,846,10.1654,58.5106,31.3238,2.281772,2.913478,2.58789,-3168.395683,-2.73431271955935,2 - Average,3 - High,2 - Average,3 - High,3 - High,3 - High,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,23002.3011157231,28919626.4734265
116,SA100404,Stevens Creek,Subdivision,48.31238925,Lake Windward Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,205,149,41,105,3,36.1,64,121314,10,51,26,400000,3,3,57.4,27.5167,70.4697,2.0134,0.081725,0.209296,0.005979,0.3074,87,11.4942,58.6206,29.885,0.265322,0.300176,0.253906,5438.604317,4.69349363162339,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6766.10842597269,2104518.90783288
117,SA100510,Stone Pond,Subdivision,9.87312946,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,1998,Yes,Yes,11,8,2,6,0,47.5,4,169023,1,3,3,500000,0,0,51.2,25,75,0,0.003986,0.011959,0,0.0164,7,14.2857,42.8571,42.8571,0.026532,0.017657,0.029296,53147.60432,45.8661685716231,3 - High,(no data),3 - High,2 - Average,(no data),2 - Average,1 - Low,1 - Low,(no data),1 - Low,1 - Low,1 - Low,3086.62124048255,430146.694693323
118,SA100392,Stratmore,Subdivision,27.60566988,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,1991,No,No,123,94,23,66,5,48.5,39,107692,15,29,28,553571,0,0,52.7,24.468,70.2127,5.3191,0.045845,0.131557,0.009966,0.1844,72,20.8333,40.2777,38.8888,0.397983,0.170688,0.273437,-8183.39568,-7.0622375308968,3 - High,1 - Low,2 - Average,3 - High,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5603.71757427761,1202498.45837732
119,SA100284,Sugar Mill,Subdivision,254.01663076,Wilson Creek Elementary School,River Trail Middle School,Northview High School,2006,No,No,1043,818,224,578,16,41.3,303,133869,26,263,179,507609,0,3,61,27.3838,70.6601,1.9559,0.446499,1.152128,0.031892,1.5642,468,5.5555,56.1965,38.2478,0.689838,1.547969,1.748046,17993.604317,15.528408089518,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,2 - Average,2 - Average,1 - Low,1 - Low,2 - Average,2 - Average,17659.7380016608,11064682.3695536
120,SA100458,Summer Trace,Subdivision,43.52918184,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,221,164,43,94,27,37.5,84,94656,6,61,43,275000,0,0,53.6,26.2195,57.317,16.4634,0.085712,0.18737,0.053819,0.3314,110,5.4545,55.4545,39.0909,0.159193,0.359034,0.419921,-21219.39568,-18.3122530524511,2 - Average,2 - Average,2 - Average,1 - Low,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5988.85377641789,1896134.41686723
121,SA100477,Tavistock,Subdivision,35.98856429,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,5,4,1,3,0,37.5,2,200001,0,1,1,500000,0,0,32,25,75,0,0.001993,0.005979,0,0.0074,2,0,50,50,0,0.005885,0.009765,84125.604317,72.6000578648656,2 - Average,(no data),3 - High,2 - Average,(no data),2 - Average,1 - Low,1 - Low,(no data),1 - Low,1 - Low,1 - Low,5247.45767354639,1567661.88244179
122,SA100264,Thornhill,Subdivision,170.54739414,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,2003,No,No,211,161,40,112,9,47.9,72,105375,25,49,47,562500,0,0,52.7,24.8447,69.5652,5.59,0.079732,0.223249,0.017939,0.3164,121,20.6611,40.4958,38.8429,0.663305,0.288404,0.458984,-10500.395683,-9.0617992034529,3 - High,2 - Average,2 - Average,3 - High,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,16393.6400430993,7428852.51547025
123,SA100371,Timberlane,Subdivision,37.0633289,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,298,233,73,140,20,40,113,103739,33,69,29,339286,3,3,62.3,31.3304,60.0858,8.5836,0.145511,0.279062,0.039866,0.4469,131,25.1908,52.6717,22.1374,0.875563,0.406121,0.283203,-12136.395683,-10.4736606174804,2 - Average,2 - Average,2 - Average,1 - Low,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6160.4162414155,1614265.63482321
124,SA100451,Timberstone,Subdivision,109.54902095,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,134,97,22,65,10,38.1,52,117737,6,42,19,345238,3,0,41.1,22.6804,67.0103,10.3092,0.043852,0.129564,0.019933,0.2009,67,8.9552,62.6865,28.3582,0.159193,0.247204,0.185546,1861.604317,1.60655703139327,2 - Average,2 - Average,2 - Average,1 - Low,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,16120.3527071905,4771753.48126184
125,SA100512,Towne Village at New Haven,Townhomes,16.15392836,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,Yes,75,56,8,42,6,35.4,33,104447,4,21,9,400000,3,3,64.7,14.2857,75,10.7142,0.015946,0.083718,0.011959,0.1124,34,11.7647,61.7647,26.4705,0.106128,0.123602,0.08789,-11428.395683,-9.86265946764456,2 - Average,1 - Low,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3895.42651684418,703676.543090527
126,SA100370,"Village at Jones Ferry, The",Subdivision,27.93186679,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,63,45,10,30,5,37.5,33,112619,3,20,9,346154,3,0,41.4,22.2222,66.6666,11.1111,0.019933,0.059799,0.009966,0.0944,32,9.375,62.5,28.125,0.079596,0.117716,0.08789,-3256.395683,-2.81025636530166,2 - Average,1 - Low,2 - Average,1 - Low,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5338.35479117866,1204669.6359591
127,SA100373,Waterford,Subdivision,69.64544072,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,1993,No,No,192,149,53,86,10,36.7,70,111683,8,57,14,370455,3,3,61.1,35.5704,57.7181,6.7114,0.105645,0.171424,0.019933,0.2879,79,10.1265,72.1518,17.7215,0.212257,0.335491,0.136718,-4192.39568,-3.61802059728807,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,8158.20847450645,3042257.84514017
128,SA100503,Wentworth,Subdivision,15.59133632,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,Yes,117,87,23,50,14,37.2,43,95431,3,32,23,270833,0,0,54.1,26.4367,57.4712,16.0919,0.045845,0.099665,0.027906,0.1754,58,5.1724,55.1724,39.6551,0.079596,0.188346,0.224609,-20444.39568,-17.6434311723342,2 - Average,1 - Low,2 - Average,1 - Low,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5123.34376691886,679038.886189446
129,SA100286,Westbury,Subdivision,54.67488117,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,1999,No,No,1120,818,246,482,90,35,331,116631,63,262,124,413710,3,0,62.6,30.0733,58.9242,11.0024,0.490352,0.960771,0.179397,1.6797,449,14.0311,58.3518,27.6169,1.67153,1.542083,1.210937,755.604317000005,0.652083483768297,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,2 - Average,2 - Average,1 - Low,2 - Average,2 - Average,1 - Low,7684.15013551011,2381574.83432147
130,SA100427,Willow Run,Subdivision,56.13167002,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,333,256,76,166,14,39.6,118,117683,14,80,48,509146,0,3,48.7,29.6875,64.8437,5.4687,0.15149,0.330888,0.027906,0.4994,142,9.8591,56.338,33.8028,0.371451,0.470865,0.46875,1807.604317,1.55995524877867,2 - Average,2 - Average,2 - Average,2 - Average,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,7270.14893656918,2843600.38625175
