OBJECTID,FeatureID,NbrhdID,DevName,DevType,DevPhase,PlatDate,PathToPlatGeo,PathToPlatNotGeo,PathToPlatGeoWeb,PathToPlatNotGeoWeb,PlatType,Comments,GlobalID,created_date,last_edited_date,Shape__Area,Shape__Length
15,NP100021,SA100505,Arlington Pointe,Townhomes,,2005-01-07T00:00:00.000Z,P:\ArlingtonPointe\plat_geo\20050523pg2.tif,X:\Records\Plats\Arlington_Pointe_AKA_Morton_Road_Tract\Final\20050523.tif,http:\\gis.johnscreekga.gov\docs\ArlingtonPointe\plat_geo\20050523pg2.tif,http://gis.johnscreekga.gov/docs_records/Plats/Arlington_Pointe_AKA_Morton_Road_Tract/Final/20050523.tif,Final,,63c5b6ad-6a29-438d-aa2b-59b265dcbe6b,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,44583.828125,1067.46228985311
16,NP100022,SA100481,Autry Township,Subdivision,,2007-09-17T00:00:00.000Z,P:\AutryTownship\plat_geo\20080626.tif,X:\Records\Plats\Autry_Township_AKA_Waverly_Township\Final\20080626.tif,http:\\gis.johnscreekga.gov\docs\AutryTownship\plat_geo\20080626.tif,http://gis.johnscreekga.gov/docs_records/Plats/Autry_Township_AKA_Waverly_Township/Final/20080626.tif,Final,,3e3d2e7a-7ac1-4a4b-b86f-5f22183b1938,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,27506.734375,1471.69252118352
17,NP100023,SA100481,Autry Township,Subdivision,,2007-09-17T00:00:00.000Z,P:\AutryTownship\plat_geo\20080626pg2.tif,X:\Records\Plats\Autry_Township_AKA_Waverly_Township\Final\20080626.tif,http:\\gis.johnscreekga.gov\docs\AutryTownship\plat_geo\20080626pg2.tif,http://gis.johnscreekga.gov/docs_records/Plats/Autry_Township_AKA_Waverly_Township/Final/20080626.tif,Final,,6d0b8365-1ad8-4a8c-80cc-322cdf877430,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,37715.34765625,1503.65460660119
18,NP100024,SA100481,Autry Township,Subdivision,,2007-09-17T00:00:00.000Z,P:\AutryTownship\plat_geo\20080626pg3.tif,X:\Records\Plats\Autry_Township_AKA_Waverly_Township\Final\20080626.tif,http:\\gis.johnscreekga.gov\docs\AutryTownship\plat_geo\20080626pg3.tif,http://gis.johnscreekga.gov/docs_records/Plats/Autry_Township_AKA_Waverly_Township/Final/20080626.tif,Final,,a963b7dd-e87c-405c-b82d-28b92b6aa467,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,28077.203125,1335.7746365686
19,NP100025,SA100466,Eaton Manor,Townhomes,,2006-09-28T00:00:00.000Z,P:\EatonManor\plat_geo\20060928pg2.tif,X:\Records\Plats\Eaton_Manor_AKA_Hyde_Park\Final\20060928.tif,http:\\gis.johnscreekga.gov\docs\EatonManor\plat_geo\20060928pg2.tif,http://gis.johnscreekga.gov/docs_records/Plats/Eaton_Manor_AKA_Hyde_Park/Final/20060928.tif,Final,,9fd70e97-08e9-43c9-85d0-f986dcc61f6f,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,26187.74609375,992.303970317034
20,NP100026,SA100284,Sugar Mill,Subdivision,Unit 3,1993-08-13T00:00:00.000Z,P:\SugarMill\plat_geo\Unit3_19930813.tif,X:\Records\Plats\Sugar_Mill\Final\Unit3_19930813.tif,http:\\gis.johnscreekga.gov\docs\SugarMill\plat_geo\Unit3_19930813.tif,http://gis.johnscreekga.gov/docs_records/Plats/Sugar_Mill/Final/Unit3_19930813.tif,Final,,fab10325-c486-4597-9cec-42b9a828ce52,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,93898.875,3249.62110834904
21,NP100027,SA100500,St. Amour,Subdivision,,2006-10-03T00:00:00.000Z,P:\StAmour\plat_geo\20061003.tif,X:\Records\Plats\St_Amour_AKA_Finley_Rd_Tract\Final\20061003.tif,http:\\gis.johnscreekga.gov\docs\StAmour\plat_geo\20061003.tif,http://gis.johnscreekga.gov/docs_records/Plats/St_Amour_AKA_Finley_Rd_Tract/Final/20061003.tif,Final,,77311034-68ee-41ef-81db-32cefca58e45,2013-06-13T13:38:38.000Z,2013-06-13T13:38:38.000Z,28409.8515625,1318.3665475013
22,NP100028,SA100477,Tavistock,Subdivision,Phase 1,2006-05-24T00:00:00.000Z,P:\Tavistock\plat_geo\Phase1_20071210.tif,X:\Records\Plats\St_Amour_AKA_Finley_Rd_Tract\Final\20061003.tif,http:\\gis.johnscreekga.gov\docs\Tavistock\plat_geo\Phase1_20071210.tif,http://gis.johnscreekga.gov/docs_records/Plats/St_Amour_AKA_Finley_Rd_Tract/Final/20061003.tif,Final,,458ef5b6-351a-441f-b134-13e0c794e9d8,2013-06-13T13:38:38.000Z,2013-06-13T13:38:38.000Z,58335.01953125,2088.62447305316
23,NP100031,SA100492,Winthrop Park,Subdivision,,2006-12-11T00:00:00.000Z,P:\WinthropPark\plat_geo\Winthrop Park 201105311_toROW.tif,X:\Records\Plats\Winthrop_Park\Final\20061211.tif,http:\\gis.johnscreekga.gov\docs\WinthropPark\Winthrop Park 201105311_toROW.tif,http://gis.johnscreekga.gov/docs_records/Plats/Winthrop_Park/Final/20061211.tif,Final,,ba2bc9ca-dcbc-4f6b-8e0a-c22f2c01175c,2013-06-13T13:38:38.000Z,2014-01-24T12:35:56.000Z,55743.66796875,2356.36756735682
24,NP100032,SA100489,Brookhaven,Mixed,Phase 2,2015-06-25T00:00:00.000Z,P:\Brookhaven\CAD\Phase 2 Final Plat.dwg,X:\Records\Plats\Brookhaven\Final\15-55 FP2015-06 Brookhaven at Johns Creek Phase 2 20150625.tif,http:\\gis.johnscreekga.gov\docs\Brookhaven\CAD\Phase 2 Final Plat.dwg,http://gis.johnscreekga.gov/docs_records/Plats/Brookhaven/Final/15-55 FP2015-06 Brookhaven at Johns Creek Phase 2 20150625.tif,Final,,a4c5c0d4-d05b-4846-9f55-0bb89fd1d624,2013-06-13T13:38:38.000Z,2015-07-22T00:00:00.000Z,74548.95703125,1361.68893504322
25,NP100034,SA100490,"Gates at Johns Creek, The",Mixed,Phase 4,2009-08-27T00:00:00.000Z,P:\GatesAtJohnsCreek\plat_geo\Phase4_20090827pg8.tif,X:\Records\Plats\Gates_at_Johns_Creek\Final\Phase4_20090827.tif,http:\\gis.johnscreekga.gov\docs\GatesAtJohnsCreek\plat_geo\Phase4_20090827pg8.tif,http://gis.johnscreekga.gov/docs_records/Plats/Gates_at_Johns_Creek/Final/Phase4_20090827.tif,Final,,930638e8-3133-4871-8a07-eb8d08842db0,2013-06-13T13:38:38.000Z,2013-06-13T13:38:38.000Z,40663.6796875,855.368258519565
26,NP101367,SA100490,"Gates at Johns Creek, The",Mixed,Phase 3,2006-07-15T00:00:00.000Z,P:\GatesAtJohnsCreek\plat_geo\Phase3_20100715pg6.tif,X:\Records\Plats\Gates_at_Johns_Creek\Final\Phase3_20100715.tif,http:\\gis.johnscreekga.gov\docs\GatesAtJohnsCreek\plat_geo\Phase3_20100715pg6.tif,http://gis.johnscreekga.gov/docs_records/Plats/Gates_at_Johns_Creek/Final/Phase3_20100715.tif,Final,,b4f5f619-dc74-4c54-85ec-40a8ed73ebf3,2013-06-13T13:38:38.000Z,2016-01-29T15:22:50.000Z,23647.953125,803.536982944206
27,NP101387,SA100490,"Gates at Johns Creek, The",Mixed,Phase 5,2010-12-07T00:00:00.000Z,P:\GatesAtJohnsCreek\plat_geo\Phase5_20101207pg6.tif,X:\Records\Plats\Gates_at_Johns_Creek\Final\Phase5_20101207.tif,http:\\gis.johnscreekga.gov\docs\GatesAtJohnsCreek\plat_geoPhase5_20101207pg6.tif,http://gis.johnscreekga.gov/docs_records/Plats/Gates_at_Johns_Creek/Final/Phase5_20101207.tif,Final,,a8bc6bfc-a9b3-49bc-b409-2af9a1dcae92,2013-06-13T13:38:38.000Z,2014-01-17T09:33:24.000Z,26534.10546875,657.301584923854
28,NP100038,SA100490,"Gates at Johns Creek, The",Mixed,Phase 2,2010-06-07T00:00:00.000Z,P:\GatesAtJohnsCreek\plat_geo\Phase2_20100607pg6.tif,X:\Records\Plats\Gates_at_Johns_Creek\Final\Phase2_20100607.tif,http:\\gis.johnscreekga.gov\docs\GatesAtJohnsCreek\plat_geo\Phase2_20100607pg6.tif,http://gis.johnscreekga.gov/docs_records/Plats/Gates_at_Johns_Creek/Final/Phase2_20100607.tif,Final,,bf820ab9-5694-43e3-b4c3-71840a73e68d,2013-06-13T13:38:38.000Z,2016-01-28T20:21:44.000Z,9342.43359375,529.895760272053
29,NP100040,SA100452,Belcrest,Subdivision,Phase 1,2003-10-30T00:00:00.000Z,P:\Belcrest\plat_geo\Unit1_20041103.tif,X:\Records\Plats\Belcrest\Final\Unit1_20041103.tif,http:\\gis.johnscreekga.gov\docs\Belcrest\plat_geo\Unit1_20041103.tif,http://gis.johnscreekga.gov/docs_records/Plats/Belcrest/Final/Unit1_20041103.tif,Final,,8ce8661c-78f7-4c2f-a320-a8a0533c9d86,2013-06-13T13:38:38.000Z,2013-06-13T13:38:38.000Z,97359.671875,3467.27905550749
30,NP100041,SA100452,Belcrest,Subdivision,Phase 2,2003-10-30T00:00:00.000Z,P:\Belcrest\plat_geo\Unit2_20041229.tif,X:\Records\Plats\Belcrest\Final\Unit2_20041229.tif,http:\\gis.johnscreekga.gov\docs\Belcrest\plat_geo\Unit2_20041229.tif,http://gis.johnscreekga.gov/docs_records/Plats/Belcrest/Final/Unit2_20041229.tif,Final,,6103e39c-dd59-4644-9146-9d0b5788d83f,2013-06-13T13:38:38.000Z,2013-06-13T13:38:38.000Z,85903.78125,2895.8118621821
31,NP100042,SA100418,Abbotts Pond,Subdivision,Phase 2,1998-09-05T00:00:00.000Z,P:\AbbottsPond\plat_geo\Phase2_19920605.tif,X:\Records\Plats\Abbotts_Pond_AKA_Windermere\Final\Phase2_19920605.tif,http:\\gis.johnscreekga.gov\docs\AbbottsPond\plat_geo\Phase2_19920605.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Pond_AKA_Windermere/Final/Phase2_19920605.tif,Final,,a5aba96a-9c16-4324-8b35-5b151fea466f,2013-06-13T13:38:38.000Z,2013-06-13T13:38:38.000Z,128563.81640625,4016.02110392055
32,NP100043,SA100418,Abbotts Pond,Subdivision,Phase 1,1998-09-05T00:00:00.000Z,P:\AbbottsPond\plat_geo\Phase1Unit1_19890912.tif,X:\Records\Plats\Abbotts_Pond_AKA_Windermere\Final\Phase1Unit1_19890912.tif,http:\\gis.johnscreekga.gov\docs\AbbottsPond\plat_geo\Phase1Unit1_19890912.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Pond_AKA_Windermere/Final/Phase1Unit1_19890912.tif,Final,,f89f2ee7-0f19-4083-aac0-0964daa3c8dd,2013-06-13T13:38:38.000Z,2013-06-13T13:38:38.000Z,85827.6640625,3016.58183984925
33,NP100044,SA100378,Abbotts Landing,Subdivision,Unit 1,1990-10-26T00:00:00.000Z,P:\AbbottsLanding\plat_geo\Unit 1 19901026.tif,X:\Records\Plats\Abbotts_Landing_AKA_Abbotts_Bridge\Final\Unit 1 19901026.tif,http:\\gis.johnscreekga.gov\docs\AbbottsLanding\plat_geo\Unit 1 19901026.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Landing_AKA_Abbotts_Bridge/Final/Unit 1 19901026.tif,Final,,335193fe-5a17-4045-bc58-31d10038d1b0,2013-06-13T13:38:38.000Z,2014-03-04T00:00:00.000Z,69701.9609375,2911.7623281969
34,NP100045,SA100378,Abbotts Landing,Subdivision,"Unit 2, Phase 1 & 2",1991-03-15T00:00:00.000Z,P:\AbbottsLanding\plat_geo\Unit2Phase1and2_19910315.tif,X:\Records\Plats\Abbotts_Landing_AKA_Abbotts_Bridge\Final\Unit2Phase1and2_19910315.tif,http:\\gis.johnscreekga.gov\docs\AbbottsLanding\plat_geo\Unit2Phase1and2_19910315.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Landing_AKA_Abbotts_Bridge/Final/Unit2Phase1and2_19910315.tif,Final,,e4e647de-cac6-4a7e-ba7b-510cc77aff58,2013-06-13T13:38:38.000Z,2013-06-13T13:38:38.000Z,52249.01953125,2007.44888051216
35,NP100046,SA100303,Abbotts Walk,Subdivision,,1999-07-26T00:00:00.000Z,P:\AbbottsWalk\plat_geo\20000703_pg5.tif,X:\Records\Plats\Abbotts_Walk\Final\20000703.tif,http:\\gis.johnscreekga.gov\docs\AbbottsWalk\plat_geo\20000703_pg5.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Walk/Final/20000703.tif,Final,,200e0f5d-57fb-4633-afa7-1a69ccb1c66f,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,46329.5,1490.21118388686
36,NP100047,SA100302,Abbotts Station,Subdivision,Phase 1,1992-03-30T00:00:00.000Z,P:\AbbottsStation\plat_geo\Phase1_19920330.tif,X:\Records\Plats\Abbotts_Station\Final\Phase1_19920330.tif,http:\\gis.johnscreekga.gov\docs\AbbottsStation\plat_geo\Phase1_19920330.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Station/Final/Phase1_19920330.tif,Final,,14cfde52-bf55-4951-bc56-bb23824bde42,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,28982.484375,1511.10140243998
37,NP100048,SA100302,Abbotts Station,Subdivision,Phase 2,1992-03-30T00:00:00.000Z,P:\AbbottsStation\plat_geo\Phase2_19920330.tif,X:\Records\Plats\Abbotts_Station\Final\Phase2_19920330.tif,http:\\gis.johnscreekga.gov\docs\AbbottsStation\plat_geo\Phase2_19920330.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Station/Final/Phase2_19920330.tif,Final,,449e494f-c1db-4d56-b94b-6c237d504a0d,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,44331.91796875,1800.20256706334
38,NP100049,SA100302,Abbotts Station,Subdivision,Phase 3,1992-03-30T00:00:00.000Z,P:\AbbottsStation\plat_geo\Phase3_19920330.tif,X:\Records\Plats\Abbotts_Station\Final\Phase3_19920330.tif,http:\\gis.johnscreekga.gov\docs\AbbottsStation\plat_geo\Phase3_19920330.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Station/Final/Phase3_19920330.tif,Final,,a83d0559-9b48-42cd-a54a-b8e552ca7ed7,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,34385.2734375,1416.5453677713
39,NP100050,SA100339,Laurel Ridge,Subdivision,,1996-07-10T00:00:00.000Z,P:\LaurelRidge\plat_geo\LaurelRidge_19960710pg1.tif,X:\Records\Plats\Laurel_Ridge\Final\LaurelRidge_19960710(sh1of2).tif,http:\\gis.johnscreekga.gov\docs\LaurelRidge\plat_geo\LaurelRidge_19960710pg1.tif,http://gis.johnscreekga.gov/docs_records/Plats/Laurel_Ridge/Final/LaurelRidge_19960710(sh1of2).tif,Final,,9b33563f-ae80-4790-a592-6460cb1ae824,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,97304.6640625,2697.13721240579
40,NP100051,SA100414,Amberleigh,Subdivision,Phase 6,1990-12-14T00:00:00.000Z,P:\Amberleigh\plat_geo\Unit6_19930820.tif,X:\Records\Plats\Amberleigh\Final\Unit6_19930820.tif,http:\\gis.johnscreekga.gov\docs\Amberleigh\plat_geo\Unit6_19930820.tif,http://gis.johnscreekga.gov/docs_records/Plats/Amberleigh/Final/Unit6_19930820.tif,Final,,9d961a21-4a54-421a-96fa-e11e7cc5c743,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,34668.19140625,1413.21806134303
41,NP100052,SA100414,Amberleigh,Subdivision,Phase 1,1990-12-14T00:00:00.000Z,P:\Amberleigh\plat_geo\Unit1_19901214.tif,X:\Records\Plats\Amberleigh\Final\Unit1_19901214.tif,http:\\gis.johnscreekga.gov\docs\Amberleigh\plat_geo\Unit1_19901214.tif,http://gis.johnscreekga.gov/docs_records/Plats/Amberleigh/Final/Unit1_19901214.tif,Final,,75ef6ea7-d88b-48e5-b563-7c435a825e7e,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,61344.671875,2401.99565853713
42,NP100053,SA100414,Amberleigh,Subdivision,Phase 2B,1990-12-14T00:00:00.000Z,P:\Amberleigh\plat_geo\Unit2B_19920224.tif,X:\Records\Plats\Amberleigh\Final\Unit2B_19920224.tif,http:\\gis.johnscreekga.gov\docs\Amberleigh\plat_geo\Unit2B_19920224.tif,http://gis.johnscreekga.gov/docs_records/Plats/Amberleigh/Final/Unit2B_19920224.tif,Final,,02d13485-77c4-4749-89a2-290a3940432e,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,40188.05859375,1825.14129431225
43,NP100054,SA100414,Amberleigh,Subdivision,Phase 2,1990-12-14T00:00:00.000Z,P:\Amberleigh\plat_geo\Unit2A_19920911.tif,X:\Records\Plats\Amberleigh\Final\Unit2A_19920911.tif,http:\\gis.johnscreekga.gov\docs\Amberleigh\plat_geo\Unit2A_19920911.tif,http://gis.johnscreekga.gov/docs_records/Plats/Amberleigh/Final/Unit2A_19920911.tif,Final,,7f22ed3c-4130-4c7e-bd65-afa5b6350074,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,38124.5859375,1261.12304537149
44,NP100055,SA100414,Amberleigh,Subdivision,Phase 3,1990-12-14T00:00:00.000Z,P:\Amberleigh\plat_geo\Unit3_19930423.tif,X:\Records\Plats\Amberleigh\Final\Unit3_19930423.tif,http:\\gis.johnscreekga.gov\docs\Amberleigh\plat_geo\Unit3_19930423.tif,http://gis.johnscreekga.gov/docs_records/Plats/Amberleigh/Final/Unit3_19930423.tif,Final,,637ff9d2-3741-435a-b737-e62ba4f3acb8,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,38348.03515625,1360.67706185786
45,NP100056,SA100414,Amberleigh,Subdivision,Phase 7,1990-12-14T00:00:00.000Z,P:\Amberleigh\plat_geo\Unit7_19940401.tif,X:\Records\Plats\Amberleigh\Final\Unit7_19940401.tif,http:\\gis.johnscreekga.gov\docs\Amberleigh\plat_geo\Unit7_19940401.tif,http://gis.johnscreekga.gov/docs_records/Plats/Amberleigh/Final/Unit7_19940401.tif,Final,,a099d035-576a-4ccc-8f75-de3ba42cd15f,2013-06-13T13:38:39.000Z,2013-06-13T13:38:39.000Z,53703.26171875,1781.64669912357
