City,Population,"Violent
crime",,"Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Violent
Crime per 100000",violent crime index,"Property
Crime per 100000",prop crime index,Crime Index
Blythe,689,1,145.14,0,0,0,1,7,1015.97,2,5,0,0,145.14,92,1015.97,96,93.2
Bowdon,2106,4,189.93,0,1,1,2,60,2849,13,47,0,0,189.93,89,2849,88,88.7
Braselton,10761,12,111.51,0,3,2,7,94,873.52,24,62,8,0,111.51,94,873.52,96,94.6
Braswell,391,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100
Bremen,6453,20,309.93,0,2,5,13,291,4509.53,36,238,17,0,309.93,82,4509.53,81,81.7
Brookhaven,52973,188,354.9,1,18,90,79,1461,2758.01,298,1038,125,7,354.9,80,2758.01,89,82.7
Brooklet,1547,2,129.28,0,0,0,2,3,193.92,0,3,0,0,129.28,93,193.92,99,94.8
Brunswick,16500,170,1030.3,4,10,44,112,866,5248.48,265,557,44,2,1030.3,41,5248.48,78,52.1
Buchanan,1148,0,0,0,0,0,0,58,5052.26,13,42,3,0,0,100,5052.26,79,93.7
Buena Vista,2132,5,234.52,0,0,0,5,40,1876.17,7,33,0,0,234.52,87,1876.17,92,88.5
Butler,1854,4,215.75,0,1,1,2,13,701.19,2,10,1,0,215.75,88,701.19,97,90.7
Byron,5228,4,76.51,0,0,2,2,188,3596.02,41,137,10,0,76.51,96,3596.02,85,92.7
Cairo,9558,33,345.26,1,1,6,25,346,3620,57,282,7,0,345.26,80,3620,85,81.5
Calhoun,16557,56,338.23,1,4,8,43,538,3249.38,121,401,16,2,338.23,81,3249.38,86,82.5
Camilla,5176,11,212.52,0,1,6,4,196,3786.71,40,144,12,0,212.52,88,3786.71,84,86.8
Canon,804,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100
Canton,26897,67,249.1,2,10,15,40,698,2595.08,69,599,30,0,249.1,86,2595.08,89,86.9
Carrollton,26951,146,541.72,0,14,38,94,1163,4315.24,149,961,53,1,541.72,69,4315.24,82,72.9
Cartersville,20918,78,372.88,0,10,10,58,967,4622.81,157,753,57,0,372.88,79,4622.81,81,79.6
Cave Spring,1145,8,698.69,0,1,0,7,19,1659.39,13,6,0,1,698.69,60,1659.39,93,69.9
Cedartown,9806,37,377.32,0,5,8,24,468,4772.59,108,328,32,0,377.32,79,4772.59,80,79.3
Centerville,7689,27,351.15,0,0,3,24,387,5033.16,37,343,7,0,351.15,80,5033.16,79,79.7
Chamblee,28558,135,472.72,3,9,49,74,951,3330.07,124,749,78,0,472.72,73,3330.07,86,76.9
Chattahoochee Hills,2877,2,69.52,0,0,1,1,44,1529.37,10,31,3,0,69.52,96,1529.37,94,95.4
Clarkesville,1777,14,787.84,1,0,0,13,65,3657.85,11,54,0,0,787.84,55,3657.85,85,64
Clarkston,12849,77,599.27,1,8,36,32,506,3938.05,151,314,41,0,599.27,66,3938.05,84,71.4
Claxton,2284,6,262.7,0,0,2,4,92,4028.02,21,69,2,0,262.7,85,4028.02,83,84.4
Clayton,2285,4,175.05,0,1,0,3,65,2844.64,7,58,0,0,175.05,90,2844.64,88,89.4
Cleveland,3912,17,434.56,0,6,1,10,224,5725.97,28,190,6,0,434.56,75,5725.97,76,75.3
Cochran,5029,22,437.46,0,2,6,14,164,3261.09,32,126,6,0,437.46,75,3261.09,86,78.3
College Park,15134,222,1466.9,9,11,85,117,1125,7433.59,169,727,229,2,1466.9,17,7433.59,69,32.6
Columbus,198832,1303,655.33,35,71,394,803,8820,4435.91,2131,5985,704,35,655.33,63,4435.91,82,68.7
Commerce,6826,33,483.45,1,0,1,31,198,2900.67,31,156,11,1,483.45,72,2900.67,88,76.8
Conyers,16034,110,686.04,1,14,30,65,791,4933.27,105,625,61,4,686.04,61,4933.27,79,66.4
Coolidge,529,1,189.04,0,0,1,0,0,0,0,0,0,0,189.04,89,0,100,92.3
Cordele,10812,47,434.7,3,5,9,30,578,5345.91,165,383,30,1,434.7,75,5345.91,78,75.9
Cornelia,4282,10,233.54,0,1,1,8,224,5231.2,19,199,6,2,233.54,87,5231.2,78,84.3
Covington,14122,69,488.6,4,11,21,33,813,5756.97,89,675,49,0,488.6,72,5756.97,76,73.2
Cumming,6365,12,188.53,0,3,2,7,299,4697.56,50,233,16,0,188.53,89,4697.56,80,86.3
Cuthbert,3635,0,0,0,0,0,0,39,1072.9,7,32,0,0,0,100,1072.9,96,98.8
Dallas,13373,18,134.6,2,3,5,8,275,2056.38,51,204,20,0,134.6,92,2056.38,91,91.7
Dalton,34228,108,315.53,0,16,17,75,981,2866.07,126,782,73,4,315.53,82,2866.07,88,83.8
Danielsville,588,0,0,0,0,0,0,11,1870.75,0,10,1,0,0,100,1870.75,92,97.6
Darien,1830,1,54.64,0,0,0,1,74,4043.72,26,46,2,0,54.64,97,4043.72,83,92.8
Davisboro,1659,0,0,0,0,0,0,1,60.28,0,1,0,0,0,100,60.28,100,100
Dawson,4249,24,564.84,0,3,4,17,125,2941.87,26,93,6,0,564.84,68,2941.87,88,74
Decatur,23378,40,171.1,0,2,27,11,531,2271.37,63,441,27,1,171.1,90,2271.37,91,90.3
Demorest,2094,1,47.76,0,0,0,1,20,955.11,5,14,1,0,47.76,97,955.11,96,96.7
Dillard,336,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100
Doerun,769,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100
Donalsonville,2635,11,417.46,0,0,6,5,58,2201.14,14,39,5,1,417.46,76,2201.14,91,80.5
Doraville,10593,61,575.85,1,1,31,28,565,5333.71,62,432,71,0,575.85,67,5333.71,78,70.3
Douglasville,33640,244,725.33,0,14,51,179,2099,6239.6,212,1802,85,2,725.33,59,6239.6,74,63.5
Dublin,16086,103,640.31,3,5,32,63,707,4395.13,139,538,30,0,640.31,64,4395.13,82,69.4
Duluth,29795,33,110.76,2,3,18,10,557,1869.44,79,445,33,1,110.76,94,1869.44,92,93.4
Dunwoody,49321,63,127.73,1,6,22,34,2003,4061.15,136,1775,92,2,127.73,93,4061.15,83,90
East Ellijay,561,1,178.25,0,0,0,1,135,24064.17,4,128,3,0,178.25,90,24064.17,0,63
Eastman,5093,35,687.22,0,3,5,27,471,9247.99,86,371,14,0,687.22,61,9247.99,62,61.3
East Point,35740,467,1306.66,8,23,222,214,4136,11572.47,483,3160,493,0,1306.66,26,11572.47,52,33.8
Eatonton,6568,40,609.01,0,1,11,28,189,2877.59,44,143,2,0,609.01,65,2877.59,88,71.9
Elberton,4397,23,523.08,0,4,2,17,252,5731.18,72,174,6,1,523.08,70,5731.18,76,71.8
Ellaville,1856,3,161.64,0,1,0,2,17,915.95,7,10,0,0,161.64,91,915.95,96,92.5
Ellijay,1705,6,351.91,0,0,0,6,62,3636.36,6,54,2,0,351.91,80,3636.36,85,81.5
Emerson,1579,10,633.31,0,0,1,9,73,4623.18,13,55,5,0,633.31,64,4623.18,81,69.1
Enigma,1300,3,230.77,0,1,0,2,20,1538.46,10,6,4,0,230.77,87,1538.46,94,89.1
Ephesus,418,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100
Eton,896,0,0,0,0,0,0,14,1562.5,4,10,0,2,0,100,1562.5,94,98.2
Fairburn,14370,47,327.07,0,6,12,29,778,5414.06,135,572,71,1,327.07,81,5414.06,78,80.1
Fairmount,741,0,0,0,0,0,0,7,944.67,0,5,2,0,0,100,944.67,96,98.8
Fayetteville,17749,34,191.56,0,1,18,15,468,2636.77,32,422,14,1,191.56,89,2636.77,89,89
Fitzgerald,8902,53,595.37,2,3,11,37,494,5549.31,122,355,17,0,595.37,66,5549.31,77,69.3
Flowery Branch,7317,2,27.33,0,0,0,2,128,1749.35,8,119,1,0,27.33,98,1749.35,93,96.5
Folkston,4795,16,333.68,0,0,0,16,82,1710.11,30,47,5,0,333.68,81,1710.11,93,84.6
Forest Park,19948,131,656.71,4,10,57,60,1122,5624.62,221,762,139,3,656.71,63,5624.62,77,67.2
Forsyth,4169,25,599.66,0,1,7,17,140,3358.12,16,119,5,0,599.66,66,3358.12,86,72
Fort Oglethorpe,9935,55,553.6,0,2,8,45,643,6472.07,57,564,22,0,553.6,69,6472.07,73,70.2
Fort Valley,8465,86,1015.95,0,3,15,68,318,3756.65,86,218,14,0,1015.95,42,3756.65,84,54.6
Franklin,959,1,104.28,0,0,0,1,34,3545.36,1,32,1,0,104.28,94,3545.36,85,91.3
Franklin Springs,1160,2,172.41,0,1,1,0,7,603.45,0,7,0,0,172.41,90,603.45,97,92.1
Gainesville,40836,157,384.46,2,19,34,102,1404,3438.14,209,1091,104,13,384.46,78,3438.14,86,80.4
Garden City3,8932,157,1757.73,2,5,25,125,,,,341,5,1,1757.73,0,,100,30
Glennville,5086,4,78.65,0,0,3,1,121,,28,88,5,1,78.65,96,121,93,95.1
Gordon,1943,6,308.8,0,0,1,5,37,,11,23,3,0,308.8,82,37,98,86.8
Graham,300,0,0,0,0,0,0,6,,2,4,0,0,0,100,6,100,100
Grantville,3226,5,154.99,0,0,0,5,52,,12,35,5,0,154.99,91,52,97,92.8
Greenville,852,3,352.11,0,1,1,1,14,,3,8,3,0,352.11,80,14,99,85.7
Griffin,22878,204,891.69,2,3,45,154,1337,,257,1029,51,2,891.69,49,1337,24,41.5
Grovetown,13841,9,65.02,0,2,2,5,261,,85,163,13,0,65.02,96,261,85,92.7
Guyton,1928,8,414.94,0,0,2,6,42,,6,35,1,0,414.94,76,42,98,82.6
Hagan,967,1,103.41,0,0,0,1,5,,3,2,0,0,103.41,94,5,100,95.8
Hampton,7623,16,209.89,1,4,3,8,91,,6,76,9,1,209.89,88,91,95,90.1
Hapeville,6665,52,780.2,1,2,33,16,780,,67,612,101,0,780.2,56,780,56,56
Harlem,3077,0,0,0,0,0,0,28,,0,27,1,0,0,100,28,98,99.4
Hartwell,4511,23,509.86,1,0,6,16,250,,44,198,8,0,509.86,71,250,86,75.5
Hazlehurst,4178,7,167.54,0,1,1,5,225,,33,186,6,0,167.54,90,225,87,89.1
Helen,547,7,1279.71,0,1,0,6,70,,4,63,3,0,1279.71,27,70,96,47.7
Hephzibah,3879,1,25.78,0,0,1,0,64,,20,44,0,1,25.78,99,64,96,98.1
Hiawassee,921,5,542.89,0,1,2,2,33,,5,25,3,0,542.89,69,33,98,77.7
Hiram,3954,10,252.91,0,2,2,6,383,,20,338,25,0,252.91,86,383,78,83.6
Hoboken,525,0,0,0,0,0,0,2,,2,0,0,0,0,100,2,100,100
Hogansville,3157,12,380.11,0,3,3,6,87,,22,63,2,0,380.11,78,87,95,83.1
Holly Springs,11653,12,102.98,1,1,1,9,144,,12,125,7,0,102.98,94,144,92,93.4
Homeland,855,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,100,100
Homerville,2451,23,938.39,0,1,3,19,119,,17,97,5,0,938.39,47,119,93,60.8
Irwinton,565,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,100,100
Ivey,911,0,0,0,0,0,0,11,,3,8,0,0,0,100,11,99,99.7
Jackson,5071,16,315.52,0,1,5,10,164,,19,140,5,0,315.52,82,164,91,84.7
Jasper,3841,5,130.17,0,2,2,1,329,,24,293,12,0,130.17,93,329,81,89.4
Jefferson,10658,17,159.5,1,0,6,10,175,,44,121,10,0,159.5,91,175,90,90.7
Jesup,10170,36,353.98,0,0,9,27,651,,100,519,32,1,353.98,80,651,63,74.9
Johns Creek,85048,25,29.4,0,2,10,13,575,,83,474,18,1,29.4,98,575,67,88.7
Jonesboro,4731,22,465.02,0,2,4,16,164,,24,124,16,0,465.02,74,164,91,79.1
Kennesaw,34154,72,210.81,0,17,19,36,480,,49,408,23,1,210.81,88,480,73,83.5
Kingsland,16852,42,249.23,1,0,8,33,371,,95,251,25,0,249.23,86,371,79,83.9
Kingston,657,0,0,0,0,0,0,6,,0,6,0,0,0,100,6,100,100
LaGrange,30981,110,355.06,1,3,52,54,1563,,258,1234,71,4,355.06,80,1563,11,59.3
Lake City,2811,15,533.62,0,0,7,8,157,,23,115,19,0,533.62,70,157,91,76.3
Lakeland,3284,29,883.07,0,6,5,18,74,,21,46,7,1,883.07,50,74,96,63.8
Lake Park,724,1,138.12,0,0,1,0,20,,8,11,1,0,138.12,92,20,99,94.1
Lavonia,2170,29,1336.41,0,0,2,27,100,,4,95,1,0,1336.41,24,100,94,45
Lawrenceville,31183,73,234.1,2,6,37,28,947,,161,740,46,1,234.1,87,947,46,74.7
Leary,573,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,100,100
Leslie,380,0,0,0,0,0,0,4,,0,4,0,0,0,100,4,100,100
Lilburn,12844,36,280.29,1,1,19,15,479,,66,391,22,0,280.29,84,479,73,80.7
Lithonia,2098,12,571.97,1,1,5,5,95,,24,55,16,0,571.97,67,95,95,75.4
Locust Grove,6028,6,99.54,0,3,3,0,418,,47,357,14,0,99.54,94,418,76,88.6
Loganville,11887,14,117.78,0,1,2,11,321,,30,270,21,1,117.78,93,321,82,89.7
Lookout Mountain,1573,0,0,0,0,0,0,15,,2,9,4,0,0,100,15,99,99.7
Louisville,2366,12,507.19,0,0,6,6,95,,37,58,0,0,507.19,71,95,95,78.2
Ludowici,2244,6,267.38,0,0,0,6,23,,12,8,3,0,267.38,85,23,99,89.2
Lumber City,1255,0,0,0,0,0,0,2,,0,1,1,0,0,100,2,100,100
Lumpkin,1083,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,100,100
Lyons,4365,28,641.47,1,2,11,14,189,,65,121,3,0,641.47,64,189,89,71.5
Madison,4072,15,368.37,0,0,3,12,171,,26,139,6,0,368.37,79,171,90,82.3
Manchester,4034,18,446.21,0,0,2,16,81,,22,55,4,0,446.21,75,81,95,81
Marietta,61646,215,348.77,4,14,102,95,2209,,327,1700,182,4,348.77,80,2209,-26,48.2
Marshallville,1292,1,77.4,0,0,0,1,9,,1,7,1,0,77.4,96,9,99,96.9
Maysville,1901,2,105.21,0,1,1,0,9,,1,7,1,0,105.21,94,9,99,95.5
McDonough,24278,72,296.56,0,7,28,37,700,,93,560,47,0,296.56,83,700,60,76.1
McIntyre,611,1,163.67,0,0,0,1,12,,6,6,0,0,163.67,91,12,99,93.4
McRae-Helena,8295,11,132.61,0,0,3,8,143,,35,106,2,0,132.61,92,143,92,92
Metter,4066,20,491.88,1,2,7,10,135,,24,105,6,3,491.88,72,135,92,78
Midville,262,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,100,100
Midway,1983,6,302.57,0,0,3,3,40,,7,27,6,0,302.57,83,40,98,87.5
Milledgeville,19051,53,278.2,0,8,13,32,697,,158,519,20,3,278.2,84,697,60,76.8
Millen,2853,33,1156.68,0,1,0,32,114,,41,66,7,0,1156.68,34,114,94,52
Milton,39388,9,22.85,0,3,3,3,298,,40,247,11,0,22.85,99,298,83,94.2
Molena,371,1,269.54,0,0,0,1,0,,0,0,0,0,269.54,85,0,100,89.5
Monroe,13579,109,802.71,3,3,23,80,636,,120,487,29,0,802.71,54,636,64,57
Montezuma,3095,23,743.13,2,0,5,16,109,,24,78,7,0,743.13,58,109,94,68.8
Morrow,7400,32,432.43,1,5,22,4,716,,80,563,73,0,432.43,75,716,59,70.2
Moultrie,14365,72,501.22,2,4,34,32,830,,133,669,28,1,501.22,71,830,53,65.6
Mountain City,1073,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,100,100
Mount Airy,1302,0,0,0,0,0,0,3,,0,1,2,0,0,100,3,100,100
Mount Zion,1772,5,282.17,0,0,0,5,6,,1,5,0,0,282.17,84,6,100,88.8
Nahunta,1047,3,286.53,0,1,1,1,7,,0,7,0,0,286.53,84,7,100,88.8
Nashville,4849,18,371.21,0,6,1,11,197,,50,143,4,0,371.21,79,197,89,82
Newnan,38825,235,605.28,1,5,24,205,1022,,154,800,68,4,605.28,66,1022,42,58.8
Norcross,17060,80,468.93,2,8,20,50,522,,118,351,53,0,468.93,73,522,70,72.1
Norman Park,968,1,103.31,0,0,1,0,15,,7,8,0,0,103.31,94,15,99,95.5
Oak Park,476,1,210.08,0,0,0,1,21,,1,17,3,0,210.08,88,21,99,91.3
Ocilla,3630,14,385.67,0,0,4,10,80,,9,68,3,3,385.67,78,80,95,83.1
Oglethorpe,1174,9,766.61,0,0,1,8,25,,14,10,1,0,766.61,56,25,99,68.9
Omega,1228,4,325.73,0,2,0,2,49,,10,38,1,0,325.73,81,49,97,85.8
Oxford,2239,0,0,0,0,0,0,36,,4,28,4,0,0,100,36,98,99.4
Palmetto,4744,13,274.03,0,1,6,6,116,,40,63,13,0,274.03,84,116,93,86.7
Patterson,758,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,100,100
Peachtree City,35300,14,39.66,0,1,7,6,591,,25,488,78,1,39.66,98,591,66,88.4
Pelham,3607,9,249.51,0,0,3,6,65,,23,33,9,0,249.51,86,65,96,89
Pembroke,2539,4,157.54,0,0,0,4,71,,20,51,0,0,157.54,91,71,96,92.5
Pine Lake,767,1,130.38,0,0,0,1,31,,5,23,3,0,130.38,93,31,98,94.5
Pine Mountain,1385,7,505.42,0,1,2,4,43,,9,31,3,0,505.42,71,43,98,79.1
Plains,727,2,275.1,0,0,0,2,3,,0,3,0,0,275.1,84,3,100,88.8
Pooler,24601,25,101.62,0,3,8,14,876,,100,713,63,0,101.62,94,876,50,80.8
Porterdale,1506,5,332.01,0,0,4,1,19,,7,7,5,0,332.01,81,19,99,86.4
Port Wentworth,8452,22,260.29,1,1,4,16,151,,22,108,21,1,260.29,85,151,91,86.8
Powder Springs,15127,47,310.7,1,3,13,30,342,,52,277,13,0,310.7,82,342,81,81.7
Quitman,3884,45,1158.6,0,3,8,34,277,,54,209,14,,1158.6,34,277,84,49
Remerton,1122,12,1069.52,0,4,2,6,65,,18,40,7,,1069.52,39,65,96,56.1
Reynolds,1016,0,0,0,0,0,0,3,,1,0,2,,0,100,3,100,100
Rincon,10101,12,118.8,0,2,2,8,351,,21,321,9,0,118.8,93,351,80,89.1
Ringgold,4403,17,386.1,0,1,3,13,164,,19,131,14,0,386.1,78,164,91,81.9
Riverdale,16435,87,529.36,4,2,31,50,1130,,159,884,87,0,529.36,70,1130,36,59.8
Rochelle,1101,2,181.65,0,0,2,0,28,,10,18,0,0,181.65,90,28,98,92.4
Rockmart,4317,30,694.93,0,1,9,20,366,,109,244,13,0,694.93,60,366,79,65.7
Rome,36366,205,563.71,3,6,32,164,1480,,268,1151,61,7,563.71,68,1480,16,52.4
Roswell,95602,108,112.97,2,15,32,59,1616,,229,1278,109,1,112.97,94,1616,8,68.2
Sale City,343,0,0,0,0,0,0,1,,0,1,0,0,0,100,1,100,100
Sandersville,5669,26,458.63,0,0,12,14,216,,27,183,6,0,458.63,74,216,88,78.2
Sandy Springs,107740,126,116.95,0,12,56,58,2263,,377,1708,178,10,116.95,93,2263,-29,56.4
Sardis,971,6,617.92,0,0,0,6,37,,15,18,4,0,617.92,65,37,98,74.9
Savannah-Chatham Metropolitan,242941,1124,462.66,35,100,381,608,8336,,1335,6061,940,18,462.66,74,8336,-374,-60.4
Screven,778,3,385.6,0,1,0,2,23,,3,19,1,,385.6,78,23,99,84.3
Senoia,4283,0,0,0,0,0,0,39,,10,28,1,0,0,100,39,98,99.4
Shiloh,462,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,100,100
Smyrna,57576,172,298.74,3,4,35,130,1544,,156,1162,226,,298.74,83,1544,12,61.7
Snellville,19982,39,195.18,0,2,11,26,697,,53,612,32,,195.18,89,697,60,80.3
Social Circle,4490,6,133.63,1,0,0,5,85,,21,61,3,0,133.63,92,85,95,92.9
Sparks,1994,8,401.2,0,1,1,6,83,,27,53,3,1,401.2,77,83,95,82.4
Sparta,1264,9,712.03,0,0,2,7,26,,8,17,1,0,712.03,59,26,99,71
Springfield,4308,4,92.85,0,0,0,4,78,,40,38,0,0,92.85,95,78,96,95.3
Statesboro,31937,125,391.4,3,16,50,56,962,,190,736,36,3,391.4,78,962,45,68.1
Stone Mountain,6413,47,732.89,1,1,11,34,210,,45,134,31,1,732.89,58,210,88,67
Summerville,4337,0,0,0,0,0,0,48,,0,47,1,,0,100,48,97,99.1
Suwanee,20186,32,158.53,0,4,14,14,520,,65,433,22,0,158.53,91,520,70,84.7
Swainsboro,7522,74,983.78,3,3,7,61,347,,28,313,6,0,983.78,44,347,80,54.8
Sylvania,2514,4,159.11,0,0,1,3,96,,31,61,4,0,159.11,91,96,95,92.2
Talbotton,834,1,119.9,0,0,0,1,11,,2,7,2,0,119.9,93,11,99,94.8
Tallapoosa,3189,9,282.22,0,0,1,8,79,,21,54,4,1,282.22,84,79,96,87.6
Temple,4403,11,249.83,0,1,3,7,132,,24,98,10,0,249.83,86,132,92,87.8
Tennille,1914,7,365.73,0,0,1,6,36,,12,22,2,,365.73,79,36,98,84.7
Thomasville,18866,29,153.72,0,2,14,13,992,,216,755,21,1,153.72,91,992,44,76.9
Thunderbolt,2710,2,73.8,0,0,2,0,56,,13,34,9,0,73.8,96,56,97,96.3
Tifton,16908,199,1176.96,3,16,50,130,1105,,142,922,41,6,1176.96,33,1105,37,34.2
Toccoa,8392,37,440.9,0,0,9,28,538,,46,484,8,,440.9,75,538,69,73.2
Trenton,2248,1,44.48,0,0,0,1,46,,6,39,1,0,44.48,97,46,97,97
Tunnel Hill,878,0,0,0,0,0,0,24,,0,23,1,,0,100,24,99,99.7
Tybee Island,3134,4,127.63,0,0,1,3,152,,11,137,4,,127.63,93,152,91,92.4
Tyrone,7260,12,165.29,0,0,9,3,63,,5,57,1,0,165.29,91,63,96,92.5
Union City,21160,259,1224.01,5,9,81,164,2315,,255,1724,336,8,1224.01,30,2315,-32,11.4
Valdosta,56729,215,378.99,10,17,47,141,3485,,554,2699,232,16,378.99,78,3485,-98,25.2
Vidalia,10743,66,614.35,1,3,12,50,643,,108,522,13,1,614.35,65,643,63,64.4
Vienna,3652,10,273.82,0,1,2,7,89,,12,75,2,,273.82,84,89,95,87.3
Villa Rica,15398,67,435.12,1,3,11,52,553,,61,463,29,3,435.12,75,553,69,73.2
Warner Robins,75323,385,511.13,5,34,132,214,4107,,805,3072,230,17,511.13,71,4107,-134,9.5
Warrenton,1786,10,559.91,0,0,1,9,55,,11,42,2,,559.91,68,55,97,76.7
Warwick,407,0,0,0,0,0,0,4,,1,3,0,0,0,100,4,100,100
Watkinsville,2866,3,104.68,0,0,1,2,42,,2,39,1,0,104.68,94,42,98,95.2
Waverly Hall,763,1,131.06,0,0,0,1,3,,1,1,1,0,131.06,93,3,100,95.1
Waynesboro,5669,50,881.99,1,2,12,35,218,,38,165,15,1,881.99,50,218,88,61.4
West Point,3821,31,811.31,2,2,4,23,203,,48,150,5,0,811.31,54,203,88,64.2
Whitesburg,607,3,494.23,0,0,0,3,28,,7,21,0,,494.23,72,28,98,79.8
Willacoochee,1367,2,146.31,0,0,2,0,32,,11,21,0,0,146.31,92,32,98,93.8
Winder,16006,142,887.17,0,6,13,123,483,,78,386,19,,887.17,50,483,73,56.9
Winterville,1210,2,165.29,0,0,2,0,9,,5,4,0,0,165.29,91,9,99,93.4
Woodland,351,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,100,100
Woodstock,32293,35,108.38,1,2,7,25,601,,50,530,21,0,108.38,94,601,66,85.6
Wrens,2020,13,643.56,0,0,3,10,83,,28,50,5,0,643.56,63,83,95,72.6
