OBJECTID_1,Status,FACTYPE1,FACTYPE2,ON_OFFROAD,REGION1,REGION2,Signed,Net_Aff,Comments,State_Rte,Surf_Struc,Marked,Signed_Rte,Edited,NAME,FEAT_MOD_D,WIDTH_USFT,Length_Miles,GlobalID,last_edited_date
69,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.306491,{A260F1CA-9DA5-4213-963C-49063E06719E},
70,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Extension Trail,,,0.732458,{4B729261-3878-4617-B0EC-812B464B4DCF},
71,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,0.820954,{2572F2AD-CF22-4FF3-8FBA-0FE9339372E2},
72,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,0.39505,{CF4BFB2E-A81F-4E6B-B28E-5E59DF849423},
73,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.152387,{F549266E-B32A-40EC-95EC-ACB0AED8839A},
74,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dupree Park Connector Trail,,,0.122418,{971BB1CA-A739-400A-95D4-0E677D59DE25},
75,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,0.406896,{753396D7-6A40-4140-89D6-60C65246E33E},
76,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dupree Park Connector Trail,,,0.118554,{D915E4F9-0C41-496C-8C2E-C47E790F161A},
77,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.301405,{BEB122C6-3919-42AE-ABD7-3DFBEDF3C2BE},
78,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Extension Trail,,,0.193399,{A4C2C6F9-8B08-4A77-A943-3343B93D74DD},
79,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.197388,{239F18DA-BE34-4649-BCE2-58C9A6BB3E11},
80,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Extension Trail,,,0.15605,{5ADE21B5-ACDC-45E9-9390-039F9E72BDAE},
81,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.367894,{78EDD10D-B81A-4318-994A-654D0C713D98},
82,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.135139,{7BD6E354-D8B9-4883-B619-92C46301283B},
83,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.125391,{8E1281C3-B10C-4D2F-BDC6-D5E388F9DF57},
84,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.12561,{221B96E5-DBBC-4618-9363-F4B33F2AA847},
85,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,0.280442,{20A2784E-9CE0-45D4-BEC1-2F33AB5C32C7},
86,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,River Run Trail,,,0.122568,{BD16F897-DE5B-4CAF-98D0-6BA5713C2950},
87,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Trestle Rock Trail,,,0.124017,{C79F7BCE-4BAC-4354-9670-1B0FA8092BA2},
88,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,River Run Trail,,,0.079017,{DDC0A668-63A1-47A8-BC62-A3247253754B},
89,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Education Connector Trail,,,0.140127,{C7E1C472-52B6-46C0-A116-124D828ADD3B},
90,f,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Rubes Creek Trail,,,0.332021,{3C8B63C9-2A55-410B-B024-A9600E12CB76},
91,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,0.14204,{81CF131A-FFD2-4D17-A614-11FAF33D0FC4},
92,f,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dupree Park Connector Trail,,,0.32215,{9277F3B5-04D5-45FE-BD86-A03A6C0B92D6},
93,f,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Rubes Creek Connector Trail,,,0.377609,{BA9E3A1B-47C7-476E-9848-F9D3152334BC},
94,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,0.983118,{19A86E88-8742-4B72-BE34-300A6F8AAD81},
95,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,0.378636,{C5DDDDEF-A5DC-4435-A0FC-E1C95E1FD450},
96,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Rubes Creek Trail,,,0.283301,{66A6541F-86D8-4783-A569-94C43D756FD3},
97,f,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,0.03891,{E2B5E844-0CD9-4697-9433-3EF8FD6CF21A},
98,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Rubes Creek Trail,,,0.155634,{BF6F8BB7-D565-46DE-84E3-FDADEB54D114},
99,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.156407,{3B5D9AF8-6D30-4224-B152-7E844324F1F5},
100,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Mill Creek Connector Trail,,,0.312353,{4FF8D9A2-43BA-455B-A647-A54F0226F9F2},
101,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dupree Park Connector Trail,,,0.474395,{4F096C5F-D04A-41A0-8199-3177CACDA778},
102,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Little River Trail,,,0.296981,{F178F92D-D616-4BD8-99A4-DB1F1710E593},
103,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.560751,{94E53E88-77C8-4EA3-98AD-815492B056AC},
104,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Mill Creek Connector Trail,,,0.211075,{0308E18F-10CE-4ADA-9658-09E0773101BA},
105,p,Side Path,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dupree Park Connector Trail,,,1.085934,{FF9CE0ED-FB7C-4878-A135-C765C6EC89BD},
106,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.76205,{A001D21A-A403-4844-8FAB-5D118933FCB7},
107,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,River Run Trail,,,0.083617,{AB9D4CDC-423F-4AC3-8E1D-1C4FFAE3D203},
108,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,0.154881,{02140F37-F76B-4735-AB35-E6399FFB3875},
109,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.151086,{B220B67F-F97C-4A8C-BC79-4770DA11E0C7},
110,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Mill Creek Connector Trail,,,0.156335,{546C2AE3-9B98-42C5-AD0E-0B43D35541D3},
111,f,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Rubes Creek Trail,,,0.308546,{CF0F2CAC-0F29-4506-9127-B9F23A2E4DF8},
112,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Rubes Creek Trail,,,0.078602,{A6DA5A03-EB0C-4890-AA83-FACBB7DCCEEB},
113,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.549876,{F80D456F-E474-4A64-AEA5-215C8681FF40},
114,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,River Run Trail,,,0.258869,{06F353DA-B3A0-4B82-B045-FD39D71F4C33},
115,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,0.24134,{6AFCCE58-4F37-47CA-8035-820207BE720F},
116,p,Side Path,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dobbs Trail,,,0.379285,{6A9914D0-5D06-4DB2-AC8D-C9ADEF750D3E},
117,p,Side Path,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Education Connector Trail,,,0.263217,{44C7E1CD-ABBD-44BC-8D7B-4E53641AEF13},
118,c,Side Path,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,,No,,,,Yes, ,,,0.08259,{6800BCC1-1FB1-4859-9F13-68D3B2730B5D},
119,c,Shared Use Path or Greenway,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,,No,,,,Yes,Town to Creek Trail,,,0.589185,{3DAB0D44-511E-4A72-BA95-D98D96A59411},
