OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,GlobalID,created_user,created_date,last_edited_user,last_edited_date
182,10416835,UNCLASSIFIED,ANCHOR HOSPITAL,770-991-6044,5454 YORKTOWNE DRIVE, ,ATLANTA,GA,30349,5317,CLAYTON,13063,LOCATED ON THE SE END OF YORKTOWNE DRIVE 0.26 MILES S OF YORKTOWNE CIR., , , ,2011-12-27T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",22735040,-84.452294,33.606817,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,{CD74CFBD-3A42-4A1C-A50C-1FF659CCC207},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
183,10417227,UNCLASSIFIED,EMORY CRAWFORD LONG HOSPITAL,404-686-4411,550 PEACHTREE STREET NORTHEAST, ,ATLANTA,GA,30308,2209,FULTON,13121,WEST SIDE OF PEACHTREE ST NE ACROSS FROM THE PEACHTREE ST NE AND RENAISSANCE PKY NE T INTERSECTION, , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",22696339,-84.385864,33.768697,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6919,{30992A88-4FF9-4DC7-880C-78DFFF3B3734},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
184,10417073,UNCLASSIFIED,DEVEREAUX CENTER,770-427-0147,1291 STANLEY ROAD, ,KENNESAW,GA,30152,4359,COBB,13067,LOCATED ON THE SE SIDE OF STANLEY RD NW 0.26 MILES SW OF BARRETT KNOLL CIR NW., , , ,2012-01-04T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622310,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",22673191,-84.611399,33.988478,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,6501,{8A60565C-D890-41D7-828B-D56B2859AEF1},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
185,10417212,UNCLASSIFIED,KINDRED HOSPITAL - ATLANTA,404-873-2871,705 JUNIPER STREET NORTHEAST, ,ATLANTA,GA,30308,1307,FULTON,13121,NORTHEAST CORNER OF JUNIPER ST NE AND 3RD ST NE, , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",22695675,-84.382642,33.773736,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6469,{8FA42EBA-6416-4BE0-9A80-1556B2BE889C},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
186,10416881,UNCLASSIFIED,WELLSTAR DOUGLAS HOSPITAL,770-949-1500,8954 HOSPITAL DRIVE, ,DOUGLASVILLE,GA,30134,2272,DOUGLAS,13097,LOCATED ON THE E SIDE OF HOSPITAL DR BETWEEN PRESTLEY MILL RD AND PROFESSIONAL PKY., , , ,2012-01-12T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",133502852,-84.731571,33.73907,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,{941EE9D4-6A8F-4D12-B72C-D92C61D20572},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
187,10417228,UNCLASSIFIED,NORTH FULTON REGIONAL HOSPITAL,404-751-2512,3000 HOSPITAL BOULEVARD, ,ROSWELL,GA,30076,4915,FULTON,13121, , , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-28T00:00:00.000Z,PROVIDED,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL", ,-84.320808,34.062942,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6921,{8FE4B808-B9A4-4677-AD86-C260151395F1},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
188,10417070,UNCLASSIFIED,PIEDMONT FAYETTE HOSPITAL,770-719-7000,1255 STATE HIGHWAY 54 WEST, ,FAYETTEVILLE,GA,30214, ,FAYETTE,13113,LOC ON THE NORTH SIDE OF GA-54 W 0.35 MILES WEST OF THE INT OF SANDY CREEK RD AND GA-54 W, , , ,2012-01-17T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",133516975,-84.507946,33.452672,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6931,{43996DB4-1795-4908-902E-004BD2F5BA96},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
189,10417226,UNCLASSIFIED,GLANCY REHABILITATION CENTER,678-584-6800,3215 MCCLURE BRIDGE ROAD, ,DULUTH,GA,30096,3223,GWINNETT,13135,SOUTHEAST CORNER OF FACTORY RD NEW AND IRVINGDALE RD NW., , , ,2008-01-22T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",133502749,-84.152886,34.006963,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6918,{E53A2F7E-76E8-4091-8FE5-A9FD9F185228},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
190,10416884,UNCLASSIFIED,WELLSTAR WINDY HILL HOSPITAL,770-644-1000,2540 WINDY HILL ROAD, ,MARIETTA,GA,30067,8605,COBB,13067,LOCATED ON THE S SIDE OF WINDY HILL ROAD SE 0.04 MILES W OF S PARK PL SE., , , ,2012-01-04T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",123794095,-84.479411,33.901081,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS, ,{A69F8761-F761-472C-BE59-8B4559ED8D24},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
191,10417234,UNCLASSIFIED,"SOUTH FULTON MEDICAL CENTER, INC.",404-305-3550,1170 CLEVELAND AVENUE, ,EAST POINT,GA,30344,3615,FULTON,13121, , , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-28T00:00:00.000Z,PROVIDED,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL", ,-84.427605,33.680614,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6930,{B66261FC-AF62-4925-AA3E-4B683B59EECD},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
192,10416851,UNCLASSIFIED,DEKALB MEDICAL CENTER,404-501-8000,2801 DEKALB MEDICAL PKWY, ,LITHONIA,GA,30058, ,DEKALB,13089, , , , ,2012-01-10T00:00:00.000Z,PHONE,2008-01-11T00:00:00.000Z,AUTO,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",127178454,-84.146968,33.710502,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS, ,{DF364E1F-1B83-4C61-9FCD-F4D4C568C777},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
193,10417238,UNCLASSIFIED,VETERANS HOSPITAL,404-321-6111,1670 CLAIRMONT RD, ,DECATUR,GA,30033,4004,DEKALB,13089, , , , ,2012-01-10T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,PROVIDED,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL", ,-84.310982,33.803143,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6935,{6DAAF7D9-DA31-423E-92B3-83E31E4A4887},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
194,10417246,UNCLASSIFIED,SOUTHERN REGIONAL MEDICAL CENTER,770-991-8000,11 SOUTHWEST UPPER RIVERDALE ROAD, ,RIVERDALE,GA,30274,2615,CLAYTON,13063,LOCATED ON THE N SIDE OF SW UPPER RIVERDALE RD 0.10 MILES N OF UPPER RIVERDALE RD SW., , , ,2011-12-27T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",22736008,-84.389662,33.579186,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6945,{45ACB7A4-076A-43E4-A355-C48034460A7B},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
195,10417242,UNCLASSIFIED,DEKALB MEDICAL CENTER,404-501-1000,2701 N. DECATUR ROAD, ,DECATUR,GA,30033,5918,DEKALB,13089, , , , ,2012-01-10T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,PROVIDED,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL", ,-84.282799,33.790028,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6939,{7E08D245-4107-44C6-B592-01BDB3F75AA5},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
196,10417224,UNCLASSIFIED,EMORY EASTSIDE MEDICAL CENTER,770-979-0200,1700 MEDICAL WAY, ,SNELLVILLE,GA,30078,2195,GWINNETT,13135,"NORTH SIDE OF TREE LN SW, 0.31 MILES SOUTHEAST ON TREE LN SW FROM THE INTERSECTION AT TREE LN SW AND NEW HAMPTON DR SW.", , , ,2008-01-22T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",124543796,-84.021275,33.877307,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6916,{6BF2069E-C609-4963-B2CB-DFB628394D6C},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
197,10416838,UNCLASSIFIED,ATLANTA MEDICAL CENTER,404-265-4000,303 PARKWAY DRIVE NORTHEAST, ,ATLANTA,GA,30312,1212,FULTON,13121,EAST OF PARKWAY DR BETWEEN RALPH MCGILL BLVD NE AND HIGHLAND AVE NE, , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",133502721,-84.373008,33.762588,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,{A02E3CE6-1F55-4426-BC0D-E3AA851F926D},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
198,10416861,UNCLASSIFIED,LAFAYETTE NURSING AND REHAB CENTER,770-461-2928,110 BRANDYWINE BLVD, ,FAYETTEVILLE,GA,30214,1500,FAYETTE,13113, , , , ,2012-01-17T00:00:00.000Z,PHONE,2008-01-11T00:00:00.000Z,AUTO,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",114451726,-84.483102,33.452483,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS, ,{4DDC8999-11EA-469E-B46B-A7395A85E8B4},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
199,10417220,UNCLASSIFIED,RIDGEVIEW INSTITUTE,770-434-4567,3995 SOUTH COBB DRIVE, ,SMYRNA,GA,30080,6342,COBB,13067,LOCATED ON THE NE SIDE OF S COBB DR SE 0.31 MILES SE OF KING SPRINGS RD SE., , , ,2012-01-04T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",23245222,-84.512997,33.85562,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,6504,{F604AAAF-FB22-45A9-8EBE-A7C6B85DAFEA},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
200,10417225,UNCLASSIFIED,GWINNETT MEDICAL CENTER,770-995-4321,1000 MEDICAL CENTER BOULEVARD, ,LAWRENCEVILLE,GA,30045,7694,GWINNETT,13135,"FROM THE INTERSECTION OF LAWRENCEVILLE SUWANNEE RD NW AND MEDICAL CENTER BLVD NW, TRAVEL NE .10 MILE THEN NW .13 MILE, TURN E .08 MILE, EN SITS ON N SIDE.", , , ,2008-01-22T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",127177197,-84.017392,33.963508,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6917,{ECB2DF87-EDBE-4F2F-BE06-79C5A8E7775B},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
201,10417069,UNCLASSIFIED,PIEDMONT HOSPITAL,404-605-5000,1968 PEACHTREE ROAD NORTHWEST, ,ATLANTA,GA,30309,1281,FULTON,13121,LOCATED AT THE NORTH CORNER OF COLLIER ROAD NW AND PEACHTREE RD NW., , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-24T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",127087717,-84.394836,33.808562,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6920,{F915087D-5708-4A05-ADD0-E843C33417FF},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
202,10417054,UNCLASSIFIED,CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,404-785-6000,1405 CLIFTON ROAD NORTHEAST, ,ATLANTA,GA,30322,1062,DEKALB,13089,LOCATED ON THE E SIDE OF CLIFTON ROAD NE BETWEEN HAYGOOD DR NE AND WOODRUFF CIR N., , , ,2012-01-10T00:00:00.000Z,PHONE,2008-01-24T00:00:00.000Z,MANUAL,622110,"CHILDREN'S HOSPITALS, GENERAL",118805824,-84.32064,33.793844,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,6940,{A9B1D7A9-7EE1-40D7-A6FA-05A2A89CE1B3},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
203,10416862,UNCLASSIFIED,LAUREL HEIGHTS HOSPITAL,404-888-7860,934 BRIARCLIFF ROAD NORTHEAST, ,ATLANTA,GA,30306,2618,DEKALB,13089,NORTHWEST SIDE OF BRIARCLIFF RD NE. BETWEEN VIRGINIA AVE NE AND STILLWOOD DR NE., , , ,2012-01-10T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",17037321,-84.345075,33.779911,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS, ,{7E45A608-4379-42EF-A6B0-B9B55075F2AA},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
204,10416882,UNCLASSIFIED,WELLSTAR KENNESTONE HOSPITAL,770-793-5000,677 CHURCH STREET, ,MARIETTA,GA,30060, ,COBB,13067,LOCATED AT THE NW CORNER OF WHITCHER ST NE AND CHURCH ST NW., , , ,2012-01-04T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",133502759,-84.55106,33.968091,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,{0E1E872B-3DB8-49EA-B270-77357F64AF96},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
205,10417062,UNCLASSIFIED,CHILDREN'S HEALTH CARE OF ATLANTA AT SCOTTISH RITE,404-785-5252,1001 JOHNSON FERRY ROAD, ,ATLANTA,GA,30342,1605,FULTON,13121,SOUTHEAST CORNER OF MERIDIAN MARKS RD NE AND JOHNSON FERRY RD NE, , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"CHILDREN'S HOSPITALS, GENERAL",133507038,-84.353892,33.906815,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6923,{5AA21173-E49A-4B7E-AC2A-EF1E0C9D068F},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
206,10417240,UNCLASSIFIED,WESLEY WOODS GERIATRIC HOSPITAL,404-728-6200,1821 CLIFTON ROAD NORTHEAST, ,ATLANTA,GA,30329,4021,DEKALB,13089,NORTHEAST SIDE OF CLIFTON RD NE. 0.22 MILE SOUTHEAST OF THE GA-42 AND CLIFTON RD INTERSECTION., , , ,2012-01-10T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",22660373,-84.3314,33.804726,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6937,{EB901EA4-569E-4C7B-A688-1327DEFF3F5B},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
207,10417215,UNCLASSIFIED,INNER HARBOUR FOR CHILDREN AND FAMILIES,770-942-2391,4685 DORSETT SHOALS ROAD, ,DOUGLASVILLE,GA,30135,4921,DOUGLAS,13097,LOCATED ON THE SE SIDE OF DORSETT SHOALS RD ABOUT .09 MILES NE OF COURSEY LAKE RD., , , ,2012-01-12T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"CHILDREN'S HOSPITALS, GENERAL",22820500,-84.735099,33.680987,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,6486,{35D0EA4A-CF10-4E33-B8EA-D260BD7CA308},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
208,10416872,UNCLASSIFIED,RIVERWOODS SOUTHERN REGIONAL PSYCHIATRIC CENTER,770-991-8500,11 UPPER RIVERDALE ROAD SOUTHWEST, ,RIVERDALE,GA,30274,2615,CLAYTON,13063,LOCATED ON THE N SIDE OF UPPER RIVERDALE ROAD SW 0.17 MILES W IF DON HASTINGS DR., , , ,2011-12-27T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",22736007,-84.389684,33.578044,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS, ,{CFE38F87-BE9D-4E65-A588-E11084FE87EA},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
209,10417223,UNCLASSIFIED,ROCKDALE MEDICAL CENTER,770-918-3101,1412 MILSTEAD AVENUE, ,CONYERS,GA,30012,3877,ROCKDALE,13247,NW CORNER OF MILSTEAD RD NE AND STARCREST DR NE, , , ,2008-01-22T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",22732588,-84.001483,33.680726,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6642,{9A4FFA53-FD78-407B-A862-19BC5CDE1F56},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
210,10417229,UNCLASSIFIED,NORTHSIDE HOSPITAL,404-851-8700,1000 JOHNSON FERRY ROAD, ,ATLANTA,GA,30342,1606,FULTON,13121,NORTHEAST CORNER OF JOHNSON FERRY RD NE AND HOLLIS COBB CIR, , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",133507038,-84.354082,33.908949,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6922,{59D99FA4-0B66-4F1F-A440-2EFD2C1CAF1D},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
211,10417217,UNCLASSIFIED,GEORGIA REGIONAL HOSPITAL / ATLANTA,404-243-2100,3073 PANTHERSVILLE ROAD, ,DECATUR,GA,30034,3828,DEKALB,13089, , , , ,2012-01-10T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,PROVIDED,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL", ,-84.272163,33.694275,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6491,{1F5BC855-943E-4291-B8DD-363B63C2AFBE},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
