OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,CHNG_JOBS_2002_07,CHNG_JOBS_AGE_29_YNGR_2002_07,CHNG_JOBS_AGE_30_54_2002_07,CHNG_JOBS_AGE_55_OLDR_2002_07,CHNG_JOBS_1250_LESS_2002_07,CHNG_JOBS_1251_3333_2002_07,CHNG_JOBS_3333_MORE_2002_07,CHNG_PCT_JOBS_29_YNGR_2002_07,CHNG_PCT_JOBS_30_54_2002_07,CHNG_PCT_JOBS_55_OLDR_2002_07,CHNG_PCT_JOBS_1250_LESS_2002_07,CHNG_PCT_JOBS_1251_3333_2002_07,CHNG_PCT_JOBS_3333_MORE_2002_07,CHNG_JOBS_2007_10,CHNG_JOBS_AGE_29_YNGR_2007_10,CHNG_JOBS_AGE_30_54_2007_10,CHNG_JOBS_AGE_55_OLDR_2007_10,CHNG_JOBS_1250_LESS_2007_10,CHNG_JOBS_1251_3333_2007_10,CHNG_JOBS_3333_MORE_2007_10,CHNG_PCT_JOBS_29_YNGR_2007_10,CHNG_PCT_JOBS_30_54_2007_10,CHNG_PCT_JOBS_55_OLDR_2007_10,CHNG_PCT_JOBS_1250_LESS_2007_10,CHNG_PCT_JOBS_1251_3333_2007_10,CHNG_PCT_JOBS_3333_MORE_2007_10,CHNG_JOBS_2010_15,CHNG_JOBS_AGE_29_YNGR_2010_15,CHNG_JOBS_AGE_30_54_2010_15,CHNG_JOBS_AGE_55_OLDR_2010_15,CHNG_JOBS_1250_LESS_2010_15,CHNG_JOBS_1251_3333_2010_15,CHNG_JOBS_3333_MORE_2010_15,CHNG_PCT_JOBS_29_YNGR_2010_15,CHNG_PCT_JOBS_30_54_2010_15,CHNG_PCT_JOBS_55_OLDR_2010_15,CHNG_PCT_JOBS_1250_LESS_2010_15,CHNG_PCT_JOBS_1251_3333_2010_15,CHNG_PCT_JOBS_3333_MORE_2010_15,CHNG_JOBS_2002_15,CHNG_JOBS_AGE_29_YNGR_2002_15,CHNG_JOBS_AGE_30_54_2002_15,CHNG_JOBS_AGE_55_OLDR_2002_15,CHNG_JOBS_1250_LESS_2002_15,CHNG_JOBS_1251_3333_2002_15,CHNG_JOBS_3333_MORE_2002_15,CHNG_PCT_JOBS_29_YNGR_2002_15,CHNG_PCT_JOBS_30_54_2002_15,CHNG_PCT_JOBS_55_OLDR_2002_15,CHNG_PCT_JOBS_1250_LESS_2002_15,CHNG_PCT_JOBS_1251_3333_2002_15,CHNG_PCT_JOBS_3333_MORE_2002_15,GlobalID,last_edited_date
22,13113140307,13113,"Census Tract 1403.07, Fayette County",5048,306,ARC 10,4196.87011719,96.89790344,4293.77001953,6.55761003,0.15140299,6.70902014,140307,Fayette,-35,-29,-10,4,-25,-27,17,-6.5,3.0999999,3.5,-2.5,-8.89999962,11.39999962,-16,-26,0,10,-22,10,-4,-10.69999981,4.30000019,6.4000001,-7.19999981,6.9000001,0.30000001,415,10,276,129,76,89,250,-17.79999924,9,8.80000019,-20.20000076,-1.60000002,21.89999962,364,-45,266,143,29,72,263,-35,16.29999924,18.70000076,-29.89999962,-3.70000005,33.59999847,{3BE5CF6E-F2B6-4BC9-91A0-F29E15829E01},
23,13113140408,13113,"Census Tract 1404.08, Fayette County",3096,283,ARC 10,3867.0300293,57.24739838,3924.2800293,6.04223013,0.0894491,6.13169003,140408,Fayette,22,1,16,5,19,0,3,-5.4000001,1.89999998,3.4000001,15.10000038,-14.10000038,-1,-6,10,-15,-1,-10,7,-3,20.39999962,-20.39999962,0,-12,15.89999962,-3.9000001,75,32,26,17,31,21,23,5.0999999,-8.39999962,3.29999995,-4.5,-6.80000019,11.30000019,91,43,27,21,40,28,23,20.10000038,-26.89999962,6.80000019,-1.39999998,-5,6.4000001,{29B60649-B0E2-4926-BBB3-1699828E9FB6},
24,13113140407,13113,"Census Tract 1404.07, Fayette County",8111,572,ARC 10,5399.68017578,120.4280014,5520.10986328,8.43700027,0.188169,8.62516975,140407,Fayette,-32,2,-44,10,-8,25,-49,0.89999998,-2.5,1.5,0.1,4,-4.0999999,-188,-81,-94,-13,-71,-129,12,-4.69999981,2.29999995,2.4000001,-2.5999999,-4.4000001,7,187,66,34,87,60,-15,142,3.20000005,-8.30000019,5.0999999,1.5,-10.30000019,8.69999981,-33,-13,-104,84,-19,-119,105,-0.60000002,-8.5,9.10000038,-1,-10.60000038,11.60000038,{5A5DD026-7602-4B28-8947-7B1778CE8B2C},
25,13113140405,13113,"Census Tract 1404.05, Fayette County",3829,294,ARC 10,4918.27978516,133.022995,5051.31005859,7.68481016,0.207848,7.89267015,140405,Fayette,292,132,95,65,129,62,101,9.5,-10.80000019,1.29999995,2,-3.5999999,1.60000002,-56,-67,-11,22,-39,-16,-1,-6.30000019,2.29999995,3.9000001,-2,0,2,-223,46,-204,-65,-46,-18,-159,14.5,-12.39999962,-2,6.30000019,7.4000001,-13.80000019,13,111,-120,22,44,28,-59,17.70000076,-20.89999962,3.20000005,6.30000019,3.9000001,-10.19999981,{E32C6BAA-D5DE-48EF-991E-DB897F246F8F},
26,13113140404,13113,"Census Tract 1404.04, Fayette County",5745,510,ARC 10,3411.18994141,108.55000305,3519.73999023,5.3299799,0.169609,5.49958992,140404,Fayette,1590,167,976,447,298,320,972,-3.5,0,3.5,-3.9000001,-6.4000001,10.30000019,-329,-297,-108,76,-241,-132,44,-4.5,1.79999995,2.70000005,-2.79999995,-0.30000001,3.0999999,44,118,-213,139,36,-15,23,2.0999999,-4.5999999,2.5,0.5,-0.60000002,0.1,1305,-12,655,662,93,173,1039,-5.9000001,-2.79999995,8.69999981,-6.30000019,-7.30000019,13.5,{AF02ADAB-5E46-435A-B927-88E64E8353CE},
27,13113140206,13113,"Census Tract 1402.06, Fayette County",4543,391,ARC 10,3422.86010742,130.86700439,3553.72998047,5.34821987,0.20448001,5.55270004,140206,Fayette,664,208,332,124,229,166,269,2.9000001,-3.29999995,0.40000001,2.5,-3.9000001,1.39999998,-361,-154,-253,46,-172,-230,41,-3.0999999,-1.60000002,4.69999981,-3.20000005,-4.19999981,7.4000001,-693,-57,-507,-129,72,-227,-538,4.80000019,-6.30000019,1.5,14.5,-0.1,-14.5,-390,-3,-428,41,129,-291,-228,4.5,-11.10000038,6.5999999,13.80000019,-8.10000038,-5.69999981,{D2E2C8CA-8CFC-45DC-A836-B43641939A1D},
28,13113140203,13113,"Census Tract 1402.03, Fayette County",5400,482,ARC 10,6488.79003906,169.83900452,6658.62011719,10.13869953,0.26537299,10.40410042,140203,Fayette,626,266,256,104,192,148,286,6.9000001,-7.0999999,0.1,2.5,-6.9000001,4.4000001,-570,-277,-233,-60,-129,-212,-229,-8.80000019,6.0999999,2.70000005,1.5,-0.2,-1.29999995,501,156,192,153,193,167,141,3,-6.30000019,3.29999995,3.20000005,-0.89999998,-2.29999995,557,145,215,197,256,103,198,1.20000005,-7.30000019,6.0999999,7.19999981,-8,0.80000001,{CDBC50E4-4D4D-4F36-BF35-CCCC705BDC51},
29,13113140204,13113,"Census Tract 1402.04, Fayette County",5439,557,ARC 10,10142.70019531,228.47399902,10371.20019531,15.84799957,0.35699099,16.20499992,140204,Fayette,520,111,281,128,-25,44,501,1.29999995,-4.4000001,3.0999999,-8.30000019,-8.80000019,17.20000076,213,53,83,77,10,47,156,0.69999999,-2.5999999,2,-1.39999998,-1.20000005,2.5999999,210,-71,118,163,-52,96,166,-4.4000001,-0.69999999,5.0999999,-3.70000005,1,2.5999999,943,93,482,368,-67,187,823,-2.5,-7.69999981,10.19999981,-13.39999962,-9,22.39999962,{B9CD1872-E881-4738-AEED-57ED914DF86E},
30,13113140305,13113,"Census Tract 1403.05, Fayette County",5108,420,ARC 10,6317.52001953,149.32000732,6466.83007813,9.87112999,0.23331299,10.10439968,140305,Fayette,227,34,157,36,79,87,61,-8.60000038,6.5,2.0999999,-1.79999995,-0.89999998,2.70000005,-97,-45,-53,1,-20,-58,-19,-6.30000019,2.20000005,4,4.4000001,-5.5999999,1.29999995,178,51,56,71,28,53,97,3.79999995,-11.19999981,7.4000001,-8.39999962,-1.29999995,9.69999981,308,40,160,108,87,82,139,-11.10000038,-2.5,13.60000038,-5.9000001,-7.80000019,13.69999981,{C5BA6A13-E47A-4F56-9067-8A84A2065B0F},
31,13113140403,13113,"Census Tract 1404.03, Fayette County",5245,426,ARC 10,3869.63989258,69.19960022,3938.84008789,6.04630995,0.108124,6.15443993,140403,Fayette,494,115,268,111,71,181,242,-3,0.89999998,2.0999999,-7.5,-0.40000001,7.9000001,-322,-128,-182,-12,19,-193,-148,-0.80000001,-0.89999998,1.70000005,7.5999999,-3.4000001,-4.19999981,-517,-189,-279,-49,-328,-181,-8,-0.80000001,-1.39999998,2.20000005,-4.19999981,-0.1,4.4000001,-345,-202,-193,50,-238,-193,86,-4.5999999,-1.39999998,6,-4.0999999,-3.9000001,8,{85C1E209-8627-452B-8951-A8F34FE5B0B9},
32,13113140406,13113,"Census Tract 1404.06, Fayette County",3703,444,ARC 10,3291.55004883,58.01589966,3349.57006836,5.14305019,0.0906498,5.2336998,140406,Fayette,297,-7,155,149,-20,66,251,-4.19999981,-0.1,4.19999981,-5.0999999,-2.0999999,7.19999981,-531,-276,-216,-39,-206,-217,-108,-5.0999999,3,2.0999999,-1.10000002,-0.40000001,1.5,436,175,128,133,206,59,171,2.29999995,-4.4000001,2.0999999,2.4000001,-4.30000019,1.89999998,202,-108,67,243,-20,-92,314,-6.9000001,-1.5,8.39999962,-3.79999995,-6.69999981,10.60000038,{D7C5568B-EA47-433E-9223-F28DAFE26438},
33,13113140306,13113,"Census Tract 1403.06, Fayette County",7752,573,ARC 10,3277.19995117,17.38680077,3294.59008789,5.12062979,0.0271669,5.14779997,140306,Fayette,547,114,278,155,236,-15,326,0,-3.20000005,3.29999995,5,-9.80000019,4.69999981,-967,-277,-590,-100,-275,-571,-121,-3.70000005,2,1.70000005,-3.70000005,-8.80000019,12.5,101,77,-67,91,62,-124,163,2.79999995,-6.4000001,3.5999999,2.0999999,-7.4000001,5.30000019,-319,-86,-379,146,23,-710,368,-0.89999998,-7.5999999,8.5,3.5,-26,22.60000038,{54B84416-D036-4FDE-B837-D8BA22291940},
34,13113140102,13113,"Census Tract 1401.02, Fayette County",5312,515,ARC 10,7621.85986328,108.15200043,7730.00976563,11.90919971,0.16898701,12.0781002,140102,Fayette,-398,-47,-402,51,-327,-138,67,2.5,-4.69999981,2.29999995,-3.79999995,0.60000002,3.20000005,-644,-467,-119,-58,-423,-168,-53,-6.0999999,5.4000001,0.69999999,-4.9000001,2.79999995,2.0999999,1205,277,622,306,643,277,285,-2.79999995,-0.30000001,3,4.9000001,-5.4000001,0.5,163,-237,101,299,-107,-29,299,-6.4000001,0.30000001,6,-3.79999995,-2,5.80000019,{832CC3A6-B843-431F-8431-8E2BDC4FEAA9},
35,13113140101,13113,"Census Tract 1401.01, Fayette County",7472,637,ARC 10,10301.79980469,226.91600037,10528.70019531,16.09659958,0.35455599,16.4510994,140101,Fayette,-238,-50,-167,-21,-106,-103,-29,-0.5,-2.9000001,3.4000001,-4.0999999,-2.5999999,6.69999981,-86,4,-95,5,33,-50,-69,5.19999981,-10.60000038,5.4000001,15.19999981,-4.9000001,-10.30000019,139,65,58,16,81,14,44,5.69999981,-2.29999995,-3.29999995,2.9000001,-5.30000019,2.5,-185,19,-204,0,8,-139,-54,10.5,-15.80000019,5.4000001,13.89999962,-12.80000019,-1.20000005,{DC546CAB-A422-43E2-8105-F02D0668B3F6},
