OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,CHANGE_WORKERS_2002_07,CHG_WRKRS_AGE_29_YNGR_2002_07,CHG_WRKRS_AGE_30_54_2002_07,CHG_WRKRS_AGE_55_OLDR_2002_07,CHG_WRKRS_1250_LESS_2002_07,CHG_WRKRS_1251_3333_2002_07,CHG_WRKRS_3333_MORE_2002_07,CHG_PCT_WRKRS_29_YNGR_2002_07,CHG_PCT_WRKRS_30_54_2002_07,CHG_PCT_WRKRS_55_OLDR_2002_07,CHG_PCT_WRKRS_1250_LESS_2002_07,CHG_PCT_WRKRS_1251_3333_2002_07,CHG_PCT_WRKRS_3333_MORE_2002_07,CHANGE_WORKERS_2007_10,CHG_WRKRS_AGE_29_YNGR_2007_10,CHG_WRKRS_AGE_30_54_2007_10,CHG_WRKRS_AGE_55_OLDR_2007_10,CHG_WRKRS_1250_LESS_2007_10,CHG_WRKRS_1251_3333_2007_10,CHG_WRKRS_3333_MORE_2007_10,CHG_PCT_WRKRS_29_YNGR_2007_10,CHG_PCT_WRKRS_30_54_2007_10,CHG_PCT_WRKRS_55_OLDR_2007_10,CHG_PCT_WRKRS_1250_LESS_2007_10,CHG_PCT_WRKRS_1251_3333_2007_10,CHG_PCT_WRKRS_3333_MORE_2007_10,CHANGE_WORKERS_2010_15,CHG_WRKRS_AGE_29_YNGR_2010_15,CHG_WRKRS_AGE_30_54_2010_15,CHG_WRKRS_AGE_55_OLDR_2010_15,CHG_WRKRS_1250_LESS_2010_15,CHG_WRKRS_1251_3333_2010_15,CHG_WRKRS_3333_MORE_2010_15,CHG_PCT_WRKRS_29_YNGR_2010_15,CHG_PCT_WRKRS_30_54_2010_15,CHG_PCT_WRKRS_55_OLDR_2010_15,CHG_PCT_WRKRS_1250_LESS_2010_15,CHG_PCT_WRKRS_1251_3333_2010_15,CHG_PCT_WRKRS_3333_MORE_2010_15,CHANGE_WORKERS_2002_15,CHG_WRKRS_AGE_29_YNGR_2002_15,CHG_WRKRS_AGE_30_54_2002_15,CHG_WRKRS_AGE_55_OLDR_2002_15,CHG_WRKRS_1250_LESS_2002_15,CHG_WRKRS_1251_3333_2002_15,CHG_WRKRS_3333_MORE_2002_15,CHG_PCT_WRKRS_29_YNGR_2002_15,CHG_PCT_WRKRS_30_54_2002_15,CHG_PCT_WRKRS_55_OLDR_2002_15,CHG_PCT_WRKRS_1250_LESS_2002_15,CHG_PCT_WRKRS_1251_3333_2002_15,CHG_PCT_WRKRS_3333_MORE_2002_15,GlobalID,last_edited_date
11,13045910701,13045,"Census Tract 9107.01, Carroll County",9360,796,ARC 20,16111.20019531,125.41100311,16236.59960938,25.17370033,0.19595499,25.36969948,910701,Carroll,641,119,396,126,31,78,532,-1.60000002,0.2,1.39999998,-3.5999999,-6.30000019,9.89999962,-134,-105,-95,66,-84,-123,73,-2,-0.40000001,2.29999995,-1.5,-1.89999998,3.4000001,-67,-35,-179,147,8,-194,119,-0.5,-4,4.5,0.60000002,-4.80000019,4.19999981,440,-21,122,339,-45,-239,724,-4.0999999,-4.0999999,8.19999981,-4.5,-13,17.5,{9D99CFEE-F4A6-4BD7-933E-B207D9362C53},
12,13045910703,13045,"Census Tract 9107.03, Carroll County",8743,899,ARC 20,8591.16992188,261.16799927,8852.33984375,13.42370033,0.408075,13.83180046,910703,Carroll,-50,-50,-86,86,-100,-203,253,-1,-1.60000002,2.5,-2.4000001,-4.9000001,7.30000019,-333,-212,-113,-8,-160,-114,-59,-3.5999999,2.29999995,1.29999995,-2.4000001,0.89999998,1.5,54,12,-46,88,-20,-86,160,0,-2.29999995,2.4000001,-0.89999998,-3.29999995,4.19999981,-329,-250,-245,166,-280,-403,354,-4.5999999,-1.60000002,6.19999981,-5.69999981,-7.30000019,13.10000038,{D4AF3A1F-3333-4C05-9CE9-39FB0B9611BA},
13,13045910600,13045,"Census Tract 9106, Carroll County",6391,522,ARC 20,8041.37988281,0.54437298,8041.91992188,12.56470013,0.00085058,12.56550026,910600,Carroll,194,143,8,43,-61,31,224,3.70000005,-4.4000001,0.80000001,-4.69999981,-2.5,7.19999981,-165,-179,-54,68,-84,-97,16,-5.5999999,1.70000005,3.9000001,-2,-1,3,139,19,81,39,41,-49,147,-0.60000002,0,0.60000002,0.5,-4.5,4,168,-17,35,150,-104,-115,387,-2.5,-2.70000005,5.30000019,-6.19999981,-8,14.19999981,{85E064BD-AFD8-4065-B161-B61752EC75D1},
14,13045910501,13045,"Census Tract 9105.01, Carroll County",8615,712,ARC 20,7382.89013672,0,7382.89013672,11.53579998,0,11.53579998,910501,Carroll,325,145,112,68,73,82,170,1.5,-2.5,1.10000002,-0.69999999,-2.9000001,3.5999999,-167,-188,13,8,-71,-117,21,-5.4000001,4.0999999,1.20000005,-1,-1.70000005,2.79999995,108,106,-40,42,59,-39,88,2.9000001,-4,1,1.20000005,-3.4000001,2.20000005,266,63,85,118,61,-74,279,-1,-2.4000001,3.4000001,-0.5,-8,8.5,{26785037-B262-4092-A857-1F170DFE16A8},
15,13045910702,13045,"Census Tract 9107.02, Carroll County",8052,958,ARC 20,14868.5,304.74301147,15173.29980469,23.23200035,0.476161,23.70829964,910702,Carroll,452,115,207,130,63,48,341,0.30000001,-2.20000005,1.89999998,-1.20000005,-4.4000001,5.5999999,-106,-147,-36,77,-63,-196,153,-3.79999995,0.80000001,2.9000001,-1.29999995,-4.80000019,6.0999999,177,79,-59,157,-60,-25,262,1.29999995,-4.9000001,3.5999999,-2.79999995,-2.5,5.30000019,523,47,112,364,-60,-173,756,-2.20000005,-6.19999981,8.39999962,-5.30000019,-11.69999981,17,{8DCC8932-3D7E-4260-BBF6-2C8414622862},
16,13045911200,13045,"Census Tract 9112, Carroll County",5615,622,ARC 20,41791.80078125,67.61920166,41859.5,65.29969788,0.105655,65.40550232,911200,Carroll,214,68,78,68,-48,-60,322,0.40000001,-1.60000002,1.20000005,-3.5,-5.9000001,9.39999962,-291,-205,-116,30,-44,-180,-67,-4.9000001,1.89999998,3,0.69999999,-1.70000005,1.10000002,-172,-40,-172,40,-87,-138,53,-0.1,-2.9000001,3,-2,-2.5,4.5999999,-249,-177,-210,138,-179,-378,308,-4.5999999,-2.5999999,7.19999981,-4.80000019,-10.19999981,15.10000038,{95C1F67C-03B6-4C52-9869-82777BA731AF},
17,13045910400,13045,"Census Tract 9104, Carroll County",3326,320,ARC 20,27550.09960938,53.30459976,27603.40039063,43.04700089,0.0832884,43.13029861,910400,Carroll,80,39,-23,64,-41,-53,174,1.10000002,-3.9000001,2.79999995,-3.29999995,-5,8.30000019,-297,-148,-103,-46,-120,-101,-76,-4.69999981,4.30000019,0.40000001,-3.29999995,2.20000005,1.20000005,-38,-2,-129,93,31,-159,90,0.40000001,-6.9000001,6.5,2.5,-9.19999981,6.69999981,-255,-111,-255,111,-130,-313,188,-3.29999995,-6.4000001,9.69999981,-4.19999981,-12.10000038,16.20000076,{C5453D87-1A21-4E02-BD57-FB7EBF7E1E8A},
18,13113140207,13113,"Census Tract 1402.07, Fayette County",5652,400,ARC 10,1817.18005371,197.76800537,2014.94995117,2.83933997,0.30901301,3.14836001,140207,Fayette,13,3,-170,180,-26,11,28,0,-6.80000019,6.80000019,-1.10000002,0.30000001,0.80000001,113,-100,142,71,-76,-89,278,-4.5,2.79999995,1.70000005,-3.70000005,-4.4000001,8.10000038,-317,-46,-384,113,-74,-155,-88,0.30000001,-7.9000001,7.5999999,-0.69999999,-3.20000005,3.9000001,-191,-143,-412,364,-176,-233,218,-4.19999981,-11.89999962,16.10000038,-5.4000001,-7.4000001,12.80000019,{CEF96666-DE02-4F2F-A0D5-810779ED62A7},
19,13113140208,13113,"Census Tract 1402.08, Fayette County",7538,616,ARC 10,4174.27001953,123.97299957,4298.25,6.52229977,0.193708,6.71602011,140208,Fayette,-115,11,-239,113,37,-92,-60,1.5,-7.4000001,5.80000019,2.70000005,-2.5999999,-0.1,373,-69,319,123,-43,21,395,-5.80000019,3.79999995,2,-4.9000001,-3.29999995,8.19999981,673,101,393,179,121,168,384,-0.2,-0.89999998,1.10000002,0.1,0,-0.1,931,43,473,415,115,97,719,-4.4000001,-4.5,8.89999962,-2.0999999,-5.80000019,8,{99A0529A-BB18-4033-8A4E-B4EE52071981},
20,13113140303,13113,"Census Tract 1403.03, Fayette County",4828,268,ARC 10,3397.15991211,234.27900696,3631.43994141,5.30806017,0.366061,5.67411995,140303,Fayette,-204,2,-316,110,-51,-22,-131,1.89999998,-7.69999981,5.80000019,-0.1,1.79999995,-1.60000002,-187,-182,25,-30,-130,-166,109,-6.30000019,5.9000001,0.40000001,-3.9000001,-4.69999981,8.60000038,-197,-12,-297,112,-69,-111,-17,1.10000002,-8.69999981,7.5999999,-1.5,-2.70000005,4.30000019,-588,-192,-588,192,-250,-299,-39,-3.29999995,-10.5,13.80000019,-5.5999999,-5.69999981,11.19999981,{B1697C12-4207-49E0-9F61-F740938EDB55},
21,13113140304,13113,"Census Tract 1403.04, Fayette County",5927,416,ARC 10,3411.91992188,33.34960175,3445.27001953,5.33112001,0.0521088,5.38323021,140304,Fayette,-400,-113,-438,151,-140,-75,-185,-0.80000001,-6.80000019,7.5999999,-1.29999995,1.89999998,-0.60000002,-211,-134,2,-79,-120,-172,81,-3.20000005,4.19999981,-1,-2.5999999,-3.5999999,6.19999981,-207,-77,-169,39,-104,-140,37,-1.5,-2,3.5,-2.4000001,-3,5.4000001,-818,-324,-605,111,-364,-387,-67,-5.5999999,-4.5999999,10.10000038,-6.30000019,-4.69999981,11,{82C6FFFA-181F-4ED4-9736-2414DE2A751F},
22,13113140307,13113,"Census Tract 1403.07, Fayette County",5048,306,ARC 10,4196.87011719,96.89790344,4293.77001953,6.55761003,0.15140299,6.70902014,140307,Fayette,27,71,-123,79,75,16,-64,3.20000005,-6.9000001,3.70000005,3.4000001,0.5,-3.9000001,205,-89,210,84,-64,12,257,-5.80000019,3.29999995,2.4000001,-5.0999999,-1.39999998,6.5,12,31,-294,275,-69,-37,118,1.29999995,-13.30000019,12,-3.0999999,-1.70000005,4.9000001,244,13,-207,438,-58,-9,311,-1.29999995,-16.89999962,18.10000038,-4.80000019,-2.70000005,7.5,{3BE5CF6E-F2B6-4BC9-91A0-F29E15829E01},
23,13113140408,13113,"Census Tract 1404.08, Fayette County",3096,283,ARC 10,3867.0300293,57.24739838,3924.2800293,6.04223013,0.0894491,6.13169003,140408,Fayette,-89,22,-170,59,2,-70,-21,2.29999995,-6.5,4.0999999,1.39999998,-2.20000005,0.80000001,-69,-90,-14,35,-73,-78,82,-4.4000001,1.5,2.9000001,-3.29999995,-3.29999995,6.5,-128,-58,-131,61,-65,-57,-6,-2.0999999,-3.5999999,5.69999981,-2.29999995,-1.20000005,3.5,-286,-126,-315,155,-136,-205,55,-4.0999999,-8.60000038,12.69999981,-4.19999981,-6.5999999,10.80000019,{29B60649-B0E2-4926-BBB3-1699828E9FB6},
24,13113140407,13113,"Census Tract 1404.07, Fayette County",8111,572,ARC 10,5399.68017578,120.4280014,5520.10986328,8.43700027,0.188169,8.62516975,140407,Fayette,316,60,125,131,106,84,126,-0.60000002,-2.20000005,2.79999995,1.20000005,-1.29999995,0.1,144,-45,44,145,12,-84,216,-2.5,-1.29999995,3.79999995,-0.69999999,-4.4000001,5.0999999,220,10,64,146,-55,106,169,-1.10000002,-1.79999995,2.9000001,-3.0999999,1,2.0999999,680,25,233,422,63,106,511,-4.19999981,-5.30000019,9.5,-2.5999999,-4.69999981,7.30000019,{5A5DD026-7602-4B28-8947-7B1778CE8B2C},
25,13113140405,13113,"Census Tract 1404.05, Fayette County",3829,294,ARC 10,4918.27978516,133.022995,5051.31005859,7.68481016,0.207848,7.89267015,140405,Fayette,211,66,46,99,42,48,121,1.29999995,-5,3.70000005,-0.5,-0.80000001,1.20000005,-52,-104,-48,100,-50,14,-16,-5.4000001,-1,6.5,-2.20000005,1.70000005,0.5,-43,12,-80,25,-56,-29,42,1.10000002,-3.29999995,2.20000005,-2.79999995,-1,3.79999995,116,-26,-82,224,-64,33,147,-3,-9.30000019,12.30000019,-5.5,-0.1,5.5999999,{E32C6BAA-D5DE-48EF-991E-DB897F246F8F},
26,13113140404,13113,"Census Tract 1404.04, Fayette County",5745,510,ARC 10,3411.18994141,108.55000305,3519.73999023,5.3299799,0.169609,5.49958992,140404,Fayette,64,68,-43,39,46,-49,67,2.5,-3.9000001,1.29999995,1.5,-3.29999995,1.79999995,232,-84,214,102,44,69,119,-5.80000019,3.0999999,2.5999999,-0.30000001,-0.30000001,0.60000002,-3,46,-141,92,-31,-70,98,1.89999998,-5.80000019,3.9000001,-1.29999995,-2.9000001,4.0999999,293,30,30,233,59,-50,284,-1.29999995,-6.5,7.80000019,-0.1,-6.5,6.5999999,{AF02ADAB-5E46-435A-B927-88E64E8353CE},
27,13113140206,13113,"Census Tract 1402.06, Fayette County",4543,391,ARC 10,3422.86010742,130.86700439,3553.72998047,5.34821987,0.20448001,5.55270004,140206,Fayette,308,88,108,112,64,86,158,1.60000002,-4.30000019,2.70000005,-0.1,0,0.1,38,-80,115,3,-23,-43,104,-4.69999981,5,-0.30000001,-1.70000005,-2.9000001,4.5,-17,16,-151,118,-25,-55,63,1,-7.5999999,6.5999999,-1.20000005,-2.70000005,3.9000001,329,24,72,233,16,-12,325,-2.0999999,-6.9000001,9,-2.9000001,-5.5999999,8.5,{D2E2C8CA-8CFC-45DC-A836-B43641939A1D},
28,13113140203,13113,"Census Tract 1402.03, Fayette County",5400,482,ARC 10,6488.79003906,169.83900452,6658.62011719,10.13869953,0.26537299,10.40410042,140203,Fayette,824,233,406,185,174,190,460,3.29999995,-5.5,2.20000005,-0.2,-3.5,3.70000005,-62,-143,-26,107,-58,-100,96,-5.5,0.5,5,-1.89999998,-3.5,5.30000019,181,23,19,139,-41,74,148,-0.30000001,-3.5999999,3.79999995,-3,1,2,943,113,399,431,75,164,704,-2.4000001,-8.60000038,11,-5.0999999,-6,11.10000038,{CDBC50E4-4D4D-4F36-BF35-CCCC705BDC51},
29,13113140204,13113,"Census Tract 1402.04, Fayette County",5439,557,ARC 10,10142.70019531,228.47399902,10371.20019531,15.84799957,0.35699099,16.20499992,140204,Fayette,175,45,25,105,77,-103,201,0.2,-4,3.79999995,1.79999995,-8.30000019,6.5,-103,-106,-27,30,-100,-54,51,-4.0999999,1.60000002,2.5,-3.79999995,-1.10000002,4.9000001,49,-5,-124,178,-41,-5,95,-0.69999999,-7.5999999,8.30000019,-2.5,-1,3.5,121,-66,-126,313,-64,-162,347,-4.69999981,-9.89999962,14.60000038,-4.5,-10.39999962,14.89999962,{B9CD1872-E881-4738-AEED-57ED914DF86E},
30,13113140305,13113,"Census Tract 1403.05, Fayette County",5108,420,ARC 10,6317.52001953,149.32000732,6466.83007813,9.87112999,0.23331299,10.10439968,140305,Fayette,596,149,320,127,171,225,200,2.0999999,-5.9000001,3.79999995,2.9000001,4,-6.9000001,183,-86,191,78,-55,-47,285,-7.5999999,4.5999999,3,-6,-6.30000019,12.30000019,353,123,42,188,72,103,178,3.5999999,-9.60000038,6,0.40000001,0.69999999,-1,1132,186,553,393,188,281,663,-1.79999995,-10.89999962,12.80000019,-2.70000005,-1.60000002,4.30000019,{C5BA6A13-E47A-4F56-9067-8A84A2065B0F},
31,13113140403,13113,"Census Tract 1404.03, Fayette County",5245,426,ARC 10,3869.63989258,69.19960022,3938.84008789,6.04630995,0.108124,6.15443993,140403,Fayette,76,-20,-23,119,-1,102,-25,-1.60000002,-3,4.5,-0.80000001,3.4000001,-2.5999999,-53,-52,-47,46,-14,-106,67,-1.79999995,-0.80000001,2.5999999,-0.1,-3.9000001,4,132,31,29,72,-7,5,134,0.30000001,-1.89999998,1.60000002,-1.60000002,-1.5,3,155,-41,-41,237,-22,1,176,-3.0999999,-5.5999999,8.69999981,-2.5,-2,4.4000001,{85C1E209-8627-452B-8951-A8F34FE5B0B9},
32,13113140406,13113,"Census Tract 1404.06, Fayette County",3703,444,ARC 10,3291.55004883,58.01589966,3349.57006836,5.14305019,0.0906498,5.2336998,140406,Fayette,-15,-61,1,45,-10,-14,9,-3.4000001,0.60000002,2.79999995,-0.40000001,-0.5,0.89999998,-56,-49,2,-9,-57,-1,2,-2.20000005,2.0999999,0.1,-2.70000005,1.20000005,1.39999998,86,45,-41,82,18,32,36,1.60000002,-5.4000001,3.79999995,-0.1,0,0.1,15,-65,-38,118,-49,17,47,-4,-2.70000005,6.80000019,-3.0999999,0.69999999,2.4000001,{D7C5568B-EA47-433E-9223-F28DAFE26438},
33,13113140306,13113,"Census Tract 1403.06, Fayette County",7752,573,ARC 10,3277.19995117,17.38680077,3294.59008789,5.12062979,0.0271669,5.14779997,140306,Fayette,-21,30,-205,154,5,-50,24,1.10000002,-6,4.9000001,0.30000001,-1.39999998,1.10000002,-59,-188,53,76,-148,-88,177,-5.5999999,2.79999995,2.79999995,-4.30000019,-2.29999995,6.5999999,-78,-10,-218,150,-98,-113,133,0.1,-5.5999999,5.5,-2.70000005,-3,5.69999981,-158,-168,-370,380,-241,-251,334,-4.4000001,-8.80000019,13.19999981,-6.69999981,-6.69999981,13.39999962,{54B84416-D036-4FDE-B837-D8BA22291940},
34,13113140102,13113,"Census Tract 1401.02, Fayette County",5312,515,ARC 10,7621.85986328,108.15200043,7730.00976563,11.90919971,0.16898701,12.0781002,140102,Fayette,124,57,-69,136,-36,157,3,1.10000002,-5.4000001,4.30000019,-2.5999999,4.5,-1.89999998,-128,-121,-10,3,-50,-100,22,-3.70000005,2.29999995,1.39999998,-0.89999998,-2.0999999,3,-142,-4,-173,35,-14,-141,13,1,-4,3,0.69999999,-3.9000001,3.20000005,-146,-68,-252,174,-100,-84,38,-1.5,-7.0999999,8.69999981,-2.70000005,-1.60000002,4.30000019,{832CC3A6-B843-431F-8431-8E2BDC4FEAA9},
35,13113140101,13113,"Census Tract 1401.01, Fayette County",7472,637,ARC 10,10301.79980469,226.91600037,10528.70019531,16.09659958,0.35455599,16.4510994,140101,Fayette,337,49,94,194,9,104,224,-0.80000001,-3.5,4.19999981,-2.4000001,-0.40000001,2.79999995,-106,-96,-87,77,-57,-34,-15,-2.5,-0.89999998,3.4000001,-1.10000002,0.1,1,0,22,-73,51,-29,-17,46,0.69999999,-2.4000001,1.70000005,-1,-0.60000002,1.5,231,-25,-66,322,-77,53,255,-2.5,-6.80000019,9.30000019,-4.5,-0.89999998,5.4000001,{DC546CAB-A422-43E2-8105-F02D0668B3F6},
