OBJECTID,GEOID10,NAME10,PLNG_REGION,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,GlobalID
21,13113140304,1403.04,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2231,0,0,0,5757,U,4915.826453,0.853887,912.247186,0.158459,1248.358688,0.866916,641.973153,0.800465,10.760361,0.004823,3217.267229,0.558844,663.8668,0.115315,855.473254,0.594079,381.667853,0.475895,9.131079,0.004093,{8E4E4DC8-A090-4CC8-AA69-7FABA680F2E8}
22,13113140307,1403.07,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1457,0,0,0,4878,R,4878.000013,1,346.865617,0.071108,1681.999998,1,242,1,7.670412,0.005265,4878.000013,1,346.865617,0.071108,1681.999998,1,242,1,7.670412,0.005265,{754D7DD4-1039-4EFF-BC70-FE3B0A9D9A16}
23,13113140408,1404.08,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1095,3,0.000926,0,3239,U,3238.999945,1,411.910983,0.127172,824.999991,1,370.999996,1,10.49931,0.009588,3238.999945,1,411.910983,0.127172,824.999991,1,370.999996,1,10.49931,0.009588,{287CD0D4-C64D-4E2B-A8C5-B6B57A5DC954}
24,13113140407,1404.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2924,287,0.037239,0,7707,U,6968.408133,0.904166,1833.423443,0.237891,1668.728638,0.922969,972.985317,0.883729,198.340289,0.067832,4458.684751,0.578524,1255.167891,0.162861,1087.168998,0.60131,661.783024,0.601074,146.503935,0.050104,{DBBEE907-AB51-4A37-A759-F9B6543099D8}
25,13113140405,1404.05,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1196,0,0,0,3441,U,3185.554585,0.925764,256.814632,0.074634,764.960461,0.922751,477.926189,0.928012,15.558909,0.013009,2568.059684,0.746312,205.021818,0.059582,634.577143,0.765473,371.291475,0.720954,12.896842,0.010783,{A0499E30-E93F-41F4-A6D1-EC6F7CA97E89}
26,13113140404,1404.04,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2014,125,0.022592,0,5533,U,4648.987928,0.840229,857.179581,0.154921,1201.964578,0.832962,730.841764,0.886944,40.750861,0.020234,3308.566586,0.59797,688.26304,0.124392,813.538315,0.563783,612.155277,0.742907,30.372713,0.015081,{269FB77A-0B04-4862-AA4A-8B723182FFD2}
27,13113140206,1402.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1625,0,0,0,4465,U,3024.434147,0.677365,294.410728,0.065937,794.189362,0.647789,435.105504,0.698404,37.118374,0.022842,836.833256,0.187421,64.449938,0.014434,189.755562,0.154776,133.303202,0.21397,2.148755,0.001322,{5D6ADE06-6EDF-44A9-9E92-1B697B21D430}
28,13113140203,1402.03,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1992,0,0,0,5743,U,5291.931732,0.921458,1005.263672,0.175042,1416.229069,0.915468,570.036852,0.946905,7.711666,0.003871,3464.11258,0.603189,707.758321,0.123238,907.345251,0.586519,375.547728,0.623833,2.878917,0.001445,{93B7A410-91BF-4E56-A44E-D4F611BF71AB}
29,13113140204,1402.04,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1689,0,0,0,5190,R,5190.000006,1,1492.191097,0.287513,1469.000002,1,506.000004,1,59.214873,0.035059,4960.858525,0.955849,1483.485586,0.285835,1381.528995,0.940455,495.364852,0.978982,57.154068,0.033839,{BD84B5A1-C8FA-4AC4-B494-1C60C2CCDFFA}
30,13113140305,1403.05,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1506,5,0.001067,0,4685,R,4684.941874,0.999988,388.681784,0.082963,1535.992531,0.999995,468.986055,0.99997,21.69995,0.014409,4635.005701,0.989329,384.538876,0.082079,1529.223463,0.995588,457.218061,0.974879,21.411479,0.014217,{42F761FA-DFBB-4397-902A-590B05B33523}
31,13113140403,1404.03,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1938,0,0,0,5282,U,4338.304348,0.821337,732.860393,0.138747,955.486788,0.817354,726.115781,0.807693,20.093675,0.010368,2835.481028,0.53682,359.795919,0.068117,615.837386,0.526807,462.042784,0.513952,12.131501,0.00626,{23AFB2BA-A588-4BA9-BFC2-9A0880E1188C}
32,13113140406,1404.06,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1437,0,0,0,3566,R,2865.350057,0.803519,970.950866,0.27228,730.477443,0.842535,425.556678,0.701082,82.297452,0.05727,1425.376493,0.399713,553.797682,0.155299,372.282205,0.429391,168.156968,0.27703,45.606694,0.031737,{3CBFFD71-0A6B-4684-BBE8-7728B88C1341}
33,13113140306,1403.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2674,0,0,0,7234,U,6205.786448,0.857864,450.994441,0.062344,1718.756326,0.863263,707.011132,0.776935,15.620086,0.005841,3666.351842,0.506822,180.946801,0.025013,1035.060008,0.519869,392.871245,0.431727,5.592418,0.002091,{26401A5C-1AD0-4CFA-A94A-71A24F1DB1DA}
34,13113140102,1401.02,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2010,3,0.000552,0,5436,U,5207.382944,0.957944,791.529645,0.145609,1111.274349,0.967167,837.330271,0.942939,18.145502,0.009028,4096.033438,0.753501,623.538646,0.114705,873.827781,0.760512,654.724813,0.737303,18.145502,0.009028,{CDA0E39D-72E7-45A9-ACCA-F0099AABB2FA}
35,13113140101,1401.01,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2588,10,0.00135,0,7407,U,7406.999956,1,1552.696891,0.209626,1782.999991,1,996.999993,1,61.559473,0.023786,7406.999956,1,1552.696891,0.209626,1782.999991,1,996.999993,1,61.559473,0.023786,{0CE73015-9DF4-4EAA-AC73-0F3AC7596697}
36,13113140502,1405.02,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1134,6,0.001807,0,3321,R,3321.000032,1,646.480044,0.194664,887.000007,1,356.000003,1,33.705388,0.029723,3321.000032,1,646.480044,0.194664,887.000007,1,356.000003,1,33.705388,0.029723,{8FB59335-7025-4943-AAC5-CE8C09A6674E}
37,13113140501,1405.01,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1998,0,0,0,5890,R,5889.999961,1,861.551614,0.146274,1547.999995,1,771.999996,1,79.27386,0.039677,5889.999961,1,861.551614,0.146274,1547.999995,1,771.999996,1,79.27386,0.039677,{D72E72E5-9105-447A-B70F-7CAA6922556B}
38,13247060404,604.04,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1991,0,0,0,5643,U,5311.053768,0.941176,1379.426441,0.244449,1349.474303,0.952346,593.994963,0.902728,27.640974,0.013883,3855.298535,0.6832,1113.646437,0.19735,995.171617,0.702309,430.266661,0.653901,24.379847,0.012245,{88A37328-77CB-4C25-B816-0B0B44AFFAE6}
39,13247060304,603.04,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2259,3,0.000537,1,5591,U,4394.124867,0.785928,1270.377437,0.227218,1134.666653,0.78687,533.576543,0.758999,171.930083,0.076109,1553.688914,0.277891,383.171276,0.068534,379.771158,0.263364,220.432357,0.31356,27.023511,0.011963,{6C9073A8-818D-4F5D-8D2B-E603B9F554B4}
40,13247060101,601.01,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1237,4,0.001161,0,3446,U,3446.000032,1,959.450665,0.278424,740.000009,1,535.000003,1,40.41119,0.032669,3266.120292,0.9478,901.632176,0.261646,699.885406,0.945791,497.791071,0.930451,39.087645,0.031599,{648D3F98-FC96-4460-B059-81218CD60838}
41,13247060202,602.02,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,3449,5,0.000523,0,9561,U,9551.839009,0.999042,2493.246868,0.260773,2477.27206,0.999303,985.167036,0.998143,141.538366,0.041038,9475.612719,0.991069,2474.424684,0.258804,2460.504872,0.992539,973.256436,0.986075,140.105947,0.040622,{8ABD3CCF-54F9-450B-B692-5DA24952AA14}
42,13247060201,602.01,ARC 10,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1268,495,0.102676,1,4821,R,4821.000023,1,2524.561037,0.523659,1390.000003,1,377.000004,1,207.148812,0.163367,4821.000023,1,2524.561037,0.523659,1390.000003,1,377.000004,1,207.148812,0.163367,{2335C093-B958-4712-B44F-7285794B5BCE}
43,13247060306,603.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,942,5,0.001848,0,2705,U,2435.205704,0.900261,666.467765,0.246384,692.055334,0.919064,244.777876,0.868007,33.269769,0.035318,1295.643854,0.478981,354.592161,0.131088,384.647171,0.51082,121.727865,0.431659,17.436399,0.01851,{541D86E2-EE1B-4D87-B728-324815579F6D}
44,13247060407,604.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1189,0,0,0,3294,U,3203.148093,0.972419,581.400772,0.176503,806.130961,0.973588,334.193675,0.974326,0,0,2108.978725,0.640249,264.756702,0.080375,536.953501,0.648495,222.4844,0.648643,0,0,{0B0FF392-4A7C-47F7-BFC0-E66168934CB0}
45,13247060403,604.03,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1235,11,0.003087,0,3563,R,3499.996193,0.982317,493.037886,0.138377,859.836962,0.986052,476.324321,0.982112,8.093525,0.006553,3206.262826,0.899877,462.178095,0.129716,793.381086,0.909841,435.268648,0.897461,8.093525,0.006553,{CA7C8BFF-0EF1-4B6D-B575-B48C9022AE28}
46,13247060406,604.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1883,0,0,0,5323,U,4687.662993,0.880643,896.280964,0.168379,1213.209585,0.882976,511.676419,0.849961,28.931491,0.015365,3172.69181,0.596035,632.20298,0.118768,840.129882,0.611448,316.489905,0.525731,21.331864,0.011329,{6094AB4E-42D4-40E3-86F1-2D28BF7254AF}
47,13247060305,603.05,ARC 10,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1838,9,0.001764,1,5101,U,2068.908051,0.405589,870.68478,0.170689,625.353675,0.394545,173.89314,0.494015,29.084821,0.015824,1544.99998,0.302882,525.169245,0.102954,497.999991,0.314196,103.999999,0.295455,0,0,{08C575CF-D5EA-4952-B9AC-02D6E4E94C69}
48,13247060309,603.09,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1977,18,0.003015,1,5970,U,5252.122367,0.879752,2667.019293,0.446737,1599.303791,0.879705,446.217586,0.88888,192.121854,0.097178,2316.316311,0.387993,1174.314011,0.196703,798.367422,0.439146,143.860497,0.286575,103.693666,0.05245,{04634CC4-F7AF-4375-922E-9730EFE70DB1}
49,13247060308,603.08,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2676,273,0.038257,0,7136,U,6378.331639,0.893825,2185.470228,0.30626,1855.98884,0.916991,676.463093,0.744184,256.638049,0.095904,2845.392576,0.398738,893.656195,0.125232,904.701894,0.446987,151.02081,0.166139,85.140114,0.031816,{D261854B-1BB7-4020-8BF1-E39B2758BFDB}
50,13247060405,604.05,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2393,41,0.005903,0,6945,R,6943.268318,0.999751,1350.42798,0.194446,1760.618905,0.999784,838.791627,0.999752,41.856045,0.017491,6761.087102,0.973519,1330.953861,0.191642,1720.319174,0.976899,811.38289,0.967083,40.66863,0.016995,{E47A9DB2-D78E-4010-B88B-3CE859558064}
51,13247060307,603.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,3706,0,0,0,10647,U,9574.602648,0.899277,2563.60998,0.240782,2741.823855,0.898664,832.72183,0.8954,44.110967,0.011903,4923.83444,0.462462,957.929377,0.089972,1339.245266,0.438953,480.5112,0.516679,21.500732,0.005802,{7B855777-940A-45C1-BD19-81DF13161A1E}
52,13247060102,601.02,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1984,0,0,0,5469,R,5469.000011,1,1310.260778,0.23958,1380.000003,1,562.000006,1,63.301157,0.031906,5384.796164,0.984603,1286.844539,0.235298,1366.22536,0.990018,551.696355,0.981666,62.083374,0.031292,{00DA7C77-DCAE-4D7F-AC38-E2D6BF3E814A}
53,13067030330,303.30,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1945,9,0.001577,0,5706,U,4883.355524,0.855828,432.827391,0.075855,1355.524444,0.861745,526.010428,0.838932,21.962042,0.011292,3551.36671,0.622392,263.260307,0.046137,1000.038617,0.635752,350.953584,0.559735,21.898758,0.011259,{BBC06E00-BB74-4292-B0D2-EDAC23967449}
54,13067030328,303.28,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2279,5,0.000777,0,6431,U,5372.758301,0.835447,238.169898,0.037035,1377.744614,0.830968,589.572754,0.821132,33.356677,0.014637,2455.501257,0.381823,87.070658,0.013539,617.449534,0.372406,235.063214,0.327386,14.991639,0.006578,{72D3367F-ACC2-4B37-8BA8-8503E44097D5}
55,13067030700,307,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1629,26,0.006354,1,4092,U,3271.418956,0.799467,1215.6433,0.297078,841.603806,0.796973,347.003425,0.803249,138.250398,0.084868,1403.686042,0.343032,406.373096,0.099309,292.864275,0.277334,198.590593,0.4597,33.385902,0.020495,{D49ADCB5-38F2-45AC-B346-494F2F53918F}
56,13067030324,303.24,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1201,3,0.000872,0,3441,U,3432.813357,0.997621,276.6552,0.0804,861.446752,0.997045,264.448835,0.99792,15.934,0.013267,2392.327568,0.695242,189.97219,0.055208,613.130253,0.709642,180.352728,0.680576,10.144483,0.008447,{2527403B-52A4-42A3-8B15-E00E31B6314E}
57,13067030312,303.12,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2377,16,0.002537,0,6306,U,4898.829481,0.776852,953.340697,0.15118,1038.005776,0.755463,651.017204,0.817861,0,0,1877.392485,0.297715,413.183389,0.065522,372.440624,0.271063,278.345022,0.34968,0,0,{0EB2A9E6-8567-49E3-8F9B-34E5BC25AFCD}
58,13067030228,302.28,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2963,6,0.000938,0,6394,U,6028.798812,0.942884,2453.715904,0.383753,1110.543682,0.941139,326.888742,0.748029,30.068965,0.010148,4776.014332,0.746953,2061.259722,0.322374,862.452357,0.730892,213.558927,0.488693,27.135963,0.009158,{30210363-B5B1-4E54-AB73-5375E0F3C272}
59,13067030231,302.31,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2761,3,0.00039,0,7688,U,6585.117937,0.856545,754.288931,0.098113,1634.623533,0.873196,784.070376,0.815042,23.591773,0.008545,3536.556659,0.46001,384.117644,0.049963,902.790135,0.48226,417.819391,0.434324,17.137845,0.006207,{313B9EC7-440D-4535-B296-36B1612DD9BE}
60,13067030230,302.30,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,5115,234,0.018613,0,12572,U,8671.52621,0.689749,2326.246591,0.185034,2367.932392,0.714308,608.17046,0.591606,102.127236,0.019966,4741.977774,0.377186,1134.285705,0.090223,1272.352914,0.383817,440.744445,0.42874,52.904683,0.010343,{00BDA9DA-9CC3-4CEE-AFAE-272D157BD955}
61,13067030311,303.11,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2209,0,0,0,6010,U,6009.99998,1,711.949415,0.118461,1452.000005,1,639.999998,1,37.254942,0.016865,5516.699901,0.91792,661.316739,0.110036,1336.97486,0.920782,576.751202,0.901174,37.242347,0.016859,{6B6ECBC2-06B7-4264-9D00-08A4ACA38895}
62,13067031001,310.01,ARC 10,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1686,44,0.008437,1,5215,U,2339.966883,0.448699,1583.85922,0.303712,746.404391,0.450727,110.796677,0.41342,127.48783,0.075616,129.392427,0.024812,87.980934,0.016871,46.637489,0.028163,3.068962,0.011451,7.302979,0.004332,{43F26E6D-10DD-4923-A3D1-877D11CF11A1}
63,13067030310,303.10,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2752,3,0.000371,0,8087,U,7290.408954,0.901497,1506.617765,0.186301,1856.848057,0.897462,434.279811,0.846549,0,0,1700.4359,0.210268,316.556674,0.039144,422.958051,0.204426,108.008901,0.210544,0,0,{6003571D-96DF-4B01-9048-3CB1B9DFEF5E}
64,13067030215,302.15,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2898,10,0.001147,0,8716,U,7412.848344,0.850487,1353.746374,0.155317,2115.381454,0.849892,505.691757,0.811704,33.142162,0.011436,4117.260931,0.47238,759.084537,0.087091,1133.009903,0.455207,271.233043,0.435366,11.318954,0.003906,{3D8DEB41-4DBB-4A30-88F7-212867584669}
65,13067030601,306.01,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,4132,0,0,0,8706,U,7842.776833,0.900847,2681.025217,0.307951,1544.581596,0.897491,349.878666,0.89483,103.049742,0.024939,5739.261479,0.659231,1968.145791,0.226068,1127.227224,0.654984,254.06157,0.649774,84.507066,0.020452,{EB2B966D-99C2-4AAC-8599-8B203F331BBD}
66,13067030227,302.27,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2748,0,0,0,7281,U,5579.8093,0.766352,1588.194707,0.218129,1385.201814,0.7717,460.499518,0.810739,85.697653,0.031185,1759.393372,0.241642,621.511666,0.085361,426.735135,0.237735,132.962242,0.234088,64.407463,0.023438,{ECADD251-6D68-4BAB-B67E-D0DDB8A58FBB}
67,13067030602,306.02,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2949,610,0.089864,0,6788,U,5596.64873,0.824492,1173.550451,0.172886,953.195899,0.811231,1524.94435,0.875399,232.940255,0.07899,4131.902178,0.608707,921.488134,0.135753,627.403695,0.533961,1249.50979,0.717285,214.440453,0.072716,{BECD93D7-7312-4053-8FEB-D77D8EA1C2B6}
68,13067030506,305.06,ARC 10,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1791,11,0.00255,1,4313,U,4066.526417,0.942853,1236.874095,0.286778,832.874165,0.937921,524.879403,0.949149,73.087783,0.040808,3006.452326,0.697068,977.545603,0.226651,635.997069,0.716213,335.623538,0.606914,63.027801,0.035191,{DCEDF51E-E46B-4E7A-B106-6D85B9A9D947}
