OBJECTID,ID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,TYPEOFAGEN,INMATE_MEN,INMATE_WOM,INMATE_JUV,INMATE_COE,PS,GlobalID,last_edited_date
403,10230151, ,POINT,UNCLASSIFIED,HELMS TRANSITIONAL CENTER,404,624-2413,1275 CONSTITUTION ROAD, ,ATLANTA,GA,30316,4601,DEKALB,13089,"NORTH SIDE OF CONSTITUTION ROAD SOUTHEAST, .52 MILE EAST OF FAYETTEVILLE ROAD SOUTHEAST", , , ,,PHONE,,MANUAL,561210,CORRECTIONAL FACILITY OPERATION ON A CONTRACT OR FEE BASIS,22669770,-84.339573,33.689003,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , , , , ,N,{66EC744E-0271-4163-917A-211857FA3A97},2015-12-30T22:00:33.000Z
404,10230480, ,POINT,UNCLASSIFIED,GEORGIA CORRECTIONAL INDUSTRIES,404,244-5100,2984 CLIFTON SPRINGS RD, ,DECATUR,GA,30034,3820,DEKALB,13089, , , , ,, ,,PROVIDED,922140,CORRECTIONAL INSTITUTIONS,0,-84.274616,33.690907, , , , , ,STATE PRISON, , , , , ,{C03A451A-E819-4176-8C9C-AF41116AE4AF},2015-12-30T22:00:33.000Z
405,10230485, ,POINT,UNCLASSIFIED,MARIETTA REGIONAL YOUTH DETENTION CENTER,770,528-4247,1575 COUNTY SERVICES PARKWAY, ,MARIETTA,GA,30008,4007,COBB,13067,LOCATED ON THE EAST SIDE OF COUNTY SERVICES PARKWAY .17 MILES SOUTH OF POWDER SPRINGS RD SW THEN TURN EAST ONTO ACCESS RD .12 MILES AND FACILITY IS TO THE EAST., , , ,,PHONE,,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",22673490,-84.581986,33.914535,NAVTEQ,2006Q3,ONENTITY,YES,TGS,STATE PRISON, , ,YES, ,N,{8C25E54F-47DB-4E17-A9D7-267EB658E28E},2015-12-30T22:00:33.000Z
406,10230483, ,POINT,UNCLASSIFIED,METRO STATE PRISON,404,624-2380,"1301 CONSTITUTION RD, SE", ,ATLANTA,GA,30316,4603,DEKALB,13089, , , , ,, ,,PROVIDED,922140,PRISONS,0,-84.338501,33.688984, , , , , ,STATE PRISON, , , , , ,{EAC1CFDD-CA6E-4B96-BA80-BBF93C89B005},2015-12-30T22:00:33.000Z
407,10230495, ,POINT,UNCLASSIFIED,ATLANTA CITY DETENTION,404,865-8001,254 PEACHTREE ST SW, ,ATLANTA,GA,30303,3714,FULTON,13121, , , , ,, ,,PROVIDED,922140,CORRECTIONAL INSTITUTIONS,0,-84.395535,33.747562, , , , , ,CITY JAIL, , , , , ,{54BC4D22-D37C-44C3-9562-3882A6EEFF3C},2015-12-30T22:00:33.000Z
408,10230512, ,POINT,UNCLASSIFIED,CLAYTON COUNTY CORRECTIONAL INSTITUTION,770,473-5777,11420 SLR BOULEVARD, ,HAMPTON,GA,30228,0,CLAYTON,13063,LOCATED .66 MILES NORTH OF HASTINGS BRIDGE ROAD ON THE EAST SIDE OF SLR BLVD., , , ,,PHONE,,MANUAL,922140,CORRECTIONAL INSTITUTIONS,0,-84.304426,33.433954,TGS,2006Q4,ONENTITY,YES,TGS,COUNTY CORRECTIONAL INSTITUTION, , , , ,N,{0E4D7FDB-8FB5-4F9F-8EC2-F39F0C9ABA13},2015-12-30T22:00:33.000Z
409,10230473, ,POINT,UNCLASSIFIED,ATLANTA US PENITENTIARY,404,635-5100,601 MCDONOUGH BLVD SE, ,ATLANTA,GA,30315,4400,FULTON,13121, , , , ,, ,,PROVIDED,922140,PRISONS,0,-84.368286,33.713593, , , , , ,FEDERAL PENITENTIARY, , , , , ,{B4F970F6-D437-4F69-A23D-7F342CFB79F4},2015-12-30T22:00:33.000Z
410,10230475, ,POINT,UNCLASSIFIED,PHILLIPS STATE PRISON,770,932-4500,2989 WEST ROCK QUARRY ROAD, ,BUFORD,GA,30519,4118,GWINNETT,13135,"NORTHEAST SIDE OF WEST ROCK QUARRY ROAD, .66 OF A MILE SOUTH OF TUGGLE ROAD NORTHEAST", , , ,,PHONE,,MANUAL,922140,PRISONS,22800457,-83.913821,34.093791,NAVTEQ,2006Q3,ONENTITY,YES,TGS,STATE PRISON, , , , ,N,{A2CF2F11-635C-48EE-9653-83FD862191FC},2015-12-30T22:00:33.000Z
411,10230211, ,POINT,UNCLASSIFIED,DORAVILLE CITY POLICE DEPARTMENT / DORAVILLE CITY JAIL,770,458-8561,3760 PARK AVENUE, ,DORAVILLE,GA,30340,1112,DEKALB,13089,"LOCATED SW SIDE OF PARK AVE, BETWEEN NEW PEACHTREE RD AND GA-13.", , , ,,PHONE,,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),22727356,-84.279393,33.901036,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,CITY JAIL,YES,YES,NO,YES,Y,{46FDFAB3-F308-4EC3-8BD4-E82D633835F8},2015-12-30T22:00:33.000Z
412,10230503, ,POINT,UNCLASSIFIED,STONE MOUNTAIN POLICE DEPARTMENT,770,879-4980,922 MAIN STREET, ,STONE MOUNTAIN,GA,30083,3010,DEKALB,13089,"LOCATED ON W SIDE OF MAIN ST, BETWEEN MIMOSA DR AND MANOR DR.", , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),22660185,-84.170621,33.806881,NAVTEQ,2006Q4,ONENTITY,YES,TGS,CITY JAIL,YES,YES,NO,YES,Y,{BA5D3177-97CC-40A2-9E0C-BA2B63D87CB9},2015-12-30T22:00:33.000Z
413,10230149, ,POINT,UNCLASSIFIED,CLAYTON TRANSITIONAL CENTER UNIT ONE,404,675-1500,242 FALCON DRIVE, ,FOREST PARK,GA,30297,1602,CLAYTON,13063,LOCATED ON THE SOUTH SIDE OF FALCON DRIVE .12 MILES EAST OF FRONTAGE RD., , , ,,PHONE,,MANUAL,561210,CORRECTIONAL FACILITY OPERATION ON A CONTRACT OR FEE BASIS,22734363,-84.397921,33.624592,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , , , , ,N,{F316BC23-CC3A-49D7-8068-50234ED1C5B2},2015-12-30T22:00:33.000Z
414,10230185, ,POINT,UNCLASSIFIED,CHAMBLEE CITY POLICE DEPARTMENT / CHAMBLEE CITY JAIL,770,986-5005,3518 BROAD STREET, ,CHAMBLEE,GA,30341,2202,DEKALB,13089,"FROM INTERSECTION OF PLAZA WAY AND BROAD ST, TRAVEL W  ON PLAZA WAY .04 MILE. ENTITY SITS ON W SIDE.", , , ,,PHONE,,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),22727581,-84.298553,33.895142,NAVTEQ,2006Q4,ONENTITY,YES,TGS,CITY JAIL,YES,YES,NO,YES,Y,{0986F59A-88A3-4346-98FE-DEB3EA59E1E4},2015-12-30T22:00:33.000Z
415,10230476, ,POINT,UNCLASSIFIED,ATLANTA TRANSITIONAL CENTER,404,206-5075,332 PONCE DE LEON AVE NE, ,ATLANTA,GA,30308,2013,FULTON,13121, , , , ,, ,,PROVIDED,561210,CORRECTIONAL FACILITY OPERATION ON A CONTRACT OR FEE BASIS,0,-84.376406,33.772527, , , , , ,STATE PRISON, , , , , ,{506095F1-D274-403E-8605-C1063896EA09},2015-12-30T22:00:33.000Z
416,10230474, ,POINT,UNCLASSIFIED,ROCKDALE REGIONAL YOUTH DETENTION CENTER,478,785-2483,2165 CHAMBERS DRIVE, ,CONYERS,GA,30012,3401,ROCKDALE,13247,"LOCATED ON THE EASTERN END OF CHAMBERS DRIVE, APPROX 0.23 MI E OF SIGMAN INDUSTRIAL CT NW", , , ,,PHONE,,MANUAL,922140,CORRECTIONAL INSTITUTIONS,22732220,-84.058711,33.685195,NAVTEQ,2006Q3,ONENTITY,YES,TGS,STATE PRISON, , , , ,N,{960EAA47-6011-4EEA-BA87-4FBAD4868D51},2015-12-30T22:00:33.000Z
417,10309898, ,POINT,UNCLASSIFIED,KENNESAW POLICE DEPARTMENT / CITY OF KENNESAW DETENTION CENTER,770,422-2505,2539 J O STEPHENSON AVENUE, ,KENNESAW,GA,30144,2780,COBB,13067,LOC ON THE S SIDE OF J O STEPHENSON AVE BETWEEN DALLAS ST NW AND LIL GENERAL CLOGGERS LN NW, , , ,,PHONE,,MANUAL,922140,CORRECTIONAL INSTITUTIONS,22829991,-84.617087,34.023303,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{B063ED77-BE95-4F96-ACA2-544E8B393795},2015-12-30T22:00:33.000Z
418,10309848, ,POINT,UNCLASSIFIED,LAWRENCEVILLE POLICE DEPARTMENT,770,963-2443,300 JACKSON STREET, ,LAWRENCEVILLE,GA,30045,5745,GWINNETT,13135,LOCATED ON THE EAST SIDE OF SOUTH CLAYTON STREET..03 MILES SOUTH OF SEMINARY STREET., , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),17019855,-83.98281,33.952359,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{87B713A4-E954-422A-9906-AC4DCE817A62},2015-12-30T22:00:33.000Z
419,10309905, ,POINT,UNCLASSIFIED,CITY OF AUSTELL POLICE DEPARTMENT,770,944-4331,2721 JOE JERKINS BOULEVARD, ,AUSTELL,GA,30106,3259,COBB,13067,LOC ON THE SE CORNER OF JOE JERKINS BLVD AND MULBERRY ST SW, , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),127164918,-84.63313,33.814291,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{B19F0705-6F17-45EE-8E0E-6DFEC0A6605D},2015-12-30T22:00:33.000Z
420,10309861, ,POINT,UNCLASSIFIED,ATLANTA POLICE DEPARTMENT HARTSFIELD PRECINCT,404,530-6630,6000 NORTH TERMINAL PARKWAY,MAIN TERMINAL,ATLANTA,GA,30320,0,CLAYTON,13063,FROM THE NORTHERNMOST INTERSECTION OF SOUTH TERMINAL PARKWAY AND AIRPORT BOULEVARD CONTINUE EAST .25 MILES TO THE MAIN TERMINAL ON THE NORTH SIDE OF SOUTH TERMINAL PARKWAY, , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),127114246,-84.446721,33.641596,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{16FA41FD-E358-4F56-983E-6FA9C56D23C9},2015-12-30T22:00:33.000Z
421,10230494, ,POINT,UNCLASSIFIED,PRE TRIAL DETENTION CENTER,404,865-8010,254 PREACHTREE STREET SW, ,ATLANTA,GA,30303,3714,FULTON,13121, , , , ,, ,,PROVIDED,922140,CORRECTIONAL INSTITUTIONS,0,-84.395534,33.747562, , , , , ,CITY JAIL, , , , , ,{7F47588E-4C22-4313-9D8D-51B429926E28},2015-12-30T22:00:33.000Z
422,10230464, ,POINT,UNCLASSIFIED,CLAYTON COUNTY SHERIFFS DEPARTMENT / CLAYTON COUNTY JAIL,770,477-8660,9157 TARA BOULEVARD, ,JONESBORO,GA,30236,4912,CLAYTON,13063,"SOUTHWEST SIDE OF TARA BOULEVARD, .33 MILE NORTHWEST OF POSTON ROAD", , , ,,PHONE,,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),22721412,-84.355223,33.507348,NAVTEQ,2006Q4,ONENTITY,YES,TGS,COUNTY JAIL, , , , ,Y,{B7557044-AD83-47B6-803B-1A49D25490D1},2015-12-30T22:00:33.000Z
423,10309821, ,POINT,UNCLASSIFIED,ROCKDALE COUNTY SHERIFF'S OFFICE / ROCKDALE COUNTY JAIL,770,278-8000,911 CHAMBERS DRIVE NORTHWEST, ,CONYERS,GA,30012,3401,ROCKDALE,13247,LOCATED ON THE N SIDE OF CHAMBERS DR NW 0.08 MILES NE OF SIGMAN INDUSRIAL CT NW., , , ,,PHONE,,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),22732220,-84.058745,33.68622,NAVTEQ,2006Q4,ONENTITY, ,TGS,SHERIFFS OFFICE, , , , ,Y,{784EF16F-8D5B-4F85-BE39-8D5391907D43},2015-12-30T22:00:33.000Z
424,10309904, ,POINT,UNCLASSIFIED,POWDER SPRINGS POLICE DEPARTMENT,770,943-1616,1114 PINEVIEW DRIVE, ,POWDER SPRINGS,GA,30127,2218,COBB,13067,LOC ON THE NE CORNER OF JACKSON WAY SW AND PINEVIEW DR, , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),22741005,-84.684545,33.86029,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{A1CF5172-3F95-4341-A3CD-EE6306D7CEBC},2015-12-30T22:00:33.000Z
425,10309392, ,POINT,UNCLASSIFIED,COBB COUNTY POLICE DEPARTMENT - PRECINCT 2,770,499-4182,4700 AUSTELL ROAD, ,AUSTELL,GA,30106,2004,COBB,13067,LOC ON THE SW CORNER OF AUSTELL RD AND SEAYES RD SW, , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),127202757,-84.611084,33.840055,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{46C77250-EB26-4141-BACB-63C791346AA5},2015-12-30T22:00:33.000Z
426,10230501, ,POINT,UNCLASSIFIED,UNION CITY JAIL,404,613-6630,6500 WATSON STREET, ,UNION CITY,GA,30291,1455,FULTON,13121, , , , ,, ,,PROVIDED,922140,JAILS (EXCEPT PRIVATE OPERATION OF),0,-84.551235,33.578863, , , , , ,CITY JAIL,YES,YES,NO,YES,Y,{B1DAD794-0A81-42A0-AF14-5209C46D80B5},2015-12-30T22:00:33.000Z
427,10309856, ,POINT,UNCLASSIFIED,ROSWELL LAW ENFORCEMENT CENTER,770,640-4100,39 HILL STREET, ,ROSWELL,GA,30075,4536,FULTON,13121,"LOCATED S SIDE OF HILL ST, BETWEEN ELLIS ST AND ATLANTA ST.", , , ,,PHONE,,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),22683648,-84.360582,34.021521,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION, , , , ,Y,{9C9C5F64-1CD4-401A-8AD6-26CDBA1899F2},2015-12-30T22:00:33.000Z
428,10230470, ,POINT,UNCLASSIFIED,HENRY COUNTY SHERIFF'S DEPARTMENT / HENRY COUNTY JAIL,770,288-7070,120 HENRY PARKWAY, ,MCDONOUGH,GA,30253,6696,HENRY,13151,"LOCATED ON THE SE SIDE OF HENRY PKY, .19 MI NE OF INDUSTRIAL BLVD", , , ,,PHONE,,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),127171991,-84.169924,33.423178,NAVTEQ,2006Q4,ONENTITY,YES,TGS,COUNTY JAIL, , , , ,Y,{23EABA4B-D953-4216-AE24-290EA038A136},2015-12-30T22:00:33.000Z
429,10230463, ,POINT,UNCLASSIFIED,CHEROKEE COUNTY SHERIFF DEPARTMENT / CHEROKEE COUNTY JAIL,770,345-3300,498 CHATTIN DRIVE, ,CANTON,GA,30115,8240,CHEROKEE,13057,"LOCATED SE SIDE OF CHATTIN DR, .14 MILE NE OF UNIVETER RD.", , , ,,PHONE,,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),124523529,-84.491367,34.198193,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,COUNTY JAIL, , , , ,Y,{16306B4B-7BA5-4C05-B043-941ECB9C94F5},2015-12-30T22:00:33.000Z
430,10309855, ,POINT,UNCLASSIFIED,FULTON COUNTY ANNEX JAIL,404,612-3432,2565 OLD MILTON PARKWAY,ALPHARETTA PUBLIC SAFETY,ALPHARETTA,GA,30004,2100,FULTON,13121,"LOCATED S SIDE OF OLD MILTON PKY, BETWEEN GARDNER DR AND WESTSIDE PKWY.", , , ,,PHONE,,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),127203776,-84.284934,34.069451,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION, , , , ,Y,{3CC21B53-77BC-4D3A-9619-3D827E83FE36},2015-12-30T22:00:33.000Z
431,10309850, ,POINT,UNCLASSIFIED,DULUTH POLICE DEPARTMENT,770,476-4151,3276 BUFORD HIGHWAY NORTHWEST, ,DULUTH,GA,30096,3577,GWINNETT,13135,SOUTH CORNER OF BUFORD HIGHWAY NORTHWEST AND DAVENPORT RD NW., , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),22700166,-84.147587,33.997431,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{485F66EC-A4C6-4E27-8D74-26551AAEE134},2015-12-30T22:00:33.000Z
432,10309894, ,POINT,UNCLASSIFIED,DEKALB COUNTY POLICE DEPARTMENT - EAST PRECINCT,770,482-0300,2484 BRUCE STREET, ,LITHONIA,GA,30058,7380,DEKALB,13089,"LOCATED ON THE EAST SIDE OF BRUCE STREET, BETWEEN WALKER STREET AND PENDLEY STREET.", , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),22730627,-84.099265,33.714294,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{9A0F55B2-4E64-44B7-B822-85F7471BE045},2015-12-30T22:00:33.000Z
433,10309842, ,POINT,UNCLASSIFIED,LOCUST GROVE POLICE DEPARTMENT,770,957-7055,79 FRANCES WARD DRIVE, ,LOCUST GROVE,GA,30248,3606,HENRY,13151,"EAST SIDE OF FRANCES WARD DR, ACROSS FROM PATRIOTS POINT STREET", , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),114442325,-84.115422,33.351089,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{C6F7D5B2-0B10-41F1-8B98-B64B1DC3FBB5},2015-12-30T22:00:33.000Z
434,10309897, ,POINT,UNCLASSIFIED,COBB COUNTY POLICE DEPARTMENT - PRECINCT 4,770,499-4184,4400 LOWER ROSWELL ROAD, ,MARIETTA,GA,30068,4233,COBB,13067,LOC ON THE S SIDE OF LOWER ROSWELL RD APPROX 0.13 MI E OF FAIRFIELD DR SE, , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),22651090,-84.423127,33.963244,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{AD3541F5-2140-4529-AB0D-CC27A453868C},2015-12-30T22:00:33.000Z
435,10309884, ,POINT,UNCLASSIFIED,DOUGLASVILLE POLICE DEPARTMENT,770,920-3010,2083 FAIRBURN ROAD, ,DOUGLASVILLE,GA,30134,1718,DOUGLAS,13097,SOUTHEAST SIDE OF W CHURCH STREET BETWEEN BOWDEN STREET AND PRAY STREET, , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),22825507,-84.705064,33.748306,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{B57A5904-5CEF-4937-AC8D-02263EBD1127},2015-12-30T22:00:33.000Z
436,0, ,POINT, ,UNION CITY POLICE DEPARTMENT,770,,6500 WATSON STREET, ,UNION CITY,GA,30291,0,FULTON,13121, , , , ,, ,, ,0, ,0,-84.551235,33.578863, , , , , , , , , , , ,{ADF290E6-8BC3-48FB-8B7E-3FD9A60D82A5},2015-12-30T22:00:33.000Z
