OBJECTID,TIAID,PRJ_NAME,PURPOSE,PRJ_TYPE,SHORTSCOPE,PRJ_LENGTH,JURISDICTN,SUBREGION,ASSET_MNG,RDWY_CAP,FREIGHT,SAFETY_OP,AVIATION,BIKE_PED,TRANS_CAP,PLN_2040,TRANS_OP,RELATED_ID,FED_FUNDS,TIA_FUNDS,LOC_FUNDS,TOTALFUNDS,GlobalID,last_edited_date
11,TIA-GW-011,Five Forks Trickum Road from Killian Hill Road to Oak Road - Widening,"This project will widen Five Forks Trickum Road from two to four lanes between Killian Hill Road and Oak Road.  Originally intended as a rural facility, Five Forks Trickum Road in now identified as a facility on the Regional Strategic Transportation Syst",Roadway,"This project will widen Five Forks Trickum Road from two to four lanes between Killian Hill Road and Oak Road.  Originally intended as a rural facility, Five Forks Trickum Road has become a regionally significant corridor serving origins or destinations",2.5,Gwinnett,Northeast Subregion,No,No,No,Yes,No,Yes,No,"Project recognized by PLAN 2040 as advancing locally, but with no construction schedule defined",No,N/A,0,10400000,0,10400000,{BB669434-5957-481A-A02B-54F5C39AD4C8},
12,TIA-FS-004,SR 6 (Camp Creek Parkway) from I-85 South to Welcome All Road - Widening,This project will widen SR 6 (Camp Creek Parkway) from four to six lanes between I-85 and Welcome All Road.  It will also include installation of automated transportation management system fiber optics from Herschel Road west to I-285 and Camp Creek Mark,Roadway,This project will widen Camp Creek Parkway from four to six lanes between I-85 and Welcome All Road.  Camp Creek Parkway is a critical thoroughfare for moving people and goods to and from Hartsfield-Jackson Atlanta International Airport (HJAIA) and provi,4.4,Fulton,Southwest Subregion,No,Yes,Yes,Yes,Yes,Yes,No,Similar project identified as line item in PLAN 2040 with construction planned for beyond 2040 timeframe (different western terminus),No,ASP-FS-227,0,60250000,0,60250000,{A5BFF622-4664-4C87-A6D6-F379895805A5},
13,TIA-FN-002,SR 120 (Kimball Bridge Road) from State Bridge Road to Jones Bridge Road - Widening,This project will widen SR 120 (Kimball Bridge Road) from two to four lanes between State Bridge Road and Jones Bridge Road. Pedestrian and bike improvements will include a multi-use trail along the northern shoulder to align with the City of Johns Creek,Roadway,This project will widen Kimball Bridge Road from two to four lanes between State Bridge Road and Jones Bridge Road.  A multi-use trail along the northern shoulder will be included and will align with the City of Johns Creek’s Future Sidewalk and Trail Ne,1.3,Fulton,North Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as line item in PLAN 2040 with construction planned for 2018-2030 timeframe,No,FN-263,0,21000000,0,21000000,{AF16772F-39B4-43C7-AC0A-0AB37A18260E},
14,TIA-FN-003,SR 120 (Old Milton Parkway) from SR 400 to Kimball Bridge Road - Widening,"This project will widen Old Milton Parkway from two to four lanes between SR 400 and Kimball Bridge Road.  This will enhance safety, provide congestion relief, improve economic development opportunities and increase modal options along the roadway.  Old",Roadway,"This project will widen Old Milton Parkway from two to four lanes between SR 400 and Kimball Bridge Road.  This will enhance safety, provide congestion relief, improve economic development opportunities and increase modal options along the roadway.  The",2.3,Fulton,North Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as line item in PLAN 2040 with construction planned for beyond 2040.,No,ASP-FN-271,0,37000000,0,37000000,{5209EE01-C5FB-4C27-B516-C688991478FE},
15,TIA-FN-007,Rucker Road from Hardscrabble Road to Willis Road - Operational Improvements,This project will provide operational improvements along Rucker Road from Hardscrabble Road to Willis Road.  Specific improvements will be identified through a concept and scoping study to be conducted during early stages of project implementation.  Ruck,Roadway,This project will provide operational improvements along Rucker Road from Hardscrabble Road to Willis Road.  Specific improvements will be identified through a concept and scoping study to be conducted during early stages of project implementation.  The,2.9,Fulton,North Subregion,No,No,No,Yes,No,Yes,No,Project identified as line item in PLAN 2040 with construction planned for 2018-2030 timeframe.,No,FN-126C,0,19000000,0,19000000,{00E97752-A6B1-42EE-B602-173DB18024D3},
16,TIA-DO-002,I-20 West from I-285 West to SR 5 - ITS and Western Regional Traffic Control Center,"This project will extend the existing ITS Navigator System along I-20 for approximately 16 miles from I-285 to SR 5.  The project includes fiber optic communications infrastructure, surveillance cameras, video detection systems, changeable message signs,",Roadway,"This project will extend the existing ITS Navigator System along the western section of I-20 between I-285 and SR 5.  The system will connect existing regionally significant arterials such as SR 6, SR 92, and SR 5 to the Navigator system, which houses ad",16,Douglas,West Subregion,No,No,Yes,Yes,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,9500000,9500000,0,19000000,{09071F3D-C4D3-4A97-A76C-776E3A46D218},
17,TIA-DO-003,"SR 92 from Fairburn Road to Dallas Highway - Phases I, II and III Realignment",This project is multimodal and will widen and relocate portions of SR 92.  The project consists of approximately 3.5 miles of roadway construction on SR 92 from Pine Drive (just south of I-20) through the City of Douglasville to Malone Road in northern D,Roadway,"This project will widen to six lanes and relocate portions of SR 92 from Fairburn Road to Dallas Highway.  Signals will be upgraded, bicycle and pedestrian facilities will be accommodated and safety improvements will be necessary to improve the safety an",3.5,Douglas,West Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned for 2016,No,"DO-282A; DO-282B; DO-282C",24500000,24500000,0,49000000,{DC25FB65-FE02-4B3B-82C5-9078335D215B},
18,TIA-DO-006,Lee Road / South Sweetwater Road from I-20 West to US 78 (Bankhead Highway) - Widening,This multimodal project will add additional lanes to this major arterial corridor used to access I-20.  The project consists of 1.9 miles of widening and reconstruction of Lee Road and South Sweetwater Road from I-20 to US 78.   The project concept consi,Roadway,"This project will widen Lee Road / South Sweetwater Road from two to four lanes between I-20 West and US 78 (Bankhead Highway), thus expanding capacity and connectivity while improving safety for regional commuter and freight traffic.  The project consis",1.9,Douglas,West Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,DO-022,0,18900000,0,18900000,{66C4AED2-490F-4561-A950-3DB51884C8C8},
19,TIA-CL-002,"Atlanta to Griffin Commuter Rail - Region 3 (Fulton, Clayton and Henry Counties)","This project will provide $20,000,000 to continue development and engineering activities for the Atlanta to Griffin Commuter Rail Project, positioning it as a strong candidate for construction funding in the future.  Planning, preliminary engineering, an",Transit,"This project funds the critical preliminary activities which are a prerequisite to building and operating a commuter rail system that could link southside communities in Clayton, Henry and Spalding Counties to Downtown Atlanta. Funded activities include",39,Clayton,South Subregion,No,No,No,No,No,No,Yes,Project identified as a line item in PLAN 2040 with construction planned beyond 2040,No,"ASP-AR-435; ASP-AR-436",0,20000000,0,20000000,{3DE16B92-0603-4243-B192-F3249348B821},
20,TIA-CL-004,Conley Road from I-285 to SR 54 (Jonesboro Road) - Widening,"This project consists of the widening and reconstruction of Conley Road from I-285 to SR 54 (Jonesboro Road) to improve east-west connectivity, capacity, safety, freight movement, and system linkage needs.  The 1.1 mile project will provide an urban four",Roadway,"This project constructs a four-lane parkway on Conley Road from I-285 to Jonesboro Road, complete with a 20-foot median, twelve-foot wide lanes, improved drainage and five foot sidewalks on either side of the road. This project will improve safety and co",1.1,Clayton,South Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned beyond 2040,No,ASP-CL-074,0,28500000,0,28500000,{6E5647D0-0D22-41F1-AB87-47A9AAEDCBB2},
21,TIA-CL-005,Jonesboro Connector from US 19/41 (Tara Boulevard) to Lake Jodeco Road - New Alignment,This project will create a bypass at the southern edge of the City of Jonesboro extending from US 19/41 (Tara Boulevard) in the vicinity of that highway's intersections with Flint River Road and SR 54 area on the west end and connect to Lake Jodeco Road,Roadway,"This project will create a new east/west travel option on the southside of the City of Jonesboro.  The Jonesboro Connector will link Fayetteville Road and Flint River Road to Lake Jodeco Road, with a new bridge over the Norfolk Southern Railroad. By dive",1.0,Clayton,South Subregion,No,Yes,Yes,Yes,No,Yes,No,Not identified as a line item in PLAN 2040,No,N/A,0,15000000,0,15000000,{BBEFBD14-C53A-4C00-B896-13ED5F039885},
22,TIA-CL-012,SR 54 (Fayetteville Road) from McDonough Road in Fayette County to US 19/41 (Tara Boulevard) in Clayton County - Widening,"This project will widen SR 54 (Fayetteville Road) from McDonough Road to US 19/41 (Tara Boulevard).  The 5.5 mile long project will provide an urban four-lane roadway with 12' wide travel lanes, a 24' wide raised median, 4' wide bicycle lanes, and urban",Roadway,"This project widens Fayetteville Road from Tara Boulevard in Clayton County to McDonough Road in Fayette County, providing an uninterrupted four-lane roadway between the cities of Fayetteville and Jonesboro. In addition to the widening, the project adds",5.5,Clayton/Fayette,South Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,CL-041,32080000,8100000,0,40180000,{E3A26C9B-9907-4A6F-B2EC-C10BBFD32991},
23,TIA-CL-013,SR 85 from Adams Drive to I-75 South (includes interchange) - Widening,"This project will widen SR 85 from Adams Drive to I-75 and includes an interchange modification at Forest Parkway and I-75.  The 3.1 mile long project will provide an urban six-lane roadway with 12' wide travel lanes, a 20' wide raised median, and urban",Roadway,"This project addresses the most congested non-interstate roadway in Clayton County by widening SR 85 from four to six lanes from I-75 near the City of Forest Park to Adams Drive near the City of Riverdale. The project also includes sidewalks, a raised me",3.1,Clayton,South Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,CL-014,16950000,17200000,0,34150000,{811C08A9-61F2-42C1-9E96-3F6FD50B9B6C},
24,TIA-CO-001,Busbee Frey Connector from Busbeee Drive to Frey Road - New Alignment,"This project consists of adding a new bridge and connector roadway over I-75 from Frey Road to Busbee Drive, north of the existing Chastain Road/I-75 Interchange.  In addition, new on-ramps to I-75 North from Busbee Drive and from I-75 South to Frey Road",Roadway,"This project consists of adding a new bridge and connector roadway over I-75 from Frey Road to Busbee Drive, north of the existing Chastain Road / I-75 Interchange. It will include new on-ramps to I-75 northbound from Busbee Drive and to I-75 southbound",0.4,Cobb,Northwest Subregion,No,Yes,No,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with planned for construction in 2016,No,CO-400,0,19000000,2500000,21500000,{0941B6AC-0AF9-42FD-A8D5-9AFE8BEFB12A},
25,TIA-CL-014,SR 85 from Pointe South Parkway to Roberts Drive - Widening,"This project will widen SR 85 from Pointe South Parkway to Roberts Drive.  The 3.2 mile project will provide an urban six-lane roadway with 12' wide travel lanes, a 20' wide raised median, and urban shoulders consisting of curb and gutter, grassed strip,",Roadway,"This project addresses the most congested non-interstate roadway in Clayton County by widening SR 85 from four to six lanes from Roberts Drive in the City of Riverdale to Pointe South Parkway near the Fayette County line. The project, which compliments a",3.2,Clayton,South Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,CL-015,0,22200000,0,22200000,{65E4F44A-78C2-45D2-B702-3DFD720FE987},
26,TIA-M-028,Clifton Corridor Transit - Lindbergh Center to Emory University / Centers for Disease Control,"This project supports construction of the initial fixed-guideway phase in the Clifton Corridor.  The strategy includes funding for rail transit service from Lindbergh Center to the Emory activity center (Clairmont Campus); rail guideway elements, and 5 s",Transit,"This project supports construction of rail service in the Clifton Corridor, providing connectivity to the Emory / CDC complex from the existing MARTA rail system.  This area is a major educational and employment center with limited bus service and a cong",3.7,DeKalb/Atlanta,Central Subregion,No,No,No,No,No,No,Yes,"Elements of transit on this corridor in plan with construction in 2031-2040 timeframe; refer to transit comments for additional information on consistency with PLAN 2040",Yes,"AR-411; AR-412",0,700000000,0,700000000,{E145A741-B7A2-4C9C-AD49-CB7D3F676AAE},
27,TIA-CO-016,SR 360 (Macland Road) from Paulding County Line to New Macland Road / Lost Mountain Road - Widening,This project will reconstruct and widen SR 360 (Macland Road) from the Paulding County Line to New Macland Road / Lost Mountain Road in Cobb County. Paulding County is submitting the portion from SR 120 (Dallas Highway) to the Paulding County Line as par,Roadway,This project widens Macland Road from the Paulding County line to Lost Mountain Road from 2 to 4 lanes.  It also includes pedestrian facilities. Macland Road connects residents of Paulding and western Cobb counties to I-75 via the Windy Hill Connector.,3.0,Cobb,Northwest Subregion,No,Yes,Yes,Yes,No,Yes,No,"Project identified as line item in PLAN 2040 although limits of plan project extend beyond roundtable area; construction planned 2016;",No,CO-367,15500000,14500000,0,30000000,{7E6AB617-D775-4E65-816C-F694CC157D74},
28,TIA-CO-021,Moon Station Road at CSX Railroad - New Alignment and Overpass,"This project constructs a new overpass over the CSX Railroad within the downtown Kennesaw area.  Whitfield Place, from Main Street / Old Highway 41 to Moon Station Road, will be widened, a new bridge will be constructed over the CSX Railroad, and a new r",Roadway,"This project constructs a new overpass over CSX Railroad, realigns Whitfield Place, from Main Street / Old Hwy 41 to Moon Station Road, and adds a new connector road to Cherokee Street, all within the downtown Kennesaw area. Sidewalks, bike lanes and add",0.3,Cobb,Northwest Subregion,No,Yes,No,Yes,No,Yes,No,Not identified as a line item in PLAN 2040,No,N/A,0,4500000,0,4500000,{ABF58FA2-2DD6-4448-8124-4F6ADF28DA46},
29,TIA-CO-024,River View Road from Nichols Drive to SR 280 (South Cobb Drive) - Corridor Improvements,"This project consists of adding left turn lanes, and associated drainage and sidewalk improvements on River View Road between Nichols Drive and South Cobb Drive. River View Road is currently a two lane major collector connecting US 78/278 (Veterans Memor",Roadway,"This project consists of adding left turn lanes on River View Road between Nichols Drive and South Cobb Drive. It will also provide much needed drainage improvements, repair damaged shoulders and improve turning radii to accommodate large trucks. River V",1.9,Cobb,Northwest Subregion,No,No,Yes,Yes,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation",No,N/A,0,12500000,4000000,16500000,{0158DB5B-4086-4396-97E1-0DD6EEB63469},
30,TIA-CO-026,SR 120 (Roswell Road) from Bridgegate Drive to Timber Ridge Road - Safety and Operational Improvements,"This project will provide safety and operational improvements on SR 120 (Roswell Road) from Bridgegate Drive to Timber Ridge Road. The proposed improvements includes intersection improvements, interparcel access management, and a possible quadrant roadwa",Roadway,"This project will provide safety and operational improvements on Roswell Road between Bridgegate Drive and Timber Ridge Road. It will include intersection improvements, interparcel access management and a possible quadrant roadway intersection improvemen",4.2,Cobb,Northwest Subregion,No,Yes,Yes,Yes,No,Yes,No,"Western section in PLAN 2040 as CO-426 with construction planned in 2031-2040 timeframe; eastern portion is within limits of ASP-CO-413 with construction beyond 2040",No,"CO-426; ASP-CO-413",0,20000000,0,20000000,{121933E7-6A61-4F27-85F3-032F2EE61DD3},
31,TIA-CO-037,Windy Hill Road / Terrell Mill Connector - New Alignment,"This project will construct a new 4-lane median divided roadway, parallel to I-75, between Windy Hill Road and Terrell Mill Road. Leland Drive, an existing dead end street intersecting Windy Hill Road at Interstate North Parkway West, will likely be impr",Roadway,"This project will construct a new four-lane, median-divided roadway, parallel to I-75, between Windy Hill Road and Terrell Mill Road. This improvement would create an alternate north-south route for area motorists and alleviate the need for many motorist",0.8,Cobb,Northwest Subregion,No,Yes,No,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2012,No,CO-380,0,14000000,0,14000000,{AFE6E8C0-0E19-42E0-96E0-C9FEF42A98D9},
32,TIA-CH-005,SR 140 (Hickory Flat Highway) from East Cherokee Drive to Mountain Road - Widening,"This project widens and realigns 3.3 miles of SR 140, from East Cherokee Drive to Mountain Road, from two to four lanes.  SR 140 is designated as a Regional Thoroughfare.  This section of SR 140 is one of the top 10% most congested arterials/major roads",Roadway,"This project widens and realigns SR 140, between East Cherokee Drive and Mountain Road, from two to four lanes. It will include sidewalks and bicycle lanes. SR 140 connects the City of Canton at I-575 in Cherokee County, and central and eastern Cherokee",3.3,Cherokee,North Subregion,No,Yes,No,No,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,CH-140E3,0,70000000,0,70000000,{020A6ACE-EFC7-4AF7-91F9-8E89D17759A1},
33,TIA-CH-006,SR 140 (Hickory Flat Highway) from I-575 to East Cherokee Drive - Widening,"This project widens and realigns 5.6 miles of SR 140, from I-575 to East Cherokee Drive, from two to four lanes.  SR 140 is designated as a Regional Thoroughfare.  This section of SR 140 is one of the top 10% most congested arterials/major roads in the A",Roadway,"This project widens and realigns SR 140, between I-575 and East Cherokee Drive, from two to four lanes.  It will include sidewalks and bicycle lanes. SR 140 connects the City of Canton at I-575 in Cherokee County, and central and eastern Cherokee County,",5.6,Cherokee,North Subregion,No,Yes,No,No,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,CH-140D2,0,70000000,0,70000000,{B8AFA22E-1A11-4BA3-BC05-368EA27420E0},
34,TIA-DK-057,US 23 (Buford Hwy) / SR 141 (Peachtree Industrial Boulevard) Connector - New Alignment,"This project completes a regional link from SR 13 (Buford Highway) and SR 141 (Peachtree Industrial Boulevard). It begins at the Shallowford Road / Buford Highway intersection, then follows Shallowford Road and a new roadway to Peachtree Road. From here,",Roadway,"This project creates a new roadway that will connect Peachtree Industrial Boulevard to Buford Highway in Doraville, alleviating congestion on I-285 and supporting the redevelopment of the former General Motors Doraville Assembly plant. The four lane faci",1.4,DeKalb,Central Subregion,Yes,Yes,No,No,No,Yes,No,Not identified as a line item in PLAN 2040,No,N/A,0,25000000,0,25000000,{C0B3E03D-668B-44E7-8BA6-88AFBBE111D9},
35,TIA-FN-030,SR 140 (Arnold Mill Road) from Cherokee County Line to Rucker Road - Widening,This project will widen SR 140 (Arnold Mill Road) from the Cherokee / Fulton County line to Rucker Road from two to four lanes.  Improvements to Arnold Mill Road require working with regional partners to create a facility that services Fulton County and,Roadway,"This project will widen Arnold Mill Road from the Cherokee / Fulton County line to Rucker Road from two to four lanes.  Also included will be the planned improvements to the bridge over Little River, addition of a median, various operational improvements",3.5,Fulton,North Subregion,No,Yes,No,No,No,Yes,No,"Project identified as line item in PLAN 2040 with construction planned for FY 2017 for FN-232B, 2018-2030 timeframe for FN-126 & FN-232A",No,"FN-126, FN-232A, FN-232B",0,46000000,0,46000000,{BA91172C-0A2B-4737-B39D-6A4B05CF1246},
36,TIA-FA-003,East Fayetteville Bypass Segment 1 (South) from South Jeff Davis Road to SR 54 (East Lanier Avenue) - New Alignment and Widening,"This project is one of two segments, totaling 6.2 miles, which comprise the East Fayetteville Bypass.  Segment 1, the southern section, is 4.2 miles long and a combination of new road construction and improvements to existing roads.  The project extends",Roadway,This project will implement the southern segment of the East Fayetteville Bypass between South Jeff Davis Road and SR 54 through a combination of new road construction and improvements to existing roads.  The project consists of a two-lane road but with,4.2,Fayette,South Subregion,No,Yes,No,Yes,No,No,No,Project identified as a line item in PLAN 2040 with construction planned in 2015,No,FA-236A,0,35000000,0,35000000,{328F5EAE-D56C-423C-A948-22089ED179A9},
37,TIA-FA-004,East Fayetteville Bypass Segment 2 (North) from SR 54 (East Lanier Avenue) to SR 85 - New Alignment and Widening,"This project is one of two segments, totaling 6.2 miles, which comprise the East Fayetteville Bypass.  Segment 2, the northern section, is 2.0 miles long and is predominantly a corridor improvement project along existing Corinth Road.  The project extend",Roadway,"This project will implement the northern segment of the East Fayetteville Bypass between SR 54 and SR 85, primarily by upgrades to the existing two-lane Corinth Road.  Planned improvements include minor realignments, horizontal and vertical curve improve",2.0,Fayette,South Subregion,No,Yes,No,Yes,No,No,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,FA-236B,0,14000000,0,14000000,{DE5D24F5-2F55-4674-863A-92F0C123F950},
38,TIA-FA-005,MacDuff Parkway Extension Phase 2 - New Alignment to Connect SR 54 to SR 74 - New Alignment,"This project is the construction of a collector road from the end of MacDuff Parkway (off of SR 54), through undeveloped land (in Peachtree City and Unincorporated Fayette County), over an existing railroad (grade separated crossing with bridge) and term",Roadway,"This project will construct a collector road from the northern end of MacDuff Parkway, over an existing railroad with a bridge crossing, to the western end of Kedron Drive, resulting in a continuous two-lane corridor linking SR 54 on the west side of Pea",1.9,Fayette,Southwest Subregion,No,Yes,Yes,Yes,No,No,No,Not identified as a line item in PLAN 2040,No,N/A,0,6400000,0,6400000,{424635FE-E868-44CD-AA4B-8010D71CED2A},
