OBJECTID,ID,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,NBR_STA,TYPE,EMS,GlobalID,last_edited_date
1729,10288369,ATLANTA BUREAU OF FIRE STATION 30,404,766-2819,10 CLEVELAND AVE SW, ,ATLANTA,GA,30315,8304,FULTON,13121, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.388927,33.680943, , , , , ,6749,0, , ,{AFD25E67-8CD8-45BA-8758-DD82E19B6A9A},2015-12-30T22:12:40.000Z
1730,10288397,CITY OF FAYETTEVILLE FIRE DEPARTMENT STATION 91 - HEADQUARTERS,770,461-4548,95 JOHNSON AVENUE, ,FAYETTEVILLE,GA,30214,2068,FAYETTE,13113,SOUTH SIDE OF JOHNSON AVE BETWEEN GLYNN ST S AND LEE ST, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,104665986,-84.454436,33.446383,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6778,0, ,Y,{27D52786-AD26-4472-A8B4-01CECF69996A},2015-12-30T22:12:40.000Z
1731,10288453,COBB COUNTY FIRE DEPARTMENT STATION 25,770,528-8000,4431 TRICKUM ROAD NORTHEAST, ,MARIETTA,GA,30066,2045,COBB,13067,SW SIDE OF TRICKUM RD BETWEEN YARMOUTH PL NE AND REMINGTON CT NE, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22680436,-84.486214,34.059348,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6851,0, ,Y,{2B7A200B-10E0-4965-B356-7DE3C17DAD9F},2015-12-30T22:12:40.000Z
1732,10288379,ATLANTA FIRE RESCUE STATION 16,404,853-7000,1048 SIMPSON ROAD NORTHWEST, ,ATLANTA,GA,30314,2744,FULTON,13121,S SIDE OF SIMPSON RD NW BETWEEN TEMPLE ST NW AND FLOWERS PL NW, , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22697112,-84.422045,33.763373,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6759,0, ,Y,{B783DC4E-FB90-4E41-931F-398A720BF90A},2015-12-30T22:12:40.000Z
1733,10288345,FAIRBURN FIRE DEPARTMENT,770,969-3483,19 EAST BROAD STREET, ,FAIRBURN,GA,30213,0,FULTON,13121,SE SIDE OF E BROAD ST BETWEEN E CAMPBELLTON ST AND COLE ST, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22808058,-84.581439,33.566115,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6722,0, ,Y,{E89147F4-55A4-473B-9063-AD2F7C70FF41},2015-12-30T22:12:40.000Z
1734,10288293,HENRY COUNTY FIRE AND RESCUE STATION 1 - HEADQUARTERS,770,954-2276,664 INDUSTRIAL BOULEVARD, ,MCDONOUGH,GA,30253,6611,HENRY,13151,"LOCATED ON THE NORTHEAST SIDE OF INDUSTRIAL BOULEVARD, APPROX. 0.09 MI NORTHWEST OF HENRY PARKWAY.", , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,127167984,-84.173591,33.423502,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6667,0, ,Y,{245D1B87-CD0C-4D53-A143-283A20569881},2015-12-30T22:12:40.000Z
1735,10288327,ROSWELL FIRE AND RESCUE STATION 04,770,641-3730,1601 HOLCOMB BRIDGE RD, ,ROSWELL,GA,30076,2517,FULTON,13121, , , , ,, ,,PROVIDED,922160,FIRE AND RESCUE SERVICE, ,-84.313847,34.018512, , , , , ,6704,0, ,Y,{8C1E5262-E9D1-4C30-BF34-6810ADCDD4BC},2015-12-30T22:12:40.000Z
1736,10288284,HENRY COUNTY FIRE AND RESCUE STATION 2,770,288-6702,35 FRANCES WARD DRIVE, ,LOCUST GROVE,GA,30248,0,HENRY,13151,"LOCATED ON THE EAST SIDE OF FRANCES WARD DRIVE, APPROX. 0.09MI SOUTH OF BILL GARDNER PARKWAY.", , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,114442325,-84.11515,33.352387,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,6657,0, ,Y,{14724E3A-1547-4E21-B9D0-5D70D209F503},2015-12-30T22:12:40.000Z
1737,10288278,ROCKDALE COUNTY FIRE DEPARTMENT STATION 7,770,929-1150,1496 ROCKBRIDGE ROAD NORTHWEST, ,CONYERS,GA,30012,3550,ROCKDALE,13247,"LOC ON THE SOUTHWEST SIDE OF ROCKBRIDGE ROAD NORTHWEST, .32 MI SOUTH OF THE INTERSECTION OF SIGMAN ROAD NORTHWEST.", , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22732713,-84.0307,33.683434,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6650,0, ,Y,{3F6DCB9C-FB6A-4E52-8F26-5BB50FF9FBEF},2015-12-30T22:12:40.000Z
1738,0,GWINNETT COUNTY FIRE DEPARTMENT STATION 28,0, ,3725 ROSEBUD ROAD, ,LOGANVILLE,GA,30052,0,GWINNETT,13135, , , , ,, ,, ,0, , ,-83.96519,33.79506, , , , , , ,0, , ,{4286DAEC-BC3C-4D0A-B596-B4A6A03F4C16},2015-12-30T22:12:40.000Z
1739,0,FIRE STATION #1,0, ,8595 HIGH POINT ROAD, ,UNION CITY,GA,30291,0,FULTON,13121, , , , ,, ,, ,0, , ,-84.566682,33.599373, , , , , , ,0, , ,{762F22F2-BAA3-4DF6-BCED-927C0E9011E4},2015-12-30T22:12:40.000Z
1740,10287076,ATLANTA FIRE RESCUE TRAINING ACADEMY,404,624-0654,407 ASHWOOD AVENUE, ,ATLANTA,GA,30315,6003,FULTON,13121,N SIDE OF ASHWOOD AVE APPROX 0.09 MILES W OF BOND DR SW, , , ,,PHONE,,MANUAL,611519,FIRE FIGHTER TRAINING SCHOOLS,22712147,-84.401674,33.705365,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6766,0, ,Y,{B4E9EE76-1E9F-4186-BF60-E4BE2671A0E9},2015-12-30T22:12:40.000Z
1741,10288328,ROSWELL FIRE DEPARTMENT STATION 08,770,475-3982,3165 OLD ALABAMA RD, ,ALPHARETTA,GA,30022,5054,FULTON,13121, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.266373,34.02117, , , , , ,6705,0, , ,{667753CE-CAFE-45F3-AA5C-C8D31EA0C2D5},2015-12-30T22:12:40.000Z
1742,10288321,ROSWELL FIRE DEPARTMENT STATION 10,770,475-3089,15260 THOMPSON RD, ,ALPHARETTA,GA,30004,3109,FULTON,13121, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.287922,34.152867, , , , , ,6698,0, , ,{6CA1D1EF-4C4E-4E0E-813C-7A6E037418EB},2015-12-30T22:12:40.000Z
1743,10288310,GWINNETT COUNTY FIRE AND EMERGENCY SERVICES STATION 19,678,518-4800,3275 NORTH BERKELEY LAKE ROAD, ,DULUTH,GA,30096,3054,GWINNETT,13135,"LOCATED SW SIDE OF N BERKELEY LAKE RD, .20 MILE SE OF PEACHTREE INDUSTRIAL BLVD NW.", , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22701178,-84.169568,33.983079,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6685,0, ,Y,{A95000D4-7CC1-4A3C-A6A6-B68FB236E3B4},2015-12-30T22:12:40.000Z
1744,10288283,ROCKDALE COUNTY FIRE DEPARTMENT STATION 4,770,929-1150,"3601 UNION CHURCH ROAD, SOUTHWEST", ,STOCKBRIDGE,GA,30281,5508,ROCKDALE,13247,"LOC ON THE WEST SIDE OF UNION CHURCH ROAD SOUTHWEST, .04 MI SOUTH OF COOK ROAD SOUTHWEST.", , , ,,FAX,,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",22806603,-84.137994,33.594159,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6655,0, ,N,{02CDB497-4018-4084-AE5F-76F82010AC98},2015-12-30T22:12:40.000Z
1745,10288286,HENRY COUNTY FIRE DEPARTMENT STATION 10,770,288-6600,1059 UPCHURCH ROAD, ,MCDONOUGH,GA,30252,8566,HENRY,13151,.03 MILES SOUTH OF WILSON DRIVE ON THE WEST SIDE OF UPCHURCH ROAD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,104667430,-84.064622,33.451071,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6659,0, ,Y,{B583AE0A-DAD1-4160-B9F6-97FE6390CB8E},2015-12-30T22:12:40.000Z
1746,10290443,SANDY SPRINGS FIRE RESCUE DEPARTMENT STATION 2,770,730-5600,135 JOHNSON FERRY ROAD, ,SANDY SPRINGS,GA,30328,0,FULTON,13121,SW CORNER OF JOHNSON FERRY RD AND SANDY SPRINGS CIR NE, , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22652543,-84.388624,33.933045,NAVTEQ,2006Q4,ONENTITY,NO,TGS, ,0, ,Y,{B97E353F-82A5-4B6F-9D42-DD656D0C2B4B},2015-12-30T22:12:40.000Z
1747,10288304,GWINNETT COUNTY FIRE AND EMERGENCY SERVICES STATION 3,678,518-4800,4394 FIVE FORKS TRICKUM ROAD, ,LILBURN,GA,30047,3218,GWINNETT,13135,"LOCATED SE SIDE OF FIVE FORKS TRICKUM RD SW, .10 MILE NE OF CHESAPEAKE DR SW.", , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22822122,-84.098706,33.857687,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6679,0, ,Y,{2E321518-AEFD-43EF-80A5-5BEBD1792CCA},2015-12-30T22:12:40.000Z
1748,10288466,MARIETTA FIRE DEPARTMENT STATION 51 - HEADQUARTERS,770,794-5450,112 HAYNES STREET, ,MARIETTA,GA,30060,1973,COBB,13067,E SIDE OF HAYNES ST BETWEEN HANSELL ST NE AND DOBBS ST NE, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22675694,-84.546895,33.953946,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6864,0, ,Y,{1B2F4A78-F48A-4729-A116-7723E4CA4474},2015-12-30T22:12:40.000Z
1749,10288425,DEKALB COUNTY FIRE DEPARTMENT STATION 17,404,244-4910,3900 EVANS MILL RD, ,LITHONIA,GA,30038,4101,DEKALB,13089, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.148669,33.673373, , , , , ,6817,0, , ,{20A3D788-AC9A-46CD-8E79-4D838BA178FD},2015-12-30T22:12:40.000Z
1750,10288351,FULTON COUNTY FIRE DEPARTMENT STATION 07,404,766-1122,5965 BUFFINGTON RD, ,COLLEGE PARK,GA,30349,3663,FULTON,13121, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.497363,33.594628, , , , , ,6728,0, , ,{D8E9F7E9-6150-42E4-83AA-776991C04DA5},2015-12-30T22:12:40.000Z
1751,10288433,DEKALB COUNTY FIRE RESCUE STATION 03,678,406-7731,24 NORTH CLARENDON AVENUE, ,AVONDALE ESTATES,GA,30002,1150,DEKALB,13089,LOCATED ON THE WEST SIDE OF N CLARENDON AVE BETWEEN POTTER AVE AND LAREDO DR, , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22740231,-84.267282,33.777154,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6826,0, ,Y,{F826A4DA-C18F-4EC8-95F7-E4713C19D556},2015-12-30T22:12:40.000Z
1752,10288376,ATLANTA FIRE RESCUE STATION 25,404,756-1906,2349 BENJAMIN E MAYS DRIVE SOUTHWEST, ,ATLANTA,GA,30311,3233,FULTON,13121,NW CORNER OF BENJAMIN E MAYS DR SW AND BEECHER RD SW, , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22710841,-84.465367,33.722978,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6756,0, ,Y,{4F92AD95-900E-4B48-B361-7F30E5E0E5AA},2015-12-30T22:12:40.000Z
1753,10288288,HENRY COUNTY FIRE DEPARTMENT STATION 3,770,288-6600,3030 STATE HIGHWAY 42, ,STOCKBRIDGE,GA,30281,0,HENRY,13151,.21 MILES NORTH OF EAST LAKE PARKWAY ON THE EAST SIDE OF STATE HIGHWAY 42, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22809999,-84.194924,33.524373,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6661,0, ,Y,{211F3DCF-3A5A-48F4-AEE6-36E22F9B1F36},2015-12-30T22:12:40.000Z
1754,10288449,FOREST PARK DEPARTMENT OF FIRE SERV STATION 01,404,366-7280,4539 JONESBORO ROAD, ,FOREST PARK,GA,30297,2204,CLAYTON,13063, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.35687,33.630896, , , , , ,6847,0, , ,{4922838F-1A45-4EA0-9A09-422943C32745},2015-12-30T22:12:40.000Z
1755,10288497,NORTH CANTON VOLUNTEER FIRE DEPARTMENT,770,479-6714,1398 REINHARDT COLLEGE PKWY, ,CANTON,GA,30114,2000,CHEROKEE,13057, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.493245,34.261679, , , , , ,6899,0, , ,{8CD8281A-D736-4740-9E3E-86F25BD64B4A},2015-12-30T22:12:40.000Z
1756,10288354,ATLANTA BUREAU OF FIRE STATION 38,404,794-0376,2911 BANKHEAD HWY NW, ,ATLANTA,GA,30318,4450,FULTON,13121, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.482731,33.781482, , , , , ,6734,0, , ,{6E123E33-1254-457A-973B-6F1229521BAA},2015-12-30T22:12:40.000Z
1757,10288395,ATLANTA BUREAU OF FIRE STATION 27,404,237-4794,4260 NORTHSIDE DR NW, ,ATLANTA,GA,30327,3648,FULTON,13121, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.40854,33.871163, , , , , ,6776,0, , ,{1A658A63-5E03-4D65-96D5-F6892D2D20FC},2015-12-30T22:12:40.000Z
1758,10287173,MORROW FIRE DEPARTMENT,404,961-4008,1500 MORROW RD, ,MORROW,GA,30260,1654,CLAYTON,13063, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.341396,33.583457, , , , , ,6843,0, , ,{746E740F-3A5D-49CB-8AB6-572D7032380F},2015-12-30T22:12:40.000Z
1759,10288405,PEACHTREE CITY FIRE DEPARTMENT LEACH STATION 81,770,631-2526,100 PASCHALL ROAD, ,PEACHTREE CITY,GA,30269,1667,FAYETTE,13113,LOCATED ON THE NORTHWEST CORNER OF PASCHALL RD AND CLOVER GRN, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,105302228,-84.587382,33.388821,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6786,0, ,Y,{F8794023-D0DB-4CE0-9916-ED9FA79137AB},2015-12-30T22:12:40.000Z
1760,10288348,UNION CITY FIRE DEPARTMENT STATION,770,306-6858,5056 HARRIS ST, ,UNION CITY,GA,30291,1436,FULTON,13121, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.552179,33.579726, , , , , ,6725,0, , ,{407F5B31-ECEB-4B9C-B6A1-B817FC097876},2015-12-30T22:12:40.000Z
1761,10287772,DOUGLAS COUNTY FIRE DEPARTMENT STATION 10,770,942-8626,6774 CHURCH STREET, ,DOUGLASVILLE,GA,30134,1718,DOUGLAS,13097,LOCATED ON THE SOUTH CORNER OF WEST CHURCH STREET AND PRAY STREET., , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22818981,-84.749396,33.749922,NAVTEQ,2006Q4,BLOCKFACE,NO,TGS,6798,0, ,Y,{CDD916FA-91BB-498D-9BFE-1FF06AC32416},2015-12-30T22:12:40.000Z
1762,10288364,ATLANTA FIRE RESCUE STATION 24,404,761-1427,3300 NORTH INNER LOOP ROAD,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,GA,30354,0,FULTON,13121,SW SIDE OF N INNER LOOP RD APPROX 0.57 MILES SE OF TRUCK RD, , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22716061,-84.408743,33.65236,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6744,0, ,Y,{458C1C11-AF07-4342-9919-828561E5E27C},2015-12-30T22:12:40.000Z
1763,10287025,HENRY COUNTY FIRE DEPARTMENT STATION 5,770,288-6600,10 ELM STREET, ,HAMPTON,GA,30228,2940,HENRY,13151,.06 MILES EAST OF WOLF STREET ON THE SOUTH SIDE OF ELM STREET, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,114443926,-84.280852,33.387994,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6656,0, ,Y,{15883C64-0F06-4941-B5E2-193F6319F172},2015-12-30T22:12:40.000Z
1764,10288434,DEKALB COUNTY FIRE DEPARTMENT STATION 09,404,244-4910,3858 N DRUID HILLS RD, ,DECATUR,GA,30033,3015,DEKALB,13089, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.275939,33.811183, , , , , ,6828,0, , ,{19A29423-0197-473F-A9B6-7D2CA966EAC3},2015-12-30T22:12:40.000Z
1765,10287027,DEKALB COUNTY FIRE DEPARTMENT STATION 07,404,244-4910,1776 DERRILL DR, ,DECATUR,GA,30032,4653,DEKALB,13089, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.258905,33.739512, , , , , ,6829,0, , ,{70379E7A-1BF0-4694-86FE-DB4B71AC53ED},2015-12-30T22:12:40.000Z
1766,10288341,ATLANTA BUREAU OF FIRE STATION 08,404,351-3276,1711 MARIETTA BLVD NW, ,ATLANTA,GA,30318,3646,FULTON,13121, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.435665,33.801274, , , , , ,6718,0, , ,{93EAD27D-34A3-4C31-A1EC-3A23F5CB41FB},2015-12-30T22:12:40.000Z
