OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,AsianPacif,Black,Hispanic,Other_Race,AgeOvr65,Poverty,AsianCat,BlackCat,HispanCat,OthCat,RaceCat,AgeCat,PovCat,ETA,Population,GlobalID,last_edited_date
35,13,067,031408,13067031408,314.08,Census Tract 314.08,1.3,51.1,12.4,2.5,7.2,14.9,3,2,3,3,2,3,3,4,6056,{BCAF2F03-0013-4F2C-A989-CDDA7AFFAA96},
36,13,067,030224,13067030224,302.24,Census Tract 302.24,5.2,22.4,9.5,3.4,7.4,5.5,3,3,3,2,2,3,3,4,6257,{2A7B0C8F-7D9B-4D02-A210-C1FDE9D460DF},
37,13,067,031209,13067031209,312.09,Census Tract 312.09,7.2,11.2,3.8,2.6,9.8,4.2,3,3,3,3,3,3,3,4,3790,{628D1201-1ACD-4CDC-A7FA-C35DFD96BCB4},
38,13,067,030209,13067030209,302.09,Census Tract 302.09,3.5,16.6,3.8,1.8,9.1,3.1,3,3,3,3,3,3,3,4,6757,{7DF9CC8B-1D87-4A0A-B9B8-35CFD2C9709B},
39,13,067,030502,13067030502,305.02,Census Tract 305.02,6.4,14.2,9,2.3,13.9,4.9,3,3,3,3,3,2,3,4,6406,{8CEB1CE5-EC38-45FC-B844-6712DB36F255},
40,13,067,030905,13067030905,309.05,Census Tract 309.05,2.4,39.4,24.6,1.9,5.9,25.1,3,3,3,3,3,3,2,3,7863,{9E98E44C-686D-47A6-9115-0154FB0875C4},
41,13,067,030800,13067030800,308,Census Tract 308,3.3,18.1,36.3,2.4,6.1,36.4,3,3,2,3,2,3,1,2,4052,{8DEE0715-E1C9-48FD-82B2-6DEAC5BE73D0},
42,13,067,030505,13067030505,305.05,Census Tract 305.05,6.2,31.5,18,4.8,4.5,18.8,3,3,3,1,1,3,3,4,6394,{66A83ACC-DF99-4718-8A1E-71F62C48A5E7},
43,13,067,031409,13067031409,314.09,Census Tract 314.09,1.9,50.6,9.3,2.4,8.4,18.8,3,2,3,3,2,3,3,4,5112,{2F311880-DBE7-4F8F-9020-39485B176BED},
44,13,067,030341,13067030341,303.41,Census Tract 303.41,5.7,7.4,5.8,2.5,6.5,8.1,3,3,3,3,3,3,3,4,4395,{CBDE6E39-7D04-41C3-95CC-3865BD26D235},
45,13,067,031211,13067031211,312.11,Census Tract 312.11,3.6,38,6.7,3.3,4.3,9.9,3,3,3,2,2,3,3,4,3617,{772BE7D6-04A3-4C6B-9E25-E383D29A0510},
46,13,067,031212,13067031212,312.12,Census Tract 312.12,1,1.5,2.6,0.5,21.9,2.2,3,3,3,3,3,1,3,4,2321,{87EC603F-25EB-4D85-A0DC-5EE4D8169DA7},
47,13,067,030226,13067030226,302.26,Census Tract 302.26,5.6,24.5,8.2,3.2,4.9,6.5,3,3,3,2,2,3,3,4,9648,{7F2B195D-944C-45BE-BCFE-79CD09D4A227},
48,13,067,031207,13067031207,312.07,Census Tract 312.07,7.5,25.5,4.8,2.7,7.6,5.7,2,3,3,3,2,3,3,4,3244,{C74588F8-6780-4397-AEA4-B0EE6E045613},
49,13,067,031208,13067031208,312.08,Census Tract 312.08,12.9,27,5.2,2.8,4.6,11.7,1,3,3,3,1,3,3,4,5679,{D28DED79-4DA1-4475-9A48-DD35FAB98C74},
50,13,067,030229,13067030229,302.29,Census Tract 302.29,2.2,17.8,6.3,2.1,7,14,3,3,3,3,3,3,3,4,5695,{9861D58E-2606-4639-BA0C-A45DCFC64B43},
51,13,067,030214,13067030214,302.14,Census Tract 302.14,3.2,13.9,9.1,2.1,7.8,4.9,3,3,3,3,3,3,3,4,8194,{8FDAC2ED-EC48-4BD8-912F-6AA3F6637631},
52,13,067,031310,13067031310,313.10,Census Tract 313.10,0.7,65.5,28.1,1.6,3.1,38.9,3,2,2,3,2,3,1,2,6301,{8837B29E-7C0C-4BC4-A09C-574A840963F2},
53,13,067,030340,13067030340,303.40,Census Tract 303.40,4.3,4,4,1.8,6.4,0.3,3,3,3,3,3,3,3,4,3784,{654806AD-539B-4248-82E8-7DF9092A5A04},
54,13,067,030342,13067030342,303.42,Census Tract 303.42,5,5.7,4.2,2,7.2,3.4,3,3,3,3,3,3,3,4,4710,{FEE39E7B-FC38-4307-B6FA-1C84299F23FF},
55,13,067,030343,13067030343,303.43,Census Tract 303.43,4.9,4,3.3,2,7.5,1.7,3,3,3,3,3,3,3,4,4726,{3A737C9B-180E-4621-BAAB-0AFEDC773826},
56,13,067,030507,13067030507,305.07,Census Tract 305.07,6.2,13.3,7.2,3,13.4,6.2,3,3,3,3,3,2,3,4,5031,{AFDD87E5-D734-4253-B2B7-93FC628BCF00},
57,13,067,030506,13067030506,305.06,Census Tract 305.06,3.4,18.1,15.8,3.5,12.8,8.4,3,3,3,2,2,2,3,4,4313,{92A62ED9-2DD5-46F6-A6A9-7BC962DA7148},
58,13,067,030602,13067030602,306.02,Census Tract 306.02,1.1,11.5,3,1.8,25.7,8.2,3,3,3,3,3,1,3,4,6788,{D05979F4-2D1C-43F9-AB87-CC33ACA5C867},
59,13,067,030227,13067030227,302.27,Census Tract 302.27,3.5,18,13.7,2.8,7.8,7.8,3,3,3,3,3,3,3,4,7281,{008E88FB-85C6-45E6-8EDD-240CB1CD9154},
60,13,067,030313,13067030313,303.13,Census Tract 303.13,10.6,14.3,7,3.1,12.7,3.5,2,3,3,3,2,2,3,4,7970,{072B7D22-A211-4848-BB23-14BAB7E4CF88},
61,13,067,031505,13067031505,315.05,Census Tract 315.05,0.9,46.5,7.2,2.6,9.2,12.4,3,3,3,3,3,3,3,4,5992,{1A77484D-0C1A-4EBE-A183-FBE6298EF6E7},
62,13,067,030409,13067030409,304.09,Census Tract 304.09,11,6.3,5.2,2.5,14.7,4.3,2,3,3,3,2,2,3,4,3316,{09440CCC-8F3D-4738-B0FC-6205B040F1A6},
63,13,067,030410,13067030410,304.10,Census Tract 304.10,3.8,17.1,9.1,3.7,14.5,15.7,3,3,3,2,2,2,3,4,4683,{804EB3D8-AB4F-4ED5-8ED1-E06E4DAF7629},
64,13,067,030408,13067030408,304.08,Census Tract 304.08,9.5,17,8.9,3.3,12.6,13.7,2,3,3,2,2,2,3,4,3103,{F7BA938F-39DA-4D24-BD2F-AA61EEAA4612},
65,13,067,030601,13067030601,306.01,Census Tract 306.01,12.6,29,9.4,3.7,4.5,19.1,2,3,3,2,2,3,3,4,8706,{625DDE70-0257-4070-9E15-FDED48E9337E},
66,13,067,030230,13067030230,302.30,Census Tract 302.30,5.9,24,10.8,3.1,8.2,11.5,3,3,3,3,3,3,3,4,12572,{8E628472-EFB9-4A0D-9BA6-BE9609B3B369},
67,13,067,030231,13067030231,302.31,Census Tract 302.31,2.6,6.5,3,1.9,12.5,2,3,3,3,3,3,2,3,4,7688,{12662C38-CABF-4868-BF6F-FDB83B812B68},
68,13,067,030228,13067030228,302.28,Census Tract 302.28,4.8,19.8,12.4,3,6.8,22.4,3,3,3,3,3,3,2,3,6394,{580224CE-82E2-4152-9BC3-FF2750BC9C37},
69,13,067,030215,13067030215,302.15,Census Tract 302.15,5.8,11.9,13.7,2.6,7.1,12.9,3,3,3,3,3,3,3,4,8716,{592F852E-59FD-4E36-A54B-F48FCF2D6FA6},
70,13,067,030310,13067030310,303.10,Census Tract 303.10,2.8,11.2,13.2,3.1,6.3,12.3,3,3,3,3,3,3,3,4,8087,{89ED4756-C33D-4688-A854-514D2D4E8BB5},
71,13,067,031001,13067031001,310.01,Census Tract 310.01,0.5,19.4,52.3,2.2,5.1,34.7,3,3,1,3,1,3,1,1,5215,{CA07578B-E739-4AE1-AA8E-CE964DDF1F2B},
72,13,067,030407,13067030407,304.07,Census Tract 304.07,6.2,8.6,8.7,3.7,15.3,7.1,3,3,3,2,2,1,3,4,4600,{5A8C9C23-0982-4B44-A986-8F3DD855D07F},
73,13,067,030236,13067030236,302.36,Census Tract 302.36,1.9,6.8,2.8,0.8,5.7,0,3,3,3,3,3,3,3,4,4636,{D8A4D7AB-4BB6-4B23-A3BF-CF2F6EC61E65},
74,13,067,030311,13067030311,303.11,Census Tract 303.11,3.7,8.1,5.7,2.1,10.6,5.1,3,3,3,3,3,3,3,4,6010,{301A7024-4C9B-4F13-B6DB-4889391B7DB4},
75,13,067,030238,13067030238,302.38,Census Tract 302.38,1.7,7.9,3.2,1.3,6.1,6.7,3,3,3,3,3,3,3,4,6505,{95EAFC15-AB26-4CF8-9F59-51C7A9C74997},
76,13,067,030239,13067030239,302.39,Census Tract 302.39,1.8,7.4,3.2,1.6,8.9,4.9,3,3,3,3,3,3,3,4,7610,{64ACAA83-89AC-4030-BC94-77DC852BD4FD},
77,13,067,030413,13067030413,304.13,Census Tract 304.13,6.7,46.1,13.4,7.2,1.9,29,3,3,3,1,1,3,2,3,5271,{8A14E3B4-B39E-4F06-9BDB-2F4FD866B5F1},
78,13,067,030414,13067030414,304.14,Census Tract 304.14,1.4,59.6,21.5,6.3,0.8,42.4,3,2,3,1,1,3,1,1,2783,{103EDAC1-E940-4ED5-AAFA-1B04D7782470},
79,13,067,030312,13067030312,303.12,Census Tract 303.12,6.4,8.9,9.1,2.5,12.6,11.1,3,3,3,3,3,2,3,4,6306,{99778F68-A0C2-4392-9A0B-80A9E5144795},
80,13,067,030324,13067030324,303.24,Census Tract 303.24,2.9,7.9,8,2.4,7.7,4.5,3,3,3,3,3,3,3,4,3441,{4A304053-E372-43EB-BA9A-C03C166E5F98},
81,13,067,030412,13067030412,304.12,Census Tract 304.12,1.7,50.1,20.3,4.1,5.4,27.8,3,2,3,1,1,3,2,3,3776,{8E506E0E-FBFA-48EA-B3E6-88348714E077},
82,13,067,030411,13067030411,304.11,Census Tract 304.11,1,44.2,45.1,2.3,1.6,44.9,3,3,1,3,1,3,1,1,4214,{6255B84C-356A-4F2C-A36A-1E39155E8962},
83,13,067,030344,13067030344,303.44,Census Tract 303.44,6.8,46.2,11.2,5.1,2.9,24.5,3,3,3,1,1,3,2,3,3601,{F799BA26-6552-4960-B8C6-70873FE936B2},
84,13,067,030700,13067030700,307,Census Tract 307,1.5,41.1,25,1.7,10.6,30.1,3,3,3,3,3,3,2,3,4092,{EEB6EC1F-8FCC-4502-B211-0CA3E15E4F7C},
85,13,067,030328,13067030328,303.28,Census Tract 303.28,5.8,3.8,4.2,1.8,11.2,2.2,3,3,3,3,3,2,3,4,6431,{5BFF32BF-4132-4380-9EBB-42B041887A55},
86,13,067,030330,13067030330,303.30,Census Tract 303.30,13.7,5.4,5.2,2.4,11,3.7,1,3,3,3,1,2,3,4,5706,{F1CA1126-07D1-4822-9FA6-61ACDC60674B},
87,13,067,030336,13067030336,303.36,Census Tract 303.36,7.7,2.9,4,1.5,7.5,3.7,2,3,3,3,2,3,3,4,7343,{4179DFF4-BF71-4778-AB08-91FF829A1881},
88,13,067,030314,13067030314,303.14,Census Tract 303.14,7.2,7.4,5.3,2.3,8.1,7.9,3,3,3,3,3,3,3,4,7714,{DCD96DEE-1B02-4D28-90B6-0BD6BAF152E5},
89,13,067,030345,13067030345,303.45,Census Tract 303.45,20.6,30.4,21.2,2.7,2.2,21.7,1,3,3,3,1,3,2,3,4623,{136FBCC2-041F-4377-B512-3A419D58C021},
90,13,067,031114,13067031114,311.14,Census Tract 311.14,7.5,37.1,23.5,3.7,3.3,19.1,2,3,3,2,2,3,3,4,6722,{AE65F785-1A20-4806-9A85-1AE0AFCA3460},
91,13,067,031113,13067031113,311.13,Census Tract 311.13,1.9,47.1,34,2.5,1.3,12.8,3,3,2,3,2,3,3,4,1027,{08AD1DC2-244B-4115-8865-04FE9F8CC7E8},
92,13,067,030339,13067030339,303.39,Census Tract 303.39,9.6,35.6,6,3.6,2.7,6.9,2,3,3,2,2,3,3,4,5268,{379B3E3A-8803-4C62-926F-088D587A7926},
93,13,067,030329,13067030329,303.29,Census Tract 303.29,8.2,7.2,4.8,2.6,10,6.2,2,3,3,3,2,3,3,4,4416,{59FA2D1A-C853-47D4-A338-A16FF6C34566},
94,13,067,031509,13067031509,315.09,Census Tract 315.09,1.1,46.7,6.4,2.9,8,13.3,3,3,3,3,3,3,3,4,9869,{12421B33-41BE-4E4F-8D92-BD16C2A2024A},
95,13,067,031313,13067031313,313.13,Census Tract 313.13,6.5,33.2,6.5,3,3.7,3.8,3,3,3,3,3,3,3,4,9698,{90AFD504-DE24-4E5C-B825-04B9DBEB3CF4},
96,13,067,031312,13067031312,313.12,Census Tract 313.12,2.6,42.7,23.4,2.4,5.7,18.9,3,3,3,3,3,3,3,4,8622,{C6357C54-032F-4758-B6DB-2B38FA2DF444},
97,13,067,030223,13067030223,302.23,Census Tract 302.23,4.8,20.9,9.9,2.3,7.8,6.7,3,3,3,3,3,3,3,4,6146,{A7E593CC-9B0F-4B67-A7C5-FDF4FC085267},
98,13,067,030327,13067030327,303.27,Census Tract 303.27,7.3,8.4,4.8,2.2,11.1,4,3,3,3,3,3,2,3,4,4402,{9B9F0290-3FD8-4360-AA31-269E6A255BD9},
99,13,067,030504,13067030504,305.04,Census Tract 305.04,9.5,17.3,20.5,2.8,8.3,12.8,2,3,3,3,2,3,3,4,5972,{12218963-8753-4827-99CD-9CCA6AA36A35},
100,13,067,031112,13067031112,311.12,Census Tract 311.12,3.2,25.8,3.5,2,11.6,4.1,3,3,3,3,3,2,3,4,4749,{F05A587A-8D44-45A9-B4C1-9CC1683C344B},
101,13,067,031115,13067031115,311.15,Census Tract 311.15,4.3,25.6,28.3,2.6,9.4,34.9,3,3,2,3,2,3,1,2,4583,{8C0EDC37-47F1-4D2C-A456-7C064D4E96D5},
102,13,067,031116,13067031116,311.16,Census Tract 311.16,1.9,40.1,33.3,2.9,4.9,35.3,3,3,2,3,2,3,1,2,5717,{862FE4B2-FFF7-4D85-BB23-BC293FE307D6},
103,13,067,030322,13067030322,303.22,Census Tract 303.22,3.2,6.8,4,2.1,9.6,4.2,3,3,3,3,3,3,3,4,3361,{74412879-F29E-4C0D-B29D-1465D3C69679},
104,13,067,030331,13067030331,303.31,Census Tract 303.31,6.1,4.3,3.9,2,10.6,3.4,3,3,3,3,3,3,3,4,5587,{BB67B0E0-AC07-49A8-802D-EA9CD46DA947},
105,13,067,031106,13067031106,311.06,Census Tract 311.06,3.7,34.3,16.1,2.9,11.2,9.5,3,3,3,3,3,2,3,4,8225,{447EB27A-273F-416D-A793-439B26770AA7},
106,13,067,031508,13067031508,315.08,Census Tract 315.08,2.1,39.3,7,2.4,8,10.2,3,3,3,3,3,3,3,4,5090,{4B4F7695-715B-4B69-834B-B33224182C33},
107,13,067,031506,13067031506,315.06,Census Tract 315.06,1.9,35.7,10.9,2.6,13.5,10.3,3,3,3,3,3,2,3,4,4814,{B1873D5A-C4CB-4BB5-9CAA-D23FA829AB1C},
108,13,067,031507,13067031507,315.07,Census Tract 315.07,1.1,60.4,12.2,2.4,11.7,15,3,2,3,3,2,2,3,4,3339,{58A6ABB7-595C-48A0-ABC5-5F171CBB6FF4},
109,13,067,031309,13067031309,313.09,Census Tract 313.09,0.9,53.5,20,2,8.1,12.9,3,2,3,3,2,3,3,4,7392,{9EB23AAF-687E-4C4E-93A5-68D73F0C6285},
110,13,067,030104,13067030104,301.04,Census Tract 301.04,1,19.8,15.7,2.4,8.6,6.9,3,3,3,3,3,3,3,4,3721,{6C054367-445B-453B-AEE7-D7AA7AA7AC44},
111,13,067,030101,13067030101,301.01,Census Tract 301.01,1.9,8.8,6.1,1.9,10.1,10.6,3,3,3,3,3,3,3,4,7062,{D8FCBF19-729A-4974-A3B8-A5387082078F},
112,13,067,030335,13067030335,303.35,Census Tract 303.35,4.1,3.2,2.9,2.2,10.5,3.8,3,3,3,3,3,3,3,4,4886,{217AE1CC-2AFD-4657-B7C6-8FC9B64013D7},
113,13,067,030332,13067030332,303.32,Census Tract 303.32,13.5,3.4,3,2.6,11.9,3.7,1,3,3,3,1,2,3,4,3148,{5C96FF17-9A84-4A25-AE2D-6FBC52D18D68},
114,13,067,031117,13067031117,311.17,Census Tract 311.17,3.8,14.8,8.2,3.4,15.8,10.7,3,3,3,2,2,1,3,4,4835,{92AEC77F-E00F-418B-A639-424002080079},
115,13,067,031118,13067031118,311.18,Census Tract 311.18,3.8,25.3,6.2,2.5,15.7,6,3,3,3,3,3,1,3,4,5460,{BD843AA8-0DF8-4F45-A0FD-CFE9FD09B2BD},
116,13,067,031306,13067031306,313.06,Census Tract 313.06,1,36,15.2,3.1,9.2,20.8,3,3,3,3,3,3,3,4,3754,{CDE63752-D47D-4CF3-AC99-0652C912DBD1},
117,13,067,031404,13067031404,314.04,Census Tract 314.04,2.6,35.7,11.6,3.1,13.8,9.9,3,3,3,3,3,2,3,4,5558,{BE189986-0D50-43E5-B91B-F74F94FAA196},
118,13,067,030103,13067030103,301.03,Census Tract 301.03,4.9,19.9,9,2.9,9.1,5.5,3,3,3,3,3,3,3,4,9045,{9784CC50-EA27-486F-9FA8-60EEDDB35033},
119,13,067,030333,13067030333,303.33,Census Tract 303.33,8.8,3.8,3.4,2.3,15.6,5.1,2,3,3,3,2,1,3,4,6034,{3A564316-7A05-4D51-9105-9ABE2733FD0F},
120,13,067,030319,13067030319,303.19,Census Tract 303.19,7.4,4.4,3,2.1,13.4,5.7,2,3,3,3,2,2,3,4,3916,{C76673F8-0832-49B2-B223-F33983364315},
121,13,067,031308,13067031308,313.08,Census Tract 313.08,0.9,42.8,24.7,2,9.1,22.2,3,3,3,3,3,3,2,3,4776,{66BF4AA5-4584-43A3-B7CE-96595B7AACCB},
122,13,067,031307,13067031307,313.07,Census Tract 313.07,2.4,22,10.4,2.6,11.1,6.7,3,3,3,3,3,2,3,4,5920,{65039851-D5A6-41B9-83FB-99780D407E41},
123,13,067,030222,13067030222,302.22,Census Tract 302.22,3.8,12,6,1.9,6.2,6.4,3,3,3,3,3,3,3,4,5987,{39568830-93BE-4341-86D5-7B58CEDA949F},
124,13,067,030232,13067030232,302.32,Census Tract 302.32,2.2,30.2,7,1.8,8.1,7.9,3,3,3,3,3,3,3,4,5758,{B7F46656-067D-4AAA-8723-D66DF7AF9BB9},
125,13,067,031004,13067031004,310.04,Census Tract 310.04,3.4,31.2,39.3,2.2,8.7,27.8,3,3,2,3,2,3,2,3,6739,{9CDD8D7B-F133-4ABE-85D2-5ED7D3527753},
126,13,067,031101,13067031101,311.01,Census Tract 311.01,1.9,20.2,45.4,1.6,6.7,29.9,3,3,1,3,1,3,2,3,4940,{32795223-5135-4115-9A7E-32D159541F83},
127,13,067,031503,13067031503,315.03,Census Tract 315.03,2.3,47.7,17.7,3,8.1,7.8,3,3,3,3,3,3,3,4,8350,{9D03F3B9-ED79-453A-B5F5-A920337BBD72},
128,13,067,030901,13067030901,309.01,Census Tract 309.01,2,26.4,7,3.1,12.6,16.2,3,3,3,3,3,2,3,4,7655,{47B7A622-FE2A-4261-99D1-70DE0C05A805},
129,13,067,030233,13067030233,302.33,Census Tract 302.33,3.6,23.4,4.4,1.4,8.2,5.4,3,3,3,3,3,3,3,4,4275,{6C30D046-FAC4-4DB2-9B1A-9CDE2FB984A8},
130,13,067,030234,13067030234,302.34,Census Tract 302.34,1.4,17.6,3.5,1.6,7.3,2.6,3,3,3,3,3,3,3,4,5657,{CB0DDBBE-1A8B-486C-B8FD-546AD5E46AB9},
131,13,067,030405,13067030405,304.05,Census Tract 304.05,3.9,32.5,12.2,5,8.1,17.2,3,3,3,1,1,3,3,4,5774,{73BB46FF-19EC-4824-ABBD-02090624920A},
132,13,067,031110,13067031110,311.10,Census Tract 311.10,1.4,14.6,22.3,2.9,9.5,13.2,3,3,3,3,3,3,3,4,2864,{678DD550-0BD6-4256-9259-BEBC0429B294},
133,13,067,031111,13067031111,311.11,Census Tract 311.11,3.6,26.5,8,2.7,9.6,6.5,3,3,3,3,3,3,3,4,2909,{234557B9-CDFF-49BF-AE94-CD87B1E18E92},
134,13,067,030904,13067030904,309.04,Census Tract 309.04,2,41.6,33.1,2.7,6.2,27.8,3,3,2,3,2,3,2,3,6116,{BB753C5B-B54E-4750-B5BA-0634BB83375C},
135,13,067,031002,13067031002,310.02,Census Tract 310.02,2.3,32.7,43.8,1.7,8.4,23.1,3,3,1,3,1,3,2,3,8522,{5A9F2A4E-E40A-4278-B00C-0D696822013F},
136,13,067,031005,13067031005,310.05,Census Tract 310.05,6.3,30.3,31.3,2.4,10,19,3,3,2,3,2,3,3,4,5104,{D3BB5593-B1F8-4087-88EE-09BD64216F04},
137,13,067,030318,13067030318,303.18,Census Tract 303.18,6.8,3.3,2.3,1.8,16.6,2.2,3,3,3,3,3,1,3,4,7588,{6C7468CC-4693-40E8-B604-55D3375F99DE},
138,13,067,030235,13067030235,302.35,Census Tract 302.35,2,12.9,3,2,9.8,4.6,3,3,3,3,3,3,3,4,4988,{785FE333-AE9A-48E3-9004-70A2AFFD9622},
139,13,067,030219,13067030219,302.19,Census Tract 302.19,3.7,8.8,3.3,1.8,7.6,4.2,3,3,3,3,3,3,3,4,9743,{6FF462B5-EAD0-457A-9B16-1C8CD4171BA1},
140,13,067,030218,13067030218,302.18,Census Tract 302.18,3,9.1,3.6,1.4,7.7,1.4,3,3,3,3,3,3,3,4,4775,{A4240605-E6CF-4F23-A98D-09A4F7942930},
141,13,015,960700,13015960700,9607,Census Tract 9607,1.9,16.8,17.7,2.1,14.7,12,3,3,3,3,3,2,3,4,7249,{64A594C5-431E-43D8-A2E0-7E9573DF10C3},
142,13,015,960803,13015960803,9608.03,Census Tract 9608.03,0.6,4.4,6.7,1.4,12.3,15.1,3,3,3,3,3,2,3,4,5149,{58FA669A-CD18-4C1D-B617-3C4ED7225694},
143,13,015,960401,13015960401,9604.01,Census Tract 9604.01,1.1,16.2,13.6,2.8,10.3,15.8,3,3,3,3,3,3,3,4,8944,{BD24F08E-7383-4677-B968-1AF71CBD5ECF},
144,13,015,960200,13015960200,9602,Census Tract 9602,0.6,7.2,3.8,1.4,10.1,18.6,3,3,3,3,3,3,3,4,10802,{2F152518-6BDC-42A4-9275-64A96C33F66A},
145,13,015,960600,13015960600,9606,Census Tract 9606,0.6,19.1,9.2,2,13.3,19.3,3,3,3,3,3,2,3,4,8969,{EFBF95D3-3745-4028-AB58-656A12FD31EC},
146,13,015,960500,13015960500,9605,Census Tract 9605,0.4,14.4,12.3,2,11.4,22.2,3,3,3,3,3,2,2,3,7384,{497D1C07-8044-471C-A0F2-8BC32E4AE94A},
147,13,015,960902,13015960902,9609.02,Census Tract 9609.02,0.3,10.7,5.7,1.7,8.7,9.8,3,3,3,3,3,3,3,4,6737,{00F73288-7C84-4ABE-A80A-6997D869F762},
148,13,015,960300,13015960300,9603,Census Tract 9603,0.8,6.8,4,2,10.2,22.5,3,3,3,3,3,3,2,3,6647,{7A581C7D-A5FA-44C4-9B7A-69B8D7DCCF6E},
149,13,015,960801,13015960801,9608.01,Census Tract 9608.01,1.3,7,8.8,2.7,7.8,9.6,3,3,3,3,3,3,3,4,3579,{9E3233A8-4CA5-46BA-B97E-2FC51A20CA76},
150,13,015,961000,13015961000,9610,Census Tract 9610,0.5,5.8,4.2,1.7,7.3,3.6,3,3,3,3,3,3,3,4,8415,{E2954A20-2B27-41F3-BCBC-19353F1805C2},
151,13,015,960802,13015960802,9608.02,Census Tract 9608.02,0.4,2.8,7.6,1.2,11.1,26.7,3,3,3,3,3,2,2,3,3316,{B0FB8437-4EC3-4ABC-BEA3-2F7D58C2A2A4},
152,13,015,960102,13015960102,9601.02,Census Tract 9601.02,0.3,2.8,3.8,1.7,10.7,9.9,3,3,3,3,3,3,3,4,9507,{2C5C22D2-EBBC-4A02-A183-3E92F7A05917},
153,13,015,960901,13015960901,9609.01,Census Tract 9609.01,0.3,5.9,5.7,1.5,8.8,21.4,3,3,3,3,3,3,3,4,2839,{6F1D6F3E-86D6-442B-815B-FC4335EE549B},
154,13,015,960402,13015960402,9604.02,Census Tract 9604.02,1.5,12.7,6.2,2,9.2,23.9,3,3,3,3,3,3,2,3,8926,{1CECC78F-E4FA-46DA-88D1-05125466A123},
155,13,015,960101,13015960101,9601.01,Census Tract 9601.01,0.1,0.5,3.7,0.9,15.2,7.6,3,3,3,3,3,1,3,4,1694,{FAE44907-D938-41D0-8AFC-74167399ACA4},
156,13,097,080507,13097080507,805.07,Census Tract 805.07,1.6,22.9,5.2,1.9,8.6,18,3,3,3,3,3,3,3,4,3610,{6E3F82C6-C1D3-447A-872A-8C57DA97D544},
157,13,097,080202,13097080202,802.02,Census Tract 802.02,1.6,41.7,11.7,2,8.7,11.4,3,3,3,3,3,3,3,4,9186,{71516F63-9F87-4B24-A5E3-6EB6EB5731CA},
158,13,097,080505,13097080505,805.05,Census Tract 805.05,1.6,25.5,6.8,2.1,9.4,19.3,3,3,3,3,3,3,3,4,4293,{04656635-2239-4C79-A191-5654B274811A},
159,13,097,080506,13097080506,805.06,Census Tract 805.06,1.3,17.9,9,1.5,15.1,12.5,3,3,3,3,3,1,3,4,5612,{225B6A8A-AE86-4424-A886-C2BFA8F41C81},
160,13,097,080201,13097080201,802.01,Census Tract 802.01,1,18.4,26.2,1.8,10.5,13.2,3,3,3,3,3,3,3,4,6197,{433356C3-3688-490A-A106-E965228AE6D4},
161,13,097,080604,13097080604,806.04,Census Tract 806.04,1,54.6,5.5,2.7,5.8,10.1,3,2,3,3,2,3,3,4,8920,{D2DA7BF5-C9A7-4205-A4DD-69B089E575C3},
162,13,097,080103,13097080103,801.03,Census Tract 801.03,1.3,52.9,15.1,2.8,5.2,22,3,2,3,3,2,3,2,3,6371,{1A8E37AE-878D-4544-98B8-B8175D6D0367},
163,13,097,080403,13097080403,804.03,Census Tract 804.03,1.2,27.1,6.6,2.1,9.6,15,3,3,3,3,3,3,3,4,4617,{191F8F65-5B0F-4703-848D-7979C60C1845},
164,13,097,080303,13097080303,803.03,Census Tract 803.03,1.1,35.6,11.9,3.6,9.6,19.9,3,3,3,2,2,3,3,4,3831,{EB5027D6-5760-46AD-87AE-A0F230098BC8},
165,13,097,080404,13097080404,804.04,Census Tract 804.04,2.3,31.1,7.1,2.1,9.7,9.5,3,3,3,3,3,3,3,4,7943,{4BD395E4-41C4-4FF2-B698-4DC4CF14F5B1},
166,13,097,080304,13097080304,803.04,Census Tract 803.04,1.5,40.7,5.5,2.7,12.3,14.3,3,3,3,3,3,2,3,4,5532,{0AFA522A-2C8F-4E8D-A0EE-B6DBDD31C934},
167,13,097,080511,13097080511,805.11,Census Tract 805.11,1.8,43.6,7.6,2.2,6.5,5,3,3,3,3,3,3,3,4,8933,{A4D1AD48-1919-4639-8BC2-B780B9858145},
168,13,097,080603,13097080603,806.03,Census Tract 806.03,2.2,38.7,6.5,2.1,9.4,8.9,3,3,3,3,3,3,3,4,6268,{FF0FCC6E-3EA5-4BBE-951C-984732872B3B},
169,13,097,080509,13097080509,805.09,Census Tract 805.09,2.6,27.4,4.2,2.6,8.6,7.3,3,3,3,3,3,3,3,4,5782,{1F876007-2030-4BB3-9920-7FA1F8E1C1B5},
170,13,097,080510,13097080510,805.10,Census Tract 805.10,1.4,36.5,5.6,2.6,6.2,13.9,3,3,3,3,3,3,3,4,7344,{151EFB77-5101-4A67-8CA6-D2A6487B965B},
171,13,097,080508,13097080508,805.08,Census Tract 805.08,2.8,34.9,6.8,2.5,10.5,8.3,3,3,3,3,3,3,3,4,5447,{59CAD1E8-C6D9-444C-B73D-2C0A6971EAF5},
172,13,097,080602,13097080602,806.02,Census Tract 806.02,2.1,44.4,4.6,2.8,6.9,9.9,3,3,3,3,3,3,3,4,5166,{24DC5CBD-2C59-4E53-8A17-E479288E4A63},
